k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[20.004085248072982, 2.0491532990596837, 1.960682787984666, 2.011970357977879, 0.6958609999878538]|4964.6405584327321776|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       3|[20.004085248072982, 2.0491532990596837, 1.960682787984666, 2.011970357977879, 0.6958609999878538]|4964.6405584327321776|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[20.004085248072982, 2.0491532990596837, 1.960682787984666, 2.011970357977879, 0.6958609999878538]|4964.6405584327321776|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[19.9991994658508, 2.1080856948132505, 1.9714025815065652, 2.0680166874542856, 0.4597529805520617]|4384.7357416336180904|      0.50000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       6|[19.9991994658508, 2.1080856948132505, 1.9714025815065652, 2.0680166874542856, 0.4597529805520617]|4384.7357416336180904|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[19.9991994658508, 2.1080856948132505, 1.9714025815065652, 2.0680166874542856, 0.4597529805520617]|4384.7357416336180904|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[20.01024515605692, 2.1515858511959616, 1.9774818636141531, 2.080451776336116, 0.5755939923574988]|3769.3251955334148988|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[20.01024515605692, 2.1515858511959616, 1.9774818636141531, 2.080451776336116, 0.5755939923574988]|3769.3251955334148988|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[20.01024515605692, 2.1515858511959616, 1.9774818636141531, 2.080451776336116, 0.5755939923574988]|3769.3251955334148988|      0.06250000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[20.00035304974268, 2.1914611540271873, 1.968767472808009, 2.0852446309041657, 0.5295565685074058]|3651.9061898385562017|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
