k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.50000000|[9, 0, 0, 3]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.25000000|[17, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.12500000|[25, 0, 0, 9]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.06250000|[33, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.03125000|[41, 0, 0, 15]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.01562500|[49, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00781250|[57, 0, 0, 21]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00390625|[65, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00195312|[73, 0, 0, 27]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00097656|[81, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00048828|[89, 0, 0, 33]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00024414|[97, 0, 0, 36]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[0.0998959633754751, 0.0002023455509249, 999.9999654425872, -100.00004996176294]|  5.8316540718078613|      0.00048828|[103, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[0.0998959633754751, 0.0002023455509249, 999.9999654425872, -100.00004996176294]|  5.8316540718078613|      0.00024414|[111, 0, 0, 41]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
