k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.12500000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.06250000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.03125000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.2196869508861435, 0.3828267152677834, 0.4174572182846019, 0.3904331487888591]|  0.0040491981764428|      0.06250000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[0.2196869508861435, 0.3828267152677834, 0.4174572182846019, 0.3904331487888591]|  0.0040491981764428|      0.03125000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.2187179842983745, 0.3974007739564805, 0.4095324251642904, 0.363967736056569] |  0.0030538376891680|      0.06250000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[0.2187179842983745, 0.3974007739564805, 0.4095324251642904, 0.363967736056569] |  0.0030538376891680|      0.03125000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.2302735417275804, 0.4181640077188747, 0.4209852757091191, 0.3472120823651634]|  0.0026972265545947|      0.06250000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[0.2302735417275804, 0.4181640077188747, 0.4209852757091191, 0.3472120823651634]|  0.0026972265545947|      0.03125000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[0.2302735417275804, 0.4181640077188747, 0.4209852757091191, 0.3472120823651634]|  0.0026972265545947|      0.01562500|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.2174415177455445, 0.4233573002165585, 0.4147711420806249, 0.3509395535998177]|  0.0023689464115014|      0.03125000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[0.2174415177455445, 0.4233573002165585, 0.4147711420806249, 0.3509395535998177]|  0.0023689464115014|      0.01562500|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[0.2174415177455445, 0.4233573002165585, 0.4147711420806249, 0.3509395535998177]|  0.0023689464115014|      0.00781250|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      16|[0.219223710438674, 0.422129793453335, 0.4153802265244418, 0.343457495811943]   |  0.0022299443608538|      0.01562500|[80, 0, 16, 32]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      17|[0.219223710438674, 0.422129793453335, 0.4153802265244418, 0.343457495811943]   |  0.0022299443608538|      0.00781250|[85, 0, 17, 34]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      18|[0.2207488215145772, 0.428345636705375, 0.4115628268377946, 0.341112299710417]  |  0.0021258254590686|      0.01562500|[90, 0, 18, 36]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      19|[0.2207488215145772, 0.428345636705375, 0.4115628268377946, 0.341112299710417]  |  0.0021258254590686|      0.00781250|[95, 0, 19, 38]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      20|[0.2161113727388235, 0.4290894458255693, 0.4142201312232584, 0.335462989442962] |  0.0019837958127351|      0.01562500|[100, 0, 20, 40]                                                           |  | used linear model with 5 points | iterate success | actual_k=0
