k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.012434424506594, 149.8770899275406, -100.0442209350242, 1.0121675442659586, 1.91337547714115]|84531.5560358841757989|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[47.563331164761124, 149.3163779080887, -100.8877766603994, 1.3798204318920841, 2.772995664342522]|79559.4057883584464435|      4.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       3|[47.563331164761124, 149.3163779080887, -100.8877766603994, 1.3798204318920841, 2.772995664342522]|79559.4057883584464435|      2.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[47.563331164761124, 149.3163779080887, -100.8877766603994, 1.3798204318920841, 2.772995664342522]|79559.4057883584464435|      1.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[46.56899925041705, 149.2287070345879, -100.94347911019457, 1.4020419436462273, 2.768380086519666]|76388.7550992626784137|      2.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       6|[44.85604416328744, 149.4565187620703, -100.66457565954332, 2.283357466501791, 2.3691527068386824]|71220.4031577456044033|      4.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[40.859864624031324, 149.2877375805912, -100.69532740890983, 2.311696890820063, 2.3514549739473374]|59657.7237066097295610|      8.00000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       8|[40.859864624031324, 149.2877375805912, -100.69532740890983, 2.311696890820063, 2.3514549739473374]|59657.7237066097295610|      4.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[40.859864624031324, 149.2877375805912, -100.69532740890983, 2.311696890820063, 2.3514549739473374]|59657.7237066097295610|      2.00000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[38.86882064699754, 149.14281895404645, -100.81612763796448, 2.302969088498361, 2.3428757359355648]|54262.6290099920806824|      4.00000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      11|[35.03417812419934, 148.41897474434816, -101.17730629328794, 3.0137633201237186, 2.711505389735962]|44521.8390451166851562|      8.00000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      12|[35.03417812419934, 148.41897474434816, -101.17730629328794, 3.0137633201237186, 2.711505389735962]|44521.8390451166851562|      4.00000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[35.03417812419934, 148.41897474434816, -101.17730629328794, 3.0137633201237186, 2.711505389735962]|44521.8390451166851562|      2.00000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[33.04404812480179, 148.27762710642904, -101.31630708802258, 3.0219346871938924, 2.7154345850630635]|39901.2086960763626848|      4.00000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      15|[33.04404812480179, 148.27762710642904, -101.31630708802258, 3.0219346871938924, 2.7154345850630635]|39901.2086960763626848|      2.00000000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[31.053617280770876, 148.14937694977837, -101.461187953921, 3.0378606799671983, 2.6932343620873485]|35544.8458023073762888|      4.00000000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      17|[27.372005680741882, 147.48328572873834, -102.02175587756098, 3.5545552190083214, 3.8852280147954437]|28077.9176357486503548|      8.00000000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
