k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0]                                                                 |  6.5000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0]                                                                 |  6.5000000000000000|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[1.4038461087823824, 0.7093631791382764, 1.049381765670321]                     |  3.0713587980394239|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[1.4038461087823824, 0.7093631791382764, 1.049381765670321]                     |  3.0713587980394239|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[1.9022935407850965, 0.7054677393716441, 1.010202905567913]                     |  1.1961537164375078|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[1.9022935407850965, 0.7054677393716441, 1.010202905567913]                     |  1.1961537164375078|      0.50000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[1.9022935407850965, 0.7054677393716441, 1.010202905567913]                     |  1.1961537164375078|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[1.9022935407850965, 0.7054677393716441, 1.010202905567913]                     |  1.1961537164375078|      0.12500000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[1.9392161791756504, 0.633781259731188, 0.9146897263147916]                     |  1.0233557081500346|      0.25000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[1.9392161791756504, 0.633781259731188, 0.9146897263147916]                     |  1.0233557081500346|      0.12500000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[2.014213765654175, 0.5337819460472483, 0.9153963274308405]                     |  0.7613343233025520|      0.25000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[2.014213765654175, 0.5337819460472483, 0.9153963274308405]                     |  0.7613343233025520|      0.12500000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[2.104428210896374, 0.4545079618754028, 0.9500660448101936]                     |  0.6904360385610637|      0.25000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      13|[2.104428210896374, 0.4545079618754028, 0.9500660448101936]                     |  0.6904360385610637|      0.12500000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[2.1384790440253427, 0.3912984468100476, 0.8477425481516755]                    |  0.5084458702202884|      0.25000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[2.1384790440253427, 0.3912984468100476, 0.8477425481516755]                    |  0.5084458702202884|      0.12500000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
