k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0946958721972526, 0.7835485081414066, 0.3329971743718179, 1.088528571431404, 0.5521775100526766, 1.7754675292744477, 1.0781440588618563, 0.8678801605940707]| 70.5591773334176793|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[-0.0946958721972526, 0.7835485081414066, 0.3329971743718179, 1.088528571431404, 0.5521775100526766, 1.7754675292744477, 1.0781440588618563, 0.8678801605940707]| 70.5591773334176793|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[-0.0946958721972526, 0.7835485081414066, 0.3329971743718179, 1.088528571431404, 0.5521775100526766, 1.7754675292744477, 1.0781440588618563, 0.8678801605940707]| 70.5591773334176793|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[-0.0946958721972526, 0.7835485081414066, 0.3329971743718179, 1.088528571431404, 0.5521775100526766, 1.7754675292744477, 1.0781440588618563, 0.8678801605940707]| 70.5591773334176793|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[-0.0816654750562805, 0.7562096459564861, 0.3089094754647627, 1.2216514932434177, 0.5330072562558162, 1.8956268016261995, 1.055640929256853, 1.0351186896763966]| 43.6862289425122867|      0.50000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       6|[-0.0816654750562805, 0.7562096459564861, 0.3089094754647627, 1.2216514932434177, 0.5330072562558162, 1.8956268016261995, 1.055640929256853, 1.0351186896763966]| 43.6862289425122867|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[-0.0816654750562805, 0.7562096459564861, 0.3089094754647627, 1.2216514932434177, 0.5330072562558162, 1.8956268016261995, 1.055640929256853, 1.0351186896763966]| 43.6862289425122867|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[-0.188189425180378, 0.7260382086585804, 0.3133747945813362, 1.2228158637678423, 0.4851391222213183, 1.884663065758452, 1.0251367591417575, 1.0371115351980758]| 41.4738565402515889|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[-0.188189425180378, 0.7260382086585804, 0.3133747945813362, 1.2228158637678423, 0.4851391222213183, 1.884663065758452, 1.0251367591417575, 1.0371115351980758]| 41.4738565402515889|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[-0.188189425180378, 0.7260382086585804, 0.3133747945813362, 1.2228158637678423, 0.4851391222213183, 1.884663065758452, 1.0251367591417575, 1.0371115351980758]| 41.4738565402515889|      0.06250000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[-0.2141909129405981, 0.7250497229926257, 0.3103594526506688, 1.2311270976440516, 0.4638582042063473, 1.9325932039712184, 1.0394677069119602, 1.0510927708441966]| 40.2884026112973714|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      12|[-0.2141909129405981, 0.7250497229926257, 0.3103594526506688, 1.2311270976440516, 0.4638582042063473, 1.9325932039712184, 1.0394677069119602, 1.0510927708441966]| 40.2884026112973714|      0.06250000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[-0.2255423396699755, 0.6908939058657796, 0.3118125847685747, 1.1920095658617749, 0.4644759890340381, 1.9063402523799369, 1.048937320447023, 1.0683904491873892]| 39.5906833368542053|      0.12500000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      14|[-0.2255423396699755, 0.6908939058657796, 0.3118125847685747, 1.1920095658617749, 0.4644759890340381, 1.9063402523799369, 1.048937320447023, 1.0683904491873892]| 39.5906833368542053|      0.06250000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[-0.2359888386949012, 0.7042728715236369, 0.3128429333450689, 1.1676924778357243, 0.4427134500477918, 1.9500008487173615, 1.0525204279829783, 1.0432300216768982]| 38.1603715362908673|      0.12500000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      16|[-0.272613608991109, 0.6521846194597465, 0.2522724683890314, 1.1195079962757555, 0.435943981562903, 1.9239988144232407, 1.0943574245938923, 1.0989763124329917]| 36.9083243145111339|      0.25000000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      17|[-0.272613608991109, 0.6521846194597465, 0.2522724683890314, 1.1195079962757555, 0.435943981562903, 1.9239988144232407, 1.0943574245938923, 1.0989763124329917]| 36.9083243145111339|      0.12500000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[-0.2859668994106995, 0.643188546134848, 0.2646906104719702, 1.0960011586480591, 0.4119650804337308, 2.0179999518695477, 1.149051048797018, 1.0514748960054645]| 34.5238393496297746|      0.25000000|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      19|[-0.2859668994106995, 0.643188546134848, 0.2646906104719702, 1.0960011586480591, 0.4119650804337308, 2.0179999518695477, 1.149051048797018, 1.0514748960054645]| 34.5238393496297746|      0.12500000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
