k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.02527563418314, 150.04059101265122, -100.0043993881599, 1.1683798348599397, 2.1410448757354468]|84613.2860644812026294|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[47.02942230828457, 149.99811479266126, -100.07117561831332, 1.2249867841694568, 2.0567723380296794]|78149.1172469646553509|      4.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       3|[47.02942230828457, 149.99811479266126, -100.07117561831332, 1.2249867841694568, 2.0567723380296794]|78149.1172469646553509|      2.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[47.02942230828457, 149.99811479266126, -100.07117561831332, 1.2249867841694568, 2.0567723380296794]|78149.1172469646553509|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[46.03445956554821, 149.9252843595907, -100.13987323356555, 1.2294009787392814, 2.0592261371754303]|75008.6447116034250939|      2.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       6|[46.03445956554821, 149.9252843595907, -100.13987323356555, 1.2294009787392814, 2.0592261371754303]|75008.6447116034250939|      1.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[45.039884147896146, 149.85343799879112, -100.20790513236129, 1.2611700011263127, 2.0547284705705655]|71935.5819653339422075|      2.00000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       8|[43.229337410097095, 149.74630793759727, -99.97521497564739, 1.886534107850474, 2.5697223396829805]|66580.3605502399295801|      4.00000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       9|[43.229337410097095, 149.74630793759727, -99.97521497564739, 1.886534107850474, 2.5697223396829805]|66580.3605502399295801|      2.00000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[41.23625019080185, 149.63798446142235, -100.10100061526711, 1.8929917825424751, 2.5720955430790786]|60867.3228193772665691|      4.00000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      11|[41.23625019080185, 149.63798446142235, -100.10100061526711, 1.8929917825424751, 2.5720955430790786]|60867.3228193772665691|      2.00000000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[39.24558834472081, 149.49711092878135, -100.23073007870654, 1.9137538745814622, 2.559475550672277]|55418.4594603782970808|      4.00000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      13|[39.24558834472081, 149.49711092878135, -100.23073007870654, 1.9137538745814622, 2.559475550672277]|55418.4594603782970808|      2.00000000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[37.254126218910116, 149.37379608814712, -100.36536496546937, 1.886940816264676, 2.5646290651010206]|50233.5864413518647780|      4.00000000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      15|[37.254126218910116, 149.37379608814712, -100.36536496546937, 1.886940816264676, 2.5646290651010206]|50233.5864413518647780|      2.00000000|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      16|[35.268613718093036, 149.2212804082696, -100.55059770886226, 1.8872350135657148, 2.551674501669452]|45313.5642524236027384|      4.00000000|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      17|[35.268613718093036, 149.2212804082696, -100.55059770886226, 1.8872350135657148, 2.551674501669452]|45313.5642524236027384|      2.00000000|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
