k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 1.0, 0.1]                                                               |19915.8527280256748782|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[99.81834381672847, 0.6237244741036432, -0.8085250462649004]                    |18222.7460937500000000|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[99.81834381672847, 0.6237244741036432, -0.8085250462649004]                    |18222.7460937500000000|      1.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[99.81834381672847, 0.6237244741036432, -0.8085250462649004]                    |18222.7460937500000000|      0.50000000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[99.53184701730133, 0.426819335142652, -0.4491534416983199]                     |18201.7636718750000000|      1.00000000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[100.24469301145734, -0.132521371658895, -0.0260830429105136]                   |11903.8593750000000000|      2.00000000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[100.24469301145734, -0.132521371658895, -0.0260830429105136]                   |11903.8593750000000000|      1.00000000|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[100.24469301145734, -0.132521371658895, -0.0260830429105136]                   |11903.8593750000000000|      0.50000000|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[100.24469301145734, -0.132521371658895, -0.0260830429105136]                   |11903.8593750000000000|      0.25000000|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[100.24469301145734, -0.132521371658895, -0.0260830429105136]                   |11903.8593750000000000|      0.12500000|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[100.24469301145734, -0.132521371658895, -0.0260830429105136]                   |11903.8593750000000000|      0.06250000|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[100.26774232657144, -0.0883297606237159, 0.011627440869026]                    |8137.9604492187500000|      0.12500000|[67, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[100.26774232657144, -0.0883297606237159, 0.011627440869026]                    |8137.9604492187500000|      0.06250000|[73, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[100.30464546640788, -0.0425736610595034, -0.0096043188998208]                  |7268.4389648437500000|      0.12500000|[79, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[100.30464546640788, -0.0425736610595034, -0.0096043188998208]                  |7268.4389648437500000|      0.06250000|[85, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[100.33685889046167, -0.0949704486878845, 0.0014917144885755]                   |6394.0908203125000000|      0.12500000|[91, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
