k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 5.0, -5.0, -1.0]                                                         |7926693.3369958801195025|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.42454992814843, 4.182681391026452, -5.000880603574292, -0.9709013613907305] |6066402.0424420917406678|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[23.920416951919698, 2.296710610074072, -4.944862189112815, -1.4019768685978278]|3943720.5474313679151237|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[20.89125556188578, -0.2464480872518422, -4.399480341444589, -1.64504836749752] |3139004.5181728675961494|      8.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[20.89125556188578, -0.2464480872518422, -4.399480341444589, -1.64504836749752] |3139004.5181728675961494|      4.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[18.29905600221603, 2.1107384100496382, -3.633118339901375, -3.416167376028061] |1978925.6275805155746639|      8.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[18.29905600221603, 2.1107384100496382, -3.633118339901375, -3.416167376028061] |1978925.6275805155746639|      4.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[18.29905600221603, 2.1107384100496382, -3.633118339901375, -3.416167376028061] |1978925.6275805155746639|      2.00000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[17.532578277927318, 3.50524438229967, -2.582271659353979, -2.8131862440589828] |1707434.3729577085468918|      4.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       9|[17.532578277927318, 3.50524438229967, -2.582271659353979, -2.8131862440589828] |1707434.3729577085468918|      2.00000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[17.532578277927318, 3.50524438229967, -2.582271659353979, -2.8131862440589828] |1707434.3729577085468918|      1.00000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[17.78414431046527, 2.8298781416757715, -2.0871950969271498, -2.327908828929977]|1647456.6692871502600610|      2.00000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[17.78414431046527, 2.8298781416757715, -2.0871950969271498, -2.327908828929977]|1647456.6692871502600610|      1.00000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[17.78414431046527, 2.8298781416757715, -2.0871950969271498, -2.327908828929977]|1647456.6692871502600610|      0.50000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[17.3359771140286, 2.76507235429992, -1.9181717435536205, -2.19993430031174]    |1565504.0256976173259318|      1.00000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[17.3359771140286, 2.76507235429992, -1.9181717435536205, -2.19993430031174]    |1565504.0256976173259318|      0.50000000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      16|[17.07646578794576, 2.91332707964751, -2.0827226085478374, -1.8344244907628147] |1512331.3162929881364107|      1.00000000|[64, 16, 16, 32]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      17|[16.105570614471205, 2.7328889703048227, -1.9855315401424174, -1.7104948855715658]|1428497.1237413980998099|      2.00000000|[68, 17, 17, 34]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      18|[14.506388561732429, 3.2223021744243234, -1.3982534114231622, -2.6368835067018583]|1235095.9102751780301332|      4.00000000|[72, 18, 18, 36]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      19|[14.506388561732429, 3.2223021744243234, -1.3982534114231622, -2.6368835067018583]|1235095.9102751780301332|      2.00000000|[76, 19, 19, 38]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      20|[14.506388561732429, 3.2223021744243234, -1.3982534114231622, -2.6368835067018583]|1235095.9102751780301332|      1.00000000|[80, 20, 20, 40]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
