k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2644417735952123, -0.0242083674832467, 0.6739420410765341, 0.8703910373943515, 1.116080560989536, 0.1095520616471054]|436.5158680237663589|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[0.2644417735952123, -0.0242083674832467, 0.6739420410765341, 0.8703910373943515, 1.116080560989536, 0.1095520616471054]|436.5158680237663589|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.8247643885947136, -0.5602866390872292, 1.06630318056274, 0.8070693087038755, 1.0333632528992285, -0.3740382563631258]|387.3448343145131503|      2.00000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       4|[0.8247643885947136, -0.5602866390872292, 1.06630318056274, 0.8070693087038755, 1.0333632528992285, -0.3740382563631258]|387.3448343145131503|      1.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[1.1875550569498392, -0.4541482627023978, 1.0124148015343084, 1.4079143163528867, 1.6452840423175732, -0.0294343636407553]|189.2595296860691860|      2.00000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       6|[1.1875550569498392, -0.4541482627023978, 1.0124148015343084, 1.4079143163528867, 1.6452840423175732, -0.0294343636407553]|189.2595296860691860|      1.00000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[1.1875550569498392, -0.4541482627023978, 1.0124148015343084, 1.4079143163528867, 1.6452840423175732, -0.0294343636407553]|189.2595296860691860|      0.50000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[1.1825812023772047, -0.7796611843031953, 1.3097774009032492, 1.4784094423223433, 1.4384847958475988, -0.1180717824442796]|153.8910642967152285|      1.00000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[1.1825812023772047, -0.7796611843031953, 1.3097774009032492, 1.4784094423223433, 1.4384847958475988, -0.1180717824442796]|153.8910642967152285|      0.50000000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[1.1825812023772047, -0.7796611843031953, 1.3097774009032492, 1.4784094423223433, 1.4384847958475988, -0.1180717824442796]|153.8910642967152285|      0.25000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[1.1840394828358194, -0.6281059840024699, 1.2226217876303933, 1.592164894725418, 1.4804798354455524, 0.0131871504048088]|127.2621186548535661|      0.50000000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      12|[1.1840394828358194, -0.6281059840024699, 1.2226217876303933, 1.592164894725418, 1.4804798354455524, 0.0131871504048088]|127.2621186548535661|      0.25000000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[1.1840394828358194, -0.6281059840024699, 1.2226217876303933, 1.592164894725418, 1.4804798354455524, 0.0131871504048088]|127.2621186548535661|      0.12500000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[1.1813294230727585, -0.6773583653951393, 1.3165377779395782, 1.6365152031932861, 1.4502209325344568, -0.0254016329512208]|120.0500938667819213|      0.25000000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      15|[1.1813294230727585, -0.6773583653951393, 1.3165377779395782, 1.6365152031932861, 1.4502209325344568, -0.0254016329512208]|120.0500938667819213|      0.12500000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[1.1928210219773283, -0.6736282567597639, 1.3390582876097683, 1.724026329684436, 1.424880712009372, 0.0562778139884452]|111.9506396081529687|      0.25000000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      17|[1.1928210219773283, -0.6736282567597639, 1.3390582876097683, 1.724026329684436, 1.424880712009372, 0.0562778139884452]|111.9506396081529687|      0.12500000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[1.1928210219773283, -0.6736282567597639, 1.3390582876097683, 1.724026329684436, 1.424880712009372, 0.0562778139884452]|111.9506396081529687|      0.06250000|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[1.1861360695295855, -0.6613322344124428, 1.3848049305667989, 1.7384643485151436, 1.3885819176292444, 0.0467093740863029]|107.5888367446427623|      0.12500000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      20|[1.212834156537842, -0.6542728122192566, 1.4857654751867284, 1.768125012659148, 1.3721298295897926, 0.1060298506532002]|100.8223438531454974|      0.25000000|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      21|[1.212834156537842, -0.6542728122192566, 1.4857654751867284, 1.768125012659148, 1.3721298295897926, 0.1060298506532002]|100.8223438531454974|      0.12500000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[1.212834156537842, -0.6542728122192566, 1.4857654751867284, 1.768125012659148, 1.3721298295897926, 0.1060298506532002]|100.8223438531454974|      0.06250000|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      23|[1.2139817135872844, -0.636625771933948, 1.5045916920650255, 1.7786577742084897, 1.3278364617954155, 0.1401802114655701]| 97.9148191634711083|      0.12500000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      24|[1.2139817135872844, -0.636625771933948, 1.5045916920650255, 1.7786577742084897, 1.3278364617954155, 0.1401802114655701]| 97.9148191634711083|      0.06250000|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      25|[1.2444945436151582, -0.6267755676854383, 1.5390896139416874, 1.8028083773616137, 1.3015371674219016, 0.1605070299313317]| 95.3837425448797660|      0.12500000|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      26|[1.2444945436151582, -0.6267755676854383, 1.5390896139416874, 1.8028083773616137, 1.3015371674219016, 0.1605070299313317]| 95.3837425448797660|      0.06250000|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      27|[1.2369662314400578, -0.6297259166118451, 1.5898111555070558, 1.7937882066374267, 1.3326728986167768, 0.1457626092473479]| 94.5497283251732767|      0.12500000|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      28|[1.2795161698671178, -0.6187255911322588, 1.6641999401117005, 1.822165019576381, 1.3519563859650698, 0.229325207982405]| 89.6132835896442259|      0.25000000|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      29|[1.2795161698671178, -0.6187255911322588, 1.6641999401117005, 1.822165019576381, 1.3519563859650698, 0.229325207982405]| 89.6132835896442259|      0.12500000|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
