k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |772166.1146731314947829|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9980672650210215, 0.9953905132203074, 0.9890540799452892, 0.9737640583769195, 0.9366954820540634, 0.8464945138284832, 0.6263579751732353, 0.0878667200596894]|66159.0156250000000000|      2.00000000|[33, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       2|[0.9980672650210215, 0.9953905132203074, 0.9890540799452892, 0.9737640583769195, 0.9366954820540634, 0.8464945138284832, 0.6263579751732353, 0.0878667200596894]|66159.0156250000000000|      1.00000000|[65, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.9980672650210215, 0.9953905132203074, 0.9890540799452892, 0.9737640583769195, 0.9366954820540634, 0.8464945138284832, 0.6263579751732353, 0.0878667200596894]|66159.0156250000000000|      0.50000000|[97, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.9971303878509444, 0.993073017625362, 0.983566842478744, 0.9606268497358245, 0.905014236512828, 0.769700948893262, 0.4394969083515574, -0.368173896794996]|3128.7380371093750000|      1.00000000|[129, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | iterate success | actual_k=0
       5|[0.9971303878509444, 0.993073017625362, 0.983566842478744, 0.9606268497358245, 0.905014236512828, 0.769700948893262, 0.4394969083515574, -0.368173896794996]|3128.7380371093750000|      0.50000000|[161, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.9971303878509444, 0.993073017625362, 0.983566842478744, 0.9606268497358245, 0.905014236512828, 0.769700948893262, 0.4394969083515574, -0.368173896794996]|3128.7380371093750000|      0.25000000|[193, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.9971303878509444, 0.993073017625362, 0.983566842478744, 0.9606268497358245, 0.905014236512828, 0.769700948893262, 0.4394969083515574, -0.368173896794996]|3128.7380371093750000|      0.12500000|[225, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[0.997424490324188, 0.993626478348443, 0.9849096894331584, 0.963872098437057, 0.9128756931223553, 0.7888164792818355, 0.4861308516120558, -0.2541110122014348]|762.9636840820312500|      0.25000000|[257, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       9|[0.997424490324188, 0.993626478348443, 0.9849096894331584, 0.963872098437057, 0.9128756931223553, 0.7888164792818355, 0.4861308516120558, -0.2541110122014348]|762.9636840820312500|      0.12500000|[289, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.997424490324188, 0.993626478348443, 0.9849096894331584, 0.963872098437057, 0.9128756931223553, 0.7888164792818355, 0.4861308516120558, -0.2541110122014348]|762.9636840820312500|      0.06250000|[321, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[0.9973587608041973, 0.9933145870676134, 0.984198981004243, 0.9621965122477888, 0.9088651580960043, 0.7791463656966456, 0.4627036609586451, -0.3110707081104829]|435.5563659667968750|      0.12500000|[353, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
