k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 5.0, -5.0, -1.0]                                                         |7926693.3369958801195025|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.911011971248882, 4.023805222033922, -4.930729078395067, -0.8147260794640738]|6267499.5000000000000000|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[22.98788438953823, 3.747419145338539, -4.701806870650884, -0.399051129684567]  |4304288.5000000000000000|      4.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[21.658348389183644, 0.2304365665893715, -3.700259997213153, -1.3264514881291263]|2810990.0000000000000000|      8.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[21.658348389183644, 0.2304365665893715, -3.700259997213153, -1.3264514881291263]|2810990.0000000000000000|      4.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[21.658348389183644, 0.2304365665893715, -3.700259997213153, -1.3264514881291263]|2810990.0000000000000000|      2.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[21.30177873205568, 2.197642430401772, -3.6940314284649074, -1.3804919722970372]|2546570.2500000000000000|      4.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[21.30177873205568, 2.197642430401772, -3.6940314284649074, -1.3804919722970372]|2546570.2500000000000000|      2.00000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[21.30177873205568, 2.197642430401772, -3.6940314284649074, -1.3804919722970372]|2546570.2500000000000000|      1.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[20.55936485990004, 1.6016546876248774, -3.4356253578484655, -1.2166427868882006]|2269633.0000000000000000|      2.00000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[20.55936485990004, 1.6016546876248774, -3.4356253578484655, -1.2166427868882006]|2269633.0000000000000000|      1.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[19.83678704214746, 1.5384286177501283, -2.761988349250268, -1.0748791031501332]|2090961.0000000000000000|      2.00000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[18.58680398440551, 2.664735940835131, -3.7137487881990014, -1.5878374213157485]|1885981.5000000000000000|      4.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[18.58680398440551, 2.664735940835131, -3.7137487881990014, -1.5878374213157485]|1885981.5000000000000000|      2.00000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[16.7682209365276, 3.1770962844295667, -3.0752953295781538, -1.437438759559845] |1499646.1250000000000000|      4.00000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[16.7682209365276, 3.1770962844295667, -3.0752953295781538, -1.437438759559845] |1499646.1250000000000000|      2.00000000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      16|[16.7682209365276, 3.1770962844295667, -3.0752953295781538, -1.437438759559845] |1499646.1250000000000000|      1.00000000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      17|[16.37455797367298, 3.8976211097777735, -2.8039081708182536, -0.9352212192511775]|1430343.1250000000000000|      2.00000000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      18|[14.703630225146245, 2.8630136544976117, -2.9931969692940954, -1.2542159268148834]|1366506.2500000000000000|      4.00000000|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      19|[14.703630225146245, 2.8630136544976117, -2.9931969692940954, -1.2542159268148834]|1366506.2500000000000000|      2.00000000|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      20|[14.086616190041429, 4.735758725609416, -2.7663568695747, -1.5005148270751387]  |1132764.5000000000000000|      4.00000000|[161, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
