k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.50000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.25000000|[10, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.12500000|[15, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.06250000|[20, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.03125000|[24, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.01562500|[28, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.00781250|[33, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[1.2020121739011247, -1.1985559640950187, 0.9725904741888055]                   |  0.0001689659547992|      0.01562500|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[1.2020121739011247, -1.1985559640950187, 0.9725904741888055]                   |  0.0001689659547992|      0.00781250|[42, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[1.2020121739011247, -1.1985559640950187, 0.9725904741888055]                   |  0.0001689659547992|      0.00390625|[47, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[1.2020121739011247, -1.1985559640950187, 0.9725904741888055]                   |  0.0001689659547992|      0.00195312|[52, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[1.2013113849542647, -1.1991507297070951, 0.9743137982976937]                   |  0.0000956174699240|      0.00390625|[57, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[1.2013113849542647, -1.1991507297070951, 0.9743137982976937]                   |  0.0000956174699240|      0.00195312|[62, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[1.2013113849542647, -1.1991507297070951, 0.9743137982976937]                   |  0.0000956174699240|      0.00097656|[67, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[1.2012439379738025, -1.1996142000768857, 0.9734568733082348]                   |  0.0000928638764890|      0.00195312|[72, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
