k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 10.0, 1.0, 1.0]                                                         |3066308.1922855651937425|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.08162042624237, 9.843606868167614, 1.9030402863087583, 1.3916599745175247] |2660141.9772946648299694|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[100.08162042624237, 9.843606868167614, 1.9030402863087583, 1.3916599745175247] |2660141.9772946648299694|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[99.77937314873188, 9.596685220396633, 2.779822834311666, 1.672602400322332]    |2635599.6913100332021713|      2.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       4|[99.77937314873188, 9.596685220396633, 2.779822834311666, 1.672602400322332]    |2635599.6913100332021713|      1.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[100.35890356485308, 9.324456541082126, 3.444931902053412, 2.056875702747544]   |2628603.3146546902135015|      2.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       6|[102.29201550591938, 9.224059153935531, 3.84170664118782, 2.3660170852019693]   |2609975.1098698000423610|      4.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[102.29201550591938, 9.224059153935531, 3.84170664118782, 2.3660170852019693]   |2609975.1098698000423610|      2.00000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[104.2847176509636, 9.371893428242453, 3.791635011223064, 2.4351258425989957]   |2590057.3389188456349075|      4.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       9|[104.2847176509636, 9.371893428242453, 3.791635011223064, 2.4351258425989957]   |2590057.3389188456349075|      2.00000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[106.27062780228863, 9.395860890549253, 3.5585119183262344, 2.399911425480775]  |2569993.4081644038669765|      4.00000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      11|[106.27062780228863, 9.395860890549253, 3.5585119183262344, 2.399911425480775]  |2569993.4081644038669765|      2.00000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[108.22145406582068, 9.436479431487538, 3.130311789052728, 2.30362189886552]    |2550001.5749242226593196|      4.00000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      13|[108.22145406582068, 9.436479431487538, 3.130311789052728, 2.30362189886552]    |2550001.5749242226593196|      2.00000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[108.22145406582068, 9.436479431487538, 3.130311789052728, 2.30362189886552]    |2550001.5749242226593196|      1.00000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
