k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |  4.0997369887712187|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.4685464822976426, 5.847087456241556]                                         |  1.8286591768264771|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[0.4685464822976426, 5.847087456241556]                                         |  1.8286591768264771|      1.00000000|[13, 4, 1, 5]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.9331921059477544, 6.7325841781004225]                                        |  1.1016757488250732|      2.00000000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[0.9331921059477544, 6.7325841781004225]                                        |  1.1016757488250732|      1.00000000|[26, 8, 1, 9]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.235184003037756, 7.448674038573245]                                          |  0.8434750437736511|      2.00000000|[32, 10, 1, 11]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[0.235184003037756, 7.448674038573245]                                          |  0.8434750437736511|      1.00000000|[38, 12, 1, 13]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.235184003037756, 7.448674038573245]                                          |  0.8434750437736511|      0.50000000|[44, 14, 1, 15]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.6828321845112838, 7.671409544551621]                                         |  0.4096455872058868|      1.00000000|[50, 16, 1, 17]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[0.6828321845112838, 7.671409544551621]                                         |  0.4096455872058868|      0.50000000|[56, 18, 1, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[1.0735754018012558, 7.983370660945767]                                         |  0.3757864832878113|      1.00000000|[62, 20, 1, 21]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
