k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.3, 0.1, 100.0, 0.0, 0.3, 0.9, 100.0, 0.01, 0.3, 0.9, 100.0, 0.02, 0.4, 0.8, 100.0, 0.05, 0.4, 0.8, 100.0, 0.07, 0.45, 0.8, 100.0, 0.09, 0.5, 0.7, 100.0, 0.1, 0.5, 0.7, 100.0, 0.15, 0.5, 0.6, 100.0, 0.2, 0.5, 0.6, 100.0, 0.25, 0.6, 0.5, 100.0, 0.3, 0.6, 0.5, 100.0, 0.35, 0.6, 0.5, 100.0, 0.4, 0.6, 0.4, 100.0, 0.4, 0.7, 0.4, 100.0, 0.42, 0.7, 0.3, 100.0, 0.45, 0.75, 0.3, 100.0, 0.45, 0.75, 0.2, 100.0, 0.5, 0.8, 0.1, 100.0, 0.5, 0.8, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0]|1341.6625208673881389|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.3, 0.1, 100.0, 0.0, 0.3, 0.9, 100.0, 0.01, 0.3, 0.9, 100.0, 0.02, 0.4, 0.8, 100.0, 0.05, 0.4, 0.8, 100.0, 0.07, 0.45, 0.8, 100.0, 0.09, 0.5, 0.7, 100.0, 0.1, 0.5, 0.7, 100.0, 0.15, 0.5, 0.6, 100.0, 0.2, 0.5, 0.6, 100.0, 0.25, 0.6, 0.5, 100.0, 0.3, 0.6, 0.5, 100.0, 0.35, 0.6, 0.5, 100.0, 0.4, 0.6, 0.4, 100.0, 0.4, 0.7, 0.4, 100.0, 0.42, 0.7, 0.3, 100.0, 0.45, 0.75, 0.3, 100.0, 0.45, 0.75, 0.2, 100.0, 0.5, 0.8, 0.1, 100.0, 0.5, 0.8, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0]|1341.6625208673881389|      0.50000000|[175, 12, 0, 3]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 118 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[100.0, 0.0, 0.3, 0.1, 100.0, 0.0, 0.3, 0.9, 100.0, 0.01, 0.3, 0.9, 100.0, 0.02, 0.4, 0.8, 100.0, 0.05, 0.4, 0.8, 100.0, 0.07, 0.45, 0.8, 100.0, 0.09, 0.5, 0.7, 100.0, 0.1, 0.5, 0.7, 100.0, 0.15, 0.5, 0.6, 100.0, 0.2, 0.5, 0.6, 100.0, 0.25, 0.6, 0.5, 100.0, 0.3, 0.6, 0.5, 100.0, 0.35, 0.6, 0.5, 100.0, 0.4, 0.6, 0.4, 100.0, 0.4, 0.7, 0.4, 100.0, 0.42, 0.7, 0.3, 100.0, 0.45, 0.75, 0.3, 100.0, 0.45, 0.75, 0.2, 100.0, 0.5, 0.8, 0.1, 100.0, 0.5, 0.8, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0]|1341.6625208673881389|      0.25000000|[349, 24, 0, 6]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 118 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[100.02258207566939, 0.0412331258766766, 0.3303276697190466, 0.1128170215058559, 99.99348266597869, -0.0429163670397556, 0.283361148901429, 0.8475678732184903, 99.98353014300001, 0.0126189348330598, 0.2813368172293792, 0.8598086272536408, 100.01689700063713, -0.021929742196107, 0.3448456763138922, 0.8083372274677743, 100.0084723530881, 0.0767888895998445, 0.4279709487047268, 0.8109527757433355, 99.98724476254978, 0.0720189004867035, 0.4269012150374911, 0.7662053994573776, 99.98065715222378, 0.0935368334822783, 0.4804647482325629, 0.7059125373823864, 99.94839006874054, 0.084052632250978, 0.5059932916724118, 0.7050338772062479, 100.02270914012209, 0.0851487874941929, 0.5054310741385416, 0.6138818289262693, 99.92623551915652, 0.1695208521858472, 0.5023184448795335, 0.5582235993173588, 99.9900748858528, 0.2073869813609185, 0.6163475427303676, 0.5126999775393789, 100.00430715905942, 0.3266112379786506, 0.6119688602936313, 0.4914560219103538, 100.02044667056654, 0.3430076110116699, 0.5651432343053276, 0.4833328776845284, 100.00301927869062, 0.4036690782779658, 0.6444284238945469, 0.4112303881042402, 99.99358751633295, 0.414717855823975, 0.7185291180075791, 0.3889807700387429, 99.97586250512398, 0.4632459846264068, 0.7016667155154529, 0.2919931131535868, 99.99088671105233, 0.4200151540099243, 0.7327172770205368, 0.2980105409040252, 100.02774044360325, 0.5313050141784733, 0.753455935819387, 0.1736377460716409, 100.00874783737184, 0.4882860720298446, 0.7806395506302822, 0.1032266984537969, 99.98292939311094, 0.5221281653749981, 0.8100917347101946, -0.0247437587108467, 300.03320779701454, 300.0031764386495, 299.9965218884025, 299.9767912268804, 299.97861773659895, 300.01809026449945, 299.9973602322537, 299.9948359437929, 300.01214150954854, 299.9868992556956, 300.0301021439093, 300.0068774798454, 299.98036049676625, 300.0092644063577, 299.9956846826129, 299.9975345224852, 299.98957946290085, 299.99853609362094, 300.008958979405]|1076.0479736328125000|      0.50000000|[467, 32, 0, 8]                                                            |  | trying linear partial model with 61 points | iterate success | actual_k=4
       4|[100.02258207566939, 0.0412331258766766, 0.3303276697190466, 0.1128170215058559, 99.99348266597869, -0.0429163670397556, 0.283361148901429, 0.8475678732184903, 99.98353014300001, 0.0126189348330598, 0.2813368172293792, 0.8598086272536408, 100.01689700063713, -0.021929742196107, 0.3448456763138922, 0.8083372274677743, 100.0084723530881, 0.0767888895998445, 0.4279709487047268, 0.8109527757433355, 99.98724476254978, 0.0720189004867035, 0.4269012150374911, 0.7662053994573776, 99.98065715222378, 0.0935368334822783, 0.4804647482325629, 0.7059125373823864, 99.94839006874054, 0.084052632250978, 0.5059932916724118, 0.7050338772062479, 100.02270914012209, 0.0851487874941929, 0.5054310741385416, 0.6138818289262693, 99.92623551915652, 0.1695208521858472, 0.5023184448795335, 0.5582235993173588, 99.9900748858528, 0.2073869813609185, 0.6163475427303676, 0.5126999775393789, 100.00430715905942, 0.3266112379786506, 0.6119688602936313, 0.4914560219103538, 100.02044667056654, 0.3430076110116699, 0.5651432343053276, 0.4833328776845284, 100.00301927869062, 0.4036690782779658, 0.6444284238945469, 0.4112303881042402, 99.99358751633295, 0.414717855823975, 0.7185291180075791, 0.3889807700387429, 99.97586250512398, 0.4632459846264068, 0.7016667155154529, 0.2919931131535868, 99.99088671105233, 0.4200151540099243, 0.7327172770205368, 0.2980105409040252, 100.02774044360325, 0.5313050141784733, 0.753455935819387, 0.1736377460716409, 100.00874783737184, 0.4882860720298446, 0.7806395506302822, 0.1032266984537969, 99.98292939311094, 0.5221281653749981, 0.8100917347101946, -0.0247437587108467, 300.03320779701454, 300.0031764386495, 299.9965218884025, 299.9767912268804, 299.97861773659895, 300.01809026449945, 299.9973602322537, 299.9948359437929, 300.01214150954854, 299.9868992556956, 300.0301021439093, 300.0068774798454, 299.98036049676625, 300.0092644063577, 299.9956846826129, 299.9975345224852, 299.98957946290085, 299.99853609362094, 300.008958979405]|1076.0479736328125000|      0.25000000|[641, 44, 0, 11]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 118 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[100.02474445800806, 0.1264407862871193, 0.3539114114572462, 0.1217562591742203, 100.02865870722366, -0.0561991847449668, 0.2986556380377215, 0.8104431863703089, 100.00661686692189, 0.054135989315268, 0.2940999366657154, 0.8717012824981865, 100.04972456840976, 0.0234380281189107, 0.3635626279751435, 0.8536168287056655, 99.99501426882962, 0.0712349858497659, 0.4030261982451425, 0.8264844190664681, 99.97128343830659, 0.1244355992550758, 0.4139286380736227, 0.7447562974425588, 99.99259532940447, 0.0838883564482391, 0.5276116137978076, 0.7010354142757961, 99.94937410867333, 0.0242473966451942, 0.4961194773222924, 0.7149642096140439, 100.04974950947222, 0.0998955864765399, 0.5042063707062924, 0.6355352788958716, 99.94204339530896, 0.1763900279858253, 0.4917663466937678, 0.5811472540929375, 100.00097396970348, 0.1988009673833597, 0.6209401064988522, 0.4896030659760286, 100.03742362156383, 0.3510477116245251, 0.6097733087494899, 0.4547589030064222, 100.04830898705214, 0.3748545989554559, 0.5488652272000745, 0.5146946110464474, 99.97373301723627, 0.3952617202960391, 0.5970999725020781, 0.4131806179731196, 100.01083581978268, 0.3818489338300718, 0.7392115195405786, 0.3900265949570384, 99.95369674861487, 0.4694643743654881, 0.677032003199222, 0.3183121766497842, 100.0440165846756, 0.4301272181136572, 0.7178346300570326, 0.2872897792321012, 100.00822415889589, 0.498472044605999, 0.7553370061327385, 0.1726706000697057, 100.00795347224432, 0.4976279075880188, 0.7850630910432919, 0.0999692050021352, 99.95833789406694, 0.5003117200414166, 0.8222606767123771, -0.0143528115493698, 300.01225427467205, 299.98988039773843, 300.0126001079203, 299.9787754830334, 299.94497198170285, 300.0177053763711, 299.97400906943085, 299.96491999779573, 300.04417730978014, 299.9806526360918, 300.02711491875596, 299.9844478983639, 300.02028239134916, 300.0426977368212, 300.01120249383973, 299.97788779540804, 299.97668928641843, 300.038194423734, 300.02430921186357]|734.0999755859375000|      0.50000000|[759, 52, 0, 13]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       6|[100.02474445800806, 0.1264407862871193, 0.3539114114572462, 0.1217562591742203, 100.02865870722366, -0.0561991847449668, 0.2986556380377215, 0.8104431863703089, 100.00661686692189, 0.054135989315268, 0.2940999366657154, 0.8717012824981865, 100.04972456840976, 0.0234380281189107, 0.3635626279751435, 0.8536168287056655, 99.99501426882962, 0.0712349858497659, 0.4030261982451425, 0.8264844190664681, 99.97128343830659, 0.1244355992550758, 0.4139286380736227, 0.7447562974425588, 99.99259532940447, 0.0838883564482391, 0.5276116137978076, 0.7010354142757961, 99.94937410867333, 0.0242473966451942, 0.4961194773222924, 0.7149642096140439, 100.04974950947222, 0.0998955864765399, 0.5042063707062924, 0.6355352788958716, 99.94204339530896, 0.1763900279858253, 0.4917663466937678, 0.5811472540929375, 100.00097396970348, 0.1988009673833597, 0.6209401064988522, 0.4896030659760286, 100.03742362156383, 0.3510477116245251, 0.6097733087494899, 0.4547589030064222, 100.04830898705214, 0.3748545989554559, 0.5488652272000745, 0.5146946110464474, 99.97373301723627, 0.3952617202960391, 0.5970999725020781, 0.4131806179731196, 100.01083581978268, 0.3818489338300718, 0.7392115195405786, 0.3900265949570384, 99.95369674861487, 0.4694643743654881, 0.677032003199222, 0.3183121766497842, 100.0440165846756, 0.4301272181136572, 0.7178346300570326, 0.2872897792321012, 100.00822415889589, 0.498472044605999, 0.7553370061327385, 0.1726706000697057, 100.00795347224432, 0.4976279075880188, 0.7850630910432919, 0.0999692050021352, 99.95833789406694, 0.5003117200414166, 0.8222606767123771, -0.0143528115493698, 300.01225427467205, 299.98988039773843, 300.0126001079203, 299.9787754830334, 299.94497198170285, 300.0177053763711, 299.97400906943085, 299.96491999779573, 300.04417730978014, 299.9806526360918, 300.02711491875596, 299.9844478983639, 300.02028239134916, 300.0426977368212, 300.01120249383973, 299.97788779540804, 299.97668928641843, 300.038194423734, 300.02430921186357]|734.0999755859375000|      0.25000000|[933, 64, 0, 16]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 118 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[100.02474445800806, 0.1264407862871193, 0.3539114114572462, 0.1217562591742203, 100.02865870722366, -0.0561991847449668, 0.2986556380377215, 0.8104431863703089, 100.00661686692189, 0.054135989315268, 0.2940999366657154, 0.8717012824981865, 100.04972456840976, 0.0234380281189107, 0.3635626279751435, 0.8536168287056655, 99.99501426882962, 0.0712349858497659, 0.4030261982451425, 0.8264844190664681, 99.97128343830659, 0.1244355992550758, 0.4139286380736227, 0.7447562974425588, 99.99259532940447, 0.0838883564482391, 0.5276116137978076, 0.7010354142757961, 99.94937410867333, 0.0242473966451942, 0.4961194773222924, 0.7149642096140439, 100.04974950947222, 0.0998955864765399, 0.5042063707062924, 0.6355352788958716, 99.94204339530896, 0.1763900279858253, 0.4917663466937678, 0.5811472540929375, 100.00097396970348, 0.1988009673833597, 0.6209401064988522, 0.4896030659760286, 100.03742362156383, 0.3510477116245251, 0.6097733087494899, 0.4547589030064222, 100.04830898705214, 0.3748545989554559, 0.5488652272000745, 0.5146946110464474, 99.97373301723627, 0.3952617202960391, 0.5970999725020781, 0.4131806179731196, 100.01083581978268, 0.3818489338300718, 0.7392115195405786, 0.3900265949570384, 99.95369674861487, 0.4694643743654881, 0.677032003199222, 0.3183121766497842, 100.0440165846756, 0.4301272181136572, 0.7178346300570326, 0.2872897792321012, 100.00822415889589, 0.498472044605999, 0.7553370061327385, 0.1726706000697057, 100.00795347224432, 0.4976279075880188, 0.7850630910432919, 0.0999692050021352, 99.95833789406694, 0.5003117200414166, 0.8222606767123771, -0.0143528115493698, 300.01225427467205, 299.98988039773843, 300.0126001079203, 299.9787754830334, 299.94497198170285, 300.0177053763711, 299.97400906943085, 299.96491999779573, 300.04417730978014, 299.9806526360918, 300.02711491875596, 299.9844478983639, 300.02028239134916, 300.0426977368212, 300.01120249383973, 299.97788779540804, 299.97668928641843, 300.038194423734, 300.02430921186357]|734.0999755859375000|      0.12500000|[1108, 76, 0, 19]                                                          |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 118 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[100.02305761236948, 0.1545134824918541, 0.3747298395521519, 0.124848118769325, 100.0135584033732, -0.0456824690223138, 0.2911489716126901, 0.7979949060287295, 99.98418792656163, 0.0511627345934692, 0.2615596641772009, 0.8743782775755106, 100.03841396399088, 0.0353039710416461, 0.372986780081639, 0.8664583254567029, 99.99624985995602, 0.0554487622449279, 0.3932422631767767, 0.8058564863243125, 99.97506665929082, 0.1349375476128486, 0.3869764113636863, 0.7452077429944093, 99.99085925333728, 0.0879466362248077, 0.5261677545828233, 0.6913020171481952, 99.94374243196208, 0.0542243751595628, 0.4971311173136336, 0.7257652868860399, 100.05316072610266, 0.09008431411544, 0.4711515115637547, 0.6205994439049515, 99.94478758264665, 0.1610817007214944, 0.4905894591918565, 0.5688108714224756, 100.00821955991593, 0.2111622918908114, 0.6048984893983108, 0.5082965589171785, 100.02094743178986, 0.3416756975253441, 0.6033691565885827, 0.464756685963497, 100.03987334164451, 0.3807645641368852, 0.5520305978552023, 0.5104026041898962, 99.97932736343684, 0.4067261298403572, 0.5880607513373705, 0.4078458791816905, 100.02972282408165, 0.3710316087931035, 0.7198543504327917, 0.4075383585467581, 99.9523528441198, 0.4642530313465034, 0.6821565980353352, 0.3236733844146688, 100.04695638308495, 0.4400393425541904, 0.7389418263352011, 0.3071216717672658, 100.01722267248466, 0.505299794345689, 0.7581099457858561, 0.1522716406510447, 99.99202025752928, 0.485361295630687, 0.7915688808168179, 0.0867389176755771, 99.95792198916863, 0.4813327192933421, 0.8263965894161178, 0.0021881035800732, 300.00473398625974, 299.99443903794605, 300.01432839829835, 299.9731348476736, 299.9254375608611, 300.0358659369005, 299.96862004898895, 299.9496050167995, 300.04743763845363, 299.9841135009189, 300.01808259555514, 299.97631697401926, 300.01296869489903, 300.0492311868651, 300.0106515769262, 299.97587138879385, 299.9784728916246, 300.03825658163026, 300.0176511473957]|575.8894042968750000|      0.25000000|[1225, 84, 0, 21]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
       9|[100.02305761236948, 0.1545134824918541, 0.3747298395521519, 0.124848118769325, 100.0135584033732, -0.0456824690223138, 0.2911489716126901, 0.7979949060287295, 99.98418792656163, 0.0511627345934692, 0.2615596641772009, 0.8743782775755106, 100.03841396399088, 0.0353039710416461, 0.372986780081639, 0.8664583254567029, 99.99624985995602, 0.0554487622449279, 0.3932422631767767, 0.8058564863243125, 99.97506665929082, 0.1349375476128486, 0.3869764113636863, 0.7452077429944093, 99.99085925333728, 0.0879466362248077, 0.5261677545828233, 0.6913020171481952, 99.94374243196208, 0.0542243751595628, 0.4971311173136336, 0.7257652868860399, 100.05316072610266, 0.09008431411544, 0.4711515115637547, 0.6205994439049515, 99.94478758264665, 0.1610817007214944, 0.4905894591918565, 0.5688108714224756, 100.00821955991593, 0.2111622918908114, 0.6048984893983108, 0.5082965589171785, 100.02094743178986, 0.3416756975253441, 0.6033691565885827, 0.464756685963497, 100.03987334164451, 0.3807645641368852, 0.5520305978552023, 0.5104026041898962, 99.97932736343684, 0.4067261298403572, 0.5880607513373705, 0.4078458791816905, 100.02972282408165, 0.3710316087931035, 0.7198543504327917, 0.4075383585467581, 99.9523528441198, 0.4642530313465034, 0.6821565980353352, 0.3236733844146688, 100.04695638308495, 0.4400393425541904, 0.7389418263352011, 0.3071216717672658, 100.01722267248466, 0.505299794345689, 0.7581099457858561, 0.1522716406510447, 99.99202025752928, 0.485361295630687, 0.7915688808168179, 0.0867389176755771, 99.95792198916863, 0.4813327192933421, 0.8263965894161178, 0.0021881035800732, 300.00473398625974, 299.99443903794605, 300.01432839829835, 299.9731348476736, 299.9254375608611, 300.0358659369005, 299.96862004898895, 299.9496050167995, 300.04743763845363, 299.9841135009189, 300.01808259555514, 299.97631697401926, 300.01296869489903, 300.0492311868651, 300.0106515769262, 299.97587138879385, 299.9784728916246, 300.03825658163026, 300.0176511473957]|575.8894042968750000|      0.12500000|[1399, 96, 0, 24]                                                          |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 118 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[100.00474585434127, 0.1819737849472393, 0.427655752799319, 0.1193327902956033, 100.01136322173765, -0.0444868343315022, 0.2820390281598792, 0.7894773739374575, 99.97285261328565, 0.0375487267010988, 0.2594658474070493, 0.8775217551598343, 100.06381428447204, 0.0340770187180522, 0.3735575488416313, 0.8797056562480168, 99.98095067951948, 0.0513432103836014, 0.3992912093305648, 0.8161451197738415, 99.97410871103823, 0.1494879643030478, 0.3990504143437495, 0.7391114416502479, 99.97457276821238, 0.0817591240587123, 0.5415769857137717, 0.6878828987479481, 99.92917547351448, 0.0689722781171128, 0.5108477276482214, 0.7126031285776926, 100.04859676636012, 0.1061675470871589, 0.4722036077822631, 0.6245118209387798, 99.93626317087862, 0.1696715524321382, 0.4834078922739491, 0.5507674578435539, 99.98873350749889, 0.2406034815180853, 0.6143481369835082, 0.5159330758637345, 100.03490024343469, 0.3306083968126717, 0.6020378103031638, 0.4488027535015391, 100.04173901013031, 0.3614345352781168, 0.5535383950590498, 0.5187614564297875, 99.98712045978644, 0.4085561372787422, 0.5788754148763627, 0.4133585409057701, 100.0389918404932, 0.3717915463835371, 0.7051137925488133, 0.4039416583343505, 99.93429552852176, 0.4723355390538828, 0.6826707525820543, 0.3202530810666385, 100.06044481999527, 0.4387906889107134, 0.7253616595730732, 0.3074391741009049, 100.0135583543579, 0.4989009095024275, 0.7549419131716991, 0.1296670217297481, 99.98279508151718, 0.4906383977297223, 0.7704883328556791, 0.0988425380034433, 99.94430998323668, 0.4689276755913039, 0.8284919253098271, 0.0178090905683956, 299.9999722908427, 299.99570174229126, 300.0254075726093, 299.9696432565328, 299.9295662567024, 300.01921088642837, 299.9581593653791, 299.94471618822786, 300.02471768026044, 299.9894987407742, 300.026010495373, 299.9727046214244, 299.9945850860858, 300.0455909642532, 300.0166921842835, 299.9920910989025, 299.97789102377874, 300.0328568941792, 300.0183903299374]|516.0533447265625000|      0.25000000|[1516, 104, 0, 26]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
