k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9573957222065037, 2.001193434954455, -8.02388139727097]                      | 40.9024009704589844|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[1.9573957222065037, 2.001193434954455, -8.02388139727097]                      | 40.9024009704589844|      1.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[1.7884594601964685, 1.0169859321121013, -7.971002944883489]                    |  8.4055080413818359|      2.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[-0.1955020976152064, 0.920203803941063, -7.737486870935342]                    |  4.1595630645751953|      4.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[-0.1955020976152064, 0.920203803941063, -7.737486870935342]                    |  4.1595630645751953|      2.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[-0.6680587467719142, 0.2288183041557998, -9.553712711524685]                   |  1.5252206325531006|      4.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[-0.6680587467719142, 0.2288183041557998, -9.553712711524685]                   |  1.5252206325531006|      2.00000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[-0.6680587467719142, 0.2288183041557998, -9.553712711524685]                   |  1.5252206325531006|      1.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.157446812501289, -0.1856321498726703, -9.170605164268526]                    |  1.0474346876144409|      2.00000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[0.157446812501289, -0.1856321498726703, -9.170605164268526]                    |  1.0474346876144409|      1.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[0.157446812501289, -0.1856321498726703, -9.170605164268526]                    |  1.0474346876144409|      0.50000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[0.157446812501289, -0.1856321498726703, -9.170605164268526]                    |  1.0474346876144409|      0.25000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[-0.0609177707865602, -0.1224996245917894, -9.066532146549317]                  |  1.0150349140167236|      0.50000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[-0.0609177707865602, -0.1224996245917894, -9.066532146549317]                  |  1.0150349140167236|      0.25000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[-0.0609177707865602, -0.1224996245917894, -9.066532146549317]                  |  1.0150349140167236|      0.12500000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
