k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0]                                                                 | 41.6816958616780084|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0]                                                                 | 41.6816958616780084|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[0.9173067571124172, 1.1688525387941078, 1.463304055371329]                     | 18.9718509248175593|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[0.2427049565116233, 1.444281550111219, 2.148177233668629]                      |  0.2805641196403823|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[0.2427049565116233, 1.444281550111219, 2.148177233668629]                      |  0.2805641196403823|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.2427049565116233, 1.444281550111219, 2.148177233668629]                      |  0.2805641196403823|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.2427049565116233, 1.444281550111219, 2.148177233668629]                      |  0.2805641196403823|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.2427049565116233, 1.444281550111219, 2.148177233668629]                      |  0.2805641196403823|      0.12500000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.2080048257013912, 1.5643652077080072, 2.147273851174836]                     |  0.1488085388301573|      0.25000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       9|[0.2080048257013912, 1.5643652077080072, 2.147273851174836]                     |  0.1488085388301573|      0.12500000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.0994224311438298, 1.5024465156061062, 2.1482429541291386]                    |  0.0527662160898773|      0.25000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[0.0994224311438298, 1.5024465156061062, 2.1482429541291386]                    |  0.0527662160898773|      0.12500000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.0994224311438298, 1.5024465156061062, 2.1482429541291386]                    |  0.0527662160898773|      0.06250000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[0.0764115512698055, 1.4503875790917222, 2.12242403594083]                      |  0.0338915805236461|      0.12500000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[0.0764115512698055, 1.4503875790917222, 2.12242403594083]                      |  0.0338915805236461|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[0.0764115512698055, 1.4503875790917222, 2.12242403594083]                      |  0.0338915805236461|      0.03125000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
