k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0]                                                                 |  6.5000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9702258431360417, 0.0248251258725098, 1.2194253049524462]                    |  4.8115119934082031|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[0.9702258431360417, 0.0248251258725098, 1.2194253049524462]                    |  4.8115119934082031|      1.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[1.6961257293408214, -0.4751397202620971, 1.6917647039416548]                   |  2.2142391204833984|      2.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[1.6961257293408214, -0.4751397202620971, 1.6917647039416548]                   |  2.2142391204833984|      1.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[1.6961257293408214, -0.4751397202620971, 1.6917647039416548]                   |  2.2142391204833984|      0.50000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[1.6961257293408214, -0.4751397202620971, 1.6917647039416548]                   |  2.2142391204833984|      0.25000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[1.613216840692006, -0.4370404414213807, 1.4590104104585149]                    |  1.3818730115890503|      0.50000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[1.613216840692006, -0.4370404414213807, 1.4590104104585149]                    |  1.3818730115890503|      0.25000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[1.6448789373617383, -0.4858069847984752, 1.2158657294936077]                   |  1.3062473535537720|      0.50000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[1.6448789373617383, -0.4858069847984752, 1.2158657294936077]                   |  1.3062473535537720|      0.25000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[1.7583293840509988, -0.2677929256101409, 1.2616791133702951]                   |  0.8938915133476257|      0.50000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[1.7583293840509988, -0.2677929256101409, 1.2616791133702951]                   |  0.8938915133476257|      0.25000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[1.8878897374563257, -0.0707132863248577, 1.1787711487066426]                   |  0.7209165096282959|      0.50000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[1.8878897374563257, -0.0707132863248577, 1.1787711487066426]                   |  0.7209165096282959|      0.25000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[1.8878897374563257, -0.0707132863248577, 1.1787711487066426]                   |  0.7209165096282959|      0.12500000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
