k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0]                                    |1607.3529257951240652|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.876185135469626, 9.674619990182547, 9.884810434318526, 9.347664787910999, -0.1720821524982482, 0.1740471102631317, 0.6159475971449251, 0.0263012800343892]|1578.3556550908135705|      2.00000000|[13, 0, 1, 4]                                                              |  | used linear model with 13 points | iterate success | actual_k=0
       2|[9.22614352385056, 9.440006578174446, 9.017588507584163, 8.306694779321427, 0.7428749003627249, -0.0064590410373137, -0.2260254034907481, -0.3024274957686941]|1520.4061396770973715|      4.00000000|[26, 0, 2, 8]                                                              |  | used linear model with 13 points | iterate success | actual_k=0
       3|[10.076264758846236, 7.598260821183573, 7.700661155141557, 5.7695834073649, 1.3958133419111824, 0.376559060519559, -1.533759007912243, -1.4986030817040235]|1210.2060672062709727|      8.00000000|[39, 0, 3, 12]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       4|[5.13948515654506, 2.9196527065820286, 8.868727832277022, 2.5990960127768523, 3.0482873435349274, -0.4198437335985028, 0.0364068863734996, -2.200111823425778]|401.3910705783350181|     16.00000000|[52, 0, 4, 16]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       5|[5.13948515654506, 2.9196527065820286, 8.868727832277022, 2.5990960127768523, 3.0482873435349274, -0.4198437335985028, 0.0364068863734996, -2.200111823425778]|401.3910705783350181|      8.00000000|[65, 0, 5, 20]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       6|[6.715838473213429, -0.2192993765411519, 2.828337914230027, -0.9960306028603196, 2.4696148234157995, 0.7437146288764127, -0.4534188385139751, -1.6324983042150016]|100.1834652666246939|     16.00000000|[78, 0, 6, 24]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       7|[6.715838473213429, -0.2192993765411519, 2.828337914230027, -0.9960306028603196, 2.4696148234157995, 0.7437146288764127, -0.4534188385139751, -1.6324983042150016]|100.1834652666246939|      8.00000000|[91, 0, 7, 28]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       8|[6.715838473213429, -0.2192993765411519, 2.828337914230027, -0.9960306028603196, 2.4696148234157995, 0.7437146288764127, -0.4534188385139751, -1.6324983042150016]|100.1834652666246939|      4.00000000|[104, 0, 8, 32]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
       9|[4.33900659826903, -2.037501321480761, 3.979801529577678, -1.2796725696726163, 1.3860880519209655, 2.032932045007462, -1.0175107938001744, -3.208626204557878]| 12.6273474779320463|      8.00000000|[117, 0, 9, 36]                                                            |  | used linear model with 13 points | iterate success | actual_k=0
      10|[4.33900659826903, -2.037501321480761, 3.979801529577678, -1.2796725696726163, 1.3860880519209655, 2.032932045007462, -1.0175107938001744, -3.208626204557878]| 12.6273474779320463|      4.00000000|[130, 0, 10, 40]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      11|[4.33900659826903, -2.037501321480761, 3.979801529577678, -1.2796725696726163, 1.3860880519209655, 2.032932045007462, -1.0175107938001744, -3.208626204557878]| 12.6273474779320463|      2.00000000|[143, 0, 11, 44]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      12|[4.33900659826903, -2.037501321480761, 3.979801529577678, -1.2796725696726163, 1.3860880519209655, 2.032932045007462, -1.0175107938001744, -3.208626204557878]| 12.6273474779320463|      1.00000000|[156, 0, 12, 48]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      13|[4.437721794791146, -1.8029024794210433, 4.276812840852438, -2.0873060126880905, 1.5380257357215819, 1.933287539815329, -0.7903481989812848, -2.8767915102910995]|  4.0435946256953805|      2.00000000|[169, 0, 13, 52]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      14|[4.437721794791146, -1.8029024794210433, 4.276812840852438, -2.0873060126880905, 1.5380257357215819, 1.933287539815329, -0.7903481989812848, -2.8767915102910995]|  4.0435946256953805|      1.00000000|[182, 0, 14, 56]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      15|[4.437721794791146, -1.8029024794210433, 4.276812840852438, -2.0873060126880905, 1.5380257357215819, 1.933287539815329, -0.7903481989812848, -2.8767915102910995]|  4.0435946256953805|      0.50000000|[195, 0, 15, 60]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      16|[4.437721794791146, -1.8029024794210433, 4.276812840852438, -2.0873060126880905, 1.5380257357215819, 1.933287539815329, -0.7903481989812848, -2.8767915102910995]|  4.0435946256953805|      0.25000000|[208, 0, 16, 64]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      17|[4.412015738857279, -1.8072223405872059, 4.177259910343595, -1.87266030596653, 1.532660788793872, 1.968259337242175, -0.853294879052964, -2.901749040178598]|  2.1515164615846256|      0.50000000|[221, 0, 17, 68]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      18|[4.412015738857279, -1.8072223405872059, 4.177259910343595, -1.87266030596653, 1.532660788793872, 1.968259337242175, -0.853294879052964, -2.901749040178598]|  2.1515164615846256|      0.25000000|[234, 0, 18, 72]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      19|[4.434790700097574, -1.777680255179324, 4.210251415698929, -1.7620476092964692, 1.4637564164304924, 2.1753102210820185, -0.8641659301990726, -2.8947563684896354]|  1.6193217431971874|      0.50000000|[247, 0, 19, 76]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      20|[4.434790700097574, -1.777680255179324, 4.210251415698929, -1.7620476092964692, 1.4637564164304924, 2.1753102210820185, -0.8641659301990726, -2.8947563684896354]|  1.6193217431971874|      0.25000000|[260, 0, 20, 80]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
