k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 0.0]                                                                 |629.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.1323656481704156, 2.903158284245954, 0.4083925180293223]                     |270.0462346771085436|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[1.1323656481704156, 2.903158284245954, 0.4083925180293223]                     |270.0462346771085436|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[1.1323656481704156, 2.903158284245954, 0.4083925180293223]                     |270.0462346771085436|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[1.2966783827431263, 2.64832721722941, 0.8059632067633482]                      |185.3610625778334509|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[1.2966783827431263, 2.64832721722941, 0.8059632067633482]                      |185.3610625778334509|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[1.2966783827431263, 2.64832721722941, 0.8059632067633482]                      |185.3610625778334509|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[1.267147520339618, 2.4232393150305516, 0.9106692927823672]                     |143.4800831050504826|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[1.267147520339618, 2.4232393150305516, 0.9106692927823672]                     |143.4800831050504826|      0.25000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[1.119479683533143, 2.234258842449602, 0.8400959907767407]                      |110.1960675007699990|      0.50000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[1.119479683533143, 2.234258842449602, 0.8400959907767407]                      |110.1960675007699990|      0.25000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.9526763827262705, 2.0585696115639833, 0.9018208074289734]                    | 74.1379964929885631|      0.50000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[0.9526763827262705, 2.0585696115639833, 0.9018208074289734]                    | 74.1379964929885631|      0.25000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[0.9526763827262705, 2.0585696115639833, 0.9018208074289734]                    | 74.1379964929885631|      0.12500000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[0.9526763827262705, 2.0585696115639833, 0.9018208074289734]                    | 74.1379964929885631|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[0.954875773119533, 2.0102199904512403, 0.9413647933200319]                     | 66.9269641239799142|      0.12500000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
