k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9163983701095446, -0.9360089860903908, 20.887124586886493]                   |919.8604880264682606|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[0.9163983701095446, -0.9360089860903908, 20.887124586886493]                   |919.8604880264682606|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[0.9163983701095446, -0.9360089860903908, 20.887124586886493]                   |919.8604880264682606|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.9163983701095446, -0.9360089860903908, 20.887124586886493]                   |919.8604880264682606|      0.25000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.7463193314701272, -1.1186356946692637, 20.87227177809021]                    |207.2229211760514715|      0.50000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[0.7463193314701272, -1.1186356946692637, 20.87227177809021]                    |207.2229211760514715|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.7463193314701272, -1.1186356946692637, 20.87227177809021]                    |207.2229211760514715|      0.12500000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.7463193314701272, -1.1186356946692637, 20.87227177809021]                    |207.2229211760514715|      0.06250000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[0.7463193314701272, -1.1186356946692637, 20.87227177809021]                    |207.2229211760514715|      0.03125000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.7463193314701272, -1.1186356946692637, 20.87227177809021]                    |207.2229211760514715|      0.01562500|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.7358941469331938, -1.107052396641957, 20.873404632529876]                    |205.6189503169702562|      0.03125000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[0.7358941469331938, -1.107052396641957, 20.873404632529876]                    |205.6189503169702562|      0.01562500|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.7358941469331938, -1.107052396641957, 20.873404632529876]                    |205.6189503169702562|      0.00781250|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[0.7358941469331938, -1.107052396641957, 20.873404632529876]                    |205.6189503169702562|      0.00390625|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[0.7351973121248263, -1.1107900483617132, 20.874300830016008]                   |205.2904884410177146|      0.00781250|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
