k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|1827.7085714285710765|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3180141369885396, 0.0754058262583146, 0.2682231715375358, -0.0637434635464657, 0.1203954114485639, 0.2835605331340655, 0.1334335909401365, -0.1328051091494195, 0.1344701977172167, -0.0307433455099355, 0.1847092662173257, 0.1620847976857106, 0.0231661633170361, 0.1348886702991499, 0.1974447658320706, 0.1276487248794715, 0.1445194557954555, 0.109067975529795, 0.0473420775996164, 0.1624287358531993, 0.0910820762580851, -0.0440665850113959, 0.2445425104622543, 0.0696233755458569, 0.2272766588416014, 0.102467893206307, 0.1336722051778912, 0.075119874793867, 0.1228345886288341, 0.068226338269775, 0.1170076064510771, -0.035218643252638, 0.1343612482731322, 0.1679084931102117, -0.0078652357632445, 0.1551057502464487, 0.0717726324356624, 0.0998719109899067, 0.0609181993290694, 0.0392894823769403, 0.0624998086146654, 0.0327446162014401, -0.0314596628807231, -0.0158768710327176, 0.128954542542965, 0.2068490639851675, 0.3095549558078898, -0.0085171358132979, 0.1345062404722642, 0.0800051012390257]|1750.3620046023743271|      2.00000000|[61, 4, 1, 5]                                                              |  | used linear model with 65 points | iterate success | actual_k=1
       2|[0.4688949969066151, 0.4017334704861638, 0.5928706463470197, 0.1509678142626454, 0.3844853087116313, 0.3457170890041296, 0.3268350993356589, 0.0579489891376513, 0.3237147302105917, 0.3819215197437521, 0.2281970998934972, 0.4577750676155247, 0.3514544227764323, 0.085200558184568, 0.2510582038500588, 0.2557361419466349, 0.698864207365925, 0.0726119523707356, 0.0365452816495566, 0.1746286232267157, 0.4820489076651566, 0.2904353747810993, 0.5250694678816714, 0.2007773985012038, 0.2878214972237297, 0.4891963352828511, 0.2079497859365475, 0.4025140857733462, 0.471189468396462, 0.680764939078677, 0.3778755713841362, -0.0205509207109887, 0.3406437955069785, 0.4517838819818308, 0.1819617218718784, 0.3143255460990299, -0.2365734399126669, 0.0260245416124828, 0.4565281813356085, 0.1482282765928637, 0.705182429354298, 0.284049693053382, 0.2306842502336263, 0.1005840453376558, 0.5803664708005098, 0.5003731991231734, 0.3412299140003723, 0.5206106537506066, 0.0039517205862533, 0.2962260873773659]|1584.3824138963257155|      4.00000000|[122, 8, 2, 10]                                                            |  | used linear model with 65 points | iterate success | actual_k=1
       3|[0.5197254255420886, 1.3377577438607577, 1.2448538876194477, 0.65515516891927, 0.8857812914679474, 0.0699294440741411, 0.4159967375437388, 0.779051691400613, 0.2061449400517462, 0.746573734866981, 0.8618800152825661, 1.2788595778561673, 1.0102035038437904, 0.3498729746293121, 0.5836414009095621, 0.5901457945807861, 1.4194277273659233, -0.0819352161619083, 0.0375084266822607, 0.8795775630757038, 1.277928354388497, 0.3940421713884458, 1.3051115804217597, 0.8752004761552843, 1.4101325213454503, 0.9928197560265992, 0.7023704834918585, 1.575804405996129, 0.9160203397826924, 1.1904541243661322, 0.6270282117086132, 0.1442778337554704, 0.3286742623858041, 1.0423603031613855, 0.5623844000351099, 0.8384114548268583, 0.409021672978405, 0.6137770592340812, 0.9587976144853294, 0.071489527485044, 1.793128830839282, 0.3919022315422356, 0.5907222717779503, 0.5763927105015955, 0.6875464951657015, 1.2793438950383107, 1.1052310717180323, 0.9064589922627, 0.0810542353360572, 1.0119149927996476]|1277.2958300452580716|      8.00000000|[183, 12, 3, 15]                                                           |  | used linear model with 65 points | iterate success | actual_k=1
       4|[0.6030717979297395, 1.3116796791629826, 3.7508630244719168, 0.1664531340851744, 0.2184549639788093, 1.8948012552269786, 0.81069399110488, 0.8782287893729364, 0.9846009256037775, 1.364518558108159, 2.111714879887641, 2.9283333031808465, 1.1744410273717034, 1.8096470906753868, -1.931926613920564, 2.6553087203806314, -0.9780978108979927, -1.0268681913962836, -1.1203016534064631, 1.989243831557825, 1.282824837115429, 0.2661337738391156, 0.6711774828818469, -0.0410752433453874, 1.9386772497778937, 0.2533068948280054, 0.9147796500790947, 1.9314585007882978, 1.0202534829110945, 1.313366256745981, 1.0450351552249701, 0.1867904915541207, 1.1682301977588447, 1.0512508251545114, 2.8199988265279563, 2.410967899771878, -0.276198435381063, 1.323770885070719, 2.4443947434874205, 2.0992545762851145, 2.741041327344639, 0.6109077129242322, -0.1092355685521276, 1.359563028665021, 1.2525343548667034, 2.2593901670661247, -0.5319249200791853, 2.093960102186822, 0.7011958768747756, 1.6960400613079256]|1117.2239080956485395|     16.00000000|[244, 16, 4, 20]                                                           |  | used linear model with 65 points | iterate success | actual_k=1
       5|[0.6030717979297395, 1.3116796791629826, 3.7508630244719168, 0.1664531340851744, 0.2184549639788093, 1.8948012552269786, 0.81069399110488, 0.8782287893729364, 0.9846009256037775, 1.364518558108159, 2.111714879887641, 2.9283333031808465, 1.1744410273717034, 1.8096470906753868, -1.931926613920564, 2.6553087203806314, -0.9780978108979927, -1.0268681913962836, -1.1203016534064631, 1.989243831557825, 1.282824837115429, 0.2661337738391156, 0.6711774828818469, -0.0410752433453874, 1.9386772497778937, 0.2533068948280054, 0.9147796500790947, 1.9314585007882978, 1.0202534829110945, 1.313366256745981, 1.0450351552249701, 0.1867904915541207, 1.1682301977588447, 1.0512508251545114, 2.8199988265279563, 2.410967899771878, -0.276198435381063, 1.323770885070719, 2.4443947434874205, 2.0992545762851145, 2.741041327344639, 0.6109077129242322, -0.1092355685521276, 1.359563028665021, 1.2525343548667034, 2.2593901670661247, -0.5319249200791853, 2.093960102186822, 0.7011958768747756, 1.6960400613079256]|1117.2239080956485395|      8.00000000|[305, 20, 5, 25]                                                           |  | used linear model with 65 points | iterate failure | actual_k=1
       6|[0.0096281047057977, 2.739352300191184, 4.006155957255889, 0.4465766344322167, 1.4784038573977965, 3.069280057102694, 1.5343476602151749, 1.423491646294473, 2.8213946766901055, 2.4472940491857065, 2.9102503042134362, 2.85169516937025, 0.8068314820986777, 1.2069242237946538, -1.0546034750422373, 1.7154855390414552, 0.7188345986819138, 1.5354320504921302, 1.9221708223379141, 1.3119993413221422, 2.581107637462847, 0.5476134597124341, 2.0227963995751477, 0.5607736628158805, 1.903990207409275, 0.8592811261478948, -0.1086197062289481, 1.377296910184983, 0.9734748324294908, 3.231906169039789, 2.5994222895490253, 0.619152350938373, 2.053018419155593, 2.7381587288083686, 3.8072167853303855, 2.9866533348415016, 0.0083888180071021, 2.8609552214430813, 2.1758157854436444, 3.985529704048214, 2.1286898541738473, 0.7536238575311721, 1.0951700657774506, 2.9257698523989366, 1.0351884021262874, 2.5870232197006024, -0.4285547502569152, 0.6520647499323733, 1.7658164966089793, 0.968966669012212]|841.4780141680370207|     16.00000000|[366, 24, 6, 30]                                                           |  | used linear model with 65 points | iterate success | actual_k=1
       7|[0.0096281047057977, 2.739352300191184, 4.006155957255889, 0.4465766344322167, 1.4784038573977965, 3.069280057102694, 1.5343476602151749, 1.423491646294473, 2.8213946766901055, 2.4472940491857065, 2.9102503042134362, 2.85169516937025, 0.8068314820986777, 1.2069242237946538, -1.0546034750422373, 1.7154855390414552, 0.7188345986819138, 1.5354320504921302, 1.9221708223379141, 1.3119993413221422, 2.581107637462847, 0.5476134597124341, 2.0227963995751477, 0.5607736628158805, 1.903990207409275, 0.8592811261478948, -0.1086197062289481, 1.377296910184983, 0.9734748324294908, 3.231906169039789, 2.5994222895490253, 0.619152350938373, 2.053018419155593, 2.7381587288083686, 3.8072167853303855, 2.9866533348415016, 0.0083888180071021, 2.8609552214430813, 2.1758157854436444, 3.985529704048214, 2.1286898541738473, 0.7536238575311721, 1.0951700657774506, 2.9257698523989366, 1.0351884021262874, 2.5870232197006024, -0.4285547502569152, 0.6520647499323733, 1.7658164966089793, 0.968966669012212]|841.4780141680370207|      8.00000000|[427, 28, 7, 35]                                                           |  | used linear model with 65 points | iterate failure | actual_k=1
       8|[0.0096281047057977, 2.739352300191184, 4.006155957255889, 0.4465766344322167, 1.4784038573977965, 3.069280057102694, 1.5343476602151749, 1.423491646294473, 2.8213946766901055, 2.4472940491857065, 2.9102503042134362, 2.85169516937025, 0.8068314820986777, 1.2069242237946538, -1.0546034750422373, 1.7154855390414552, 0.7188345986819138, 1.5354320504921302, 1.9221708223379141, 1.3119993413221422, 2.581107637462847, 0.5476134597124341, 2.0227963995751477, 0.5607736628158805, 1.903990207409275, 0.8592811261478948, -0.1086197062289481, 1.377296910184983, 0.9734748324294908, 3.231906169039789, 2.5994222895490253, 0.619152350938373, 2.053018419155593, 2.7381587288083686, 3.8072167853303855, 2.9866533348415016, 0.0083888180071021, 2.8609552214430813, 2.1758157854436444, 3.985529704048214, 2.1286898541738473, 0.7536238575311721, 1.0951700657774506, 2.9257698523989366, 1.0351884021262874, 2.5870232197006024, -0.4285547502569152, 0.6520647499323733, 1.7658164966089793, 0.968966669012212]|841.4780141680370207|      4.00000000|[488, 32, 8, 40]                                                           |  | used linear model with 65 points | iterate failure | actual_k=1
       9|[0.8435941074606833, 2.5850706553574962, 4.421640108211168, 0.9468429930040319, 2.157570457750608, 2.867767085826512, 2.894456974741985, 2.152826785886192, 2.757833649764702, 1.8954330896966953, 3.672781236769776, 3.175452290698079, 0.999100785084502, 2.072245780627716, -0.6579604110597126, 2.261282125445748, 0.9343408765056614, 1.84444690456096, 1.7929523194538557, 1.5969775032232159, 2.770935090151224, 0.2648865037697912, 2.7959136359131413, 1.4296991197511157, 2.050251352726596, 0.4266235340446356, 0.9472374347141758, 2.3485220453388207, 1.1784490532840781, 3.974882906614517, 2.7104915858379823, 1.2096642551328238, 2.4128072473296003, 2.2115861632885037, 3.898892017149348, 3.525200217206022, 0.0657817447824681, 2.8942865113014533, 2.2621543670778714, 4.063818366113717, 2.607744635951387, 1.5924474573174878, 0.2920605571008843, 3.3359874849074505, 1.4346008913227448, 2.952432999968307, 0.6562447360140666, 0.8975494745333291, 1.5043413699606605, 1.829164276759244]|687.1678316511081448|      8.00000000|[549, 36, 9, 45]                                                           |  | used linear model with 65 points | iterate success | actual_k=1
      10|[0.8435941074606833, 2.5850706553574962, 4.421640108211168, 0.9468429930040319, 2.157570457750608, 2.867767085826512, 2.894456974741985, 2.152826785886192, 2.757833649764702, 1.8954330896966953, 3.672781236769776, 3.175452290698079, 0.999100785084502, 2.072245780627716, -0.6579604110597126, 2.261282125445748, 0.9343408765056614, 1.84444690456096, 1.7929523194538557, 1.5969775032232159, 2.770935090151224, 0.2648865037697912, 2.7959136359131413, 1.4296991197511157, 2.050251352726596, 0.4266235340446356, 0.9472374347141758, 2.3485220453388207, 1.1784490532840781, 3.974882906614517, 2.7104915858379823, 1.2096642551328238, 2.4128072473296003, 2.2115861632885037, 3.898892017149348, 3.525200217206022, 0.0657817447824681, 2.8942865113014533, 2.2621543670778714, 4.063818366113717, 2.607744635951387, 1.5924474573174878, 0.2920605571008843, 3.3359874849074505, 1.4346008913227448, 2.952432999968307, 0.6562447360140666, 0.8975494745333291, 1.5043413699606605, 1.829164276759244]|687.1678316511081448|      4.00000000|[610, 40, 10, 50]                                                          |  | used linear model with 65 points | iterate failure | actual_k=1
      11|[1.778744625260602, 3.2058284421279573, 4.434344442217791, 1.2643377193315353, 2.4638370647921835, 3.049562682054617, 2.883866020795385, 3.3226054641606115, 2.769321200505517, 2.2843542392659653, 3.4497404913591145, 3.4889570389769964, 1.387719698389201, 2.7408344141713137, -0.5311191485131881, 2.5400479610499778, 1.1172514510603646, 2.0345508914994053, 1.059682852443581, 1.549482996477813, 2.9240461677812033, 0.8117317293708604, 3.3415534256237267, 2.2049391166117847, 2.5260377349401044, 1.7742573163387652, 1.5446699441366167, 2.9458312575727277, 1.102960344076824, 4.324910063204522, 3.381007138223625, 1.7367827875928536, 2.9928084772727614, 2.6051319655069127, 4.846348803351087, 4.0177545258555565, 0.2776542900930123, 2.684683776027266, 2.988623431292978, 3.615042218771746, 3.7899236628796418, 2.0341319536155344, 0.5910153753349349, 3.290549745756317, 1.5799523339873454, 3.0344375409251243, 1.6961792551017454, 1.412368634844034, 2.5975164319482, 1.9127795735671396]|533.8635136548358560|      8.00000000|[671, 44, 11, 55]                                                          |  | used linear model with 65 points | iterate success | actual_k=1
