k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.809354376987484, -1.4781693300494672, -0.2896514656286376, -0.134101717561832, -0.2580272693746432, -0.6502523066569107, 0.366413682667644]|58039.4648319495463511|      2.00000000|[35, 5, 1, 4]                                                              |  | used quadratic model with 40 points | iterate success | actual_k=2
       2|[9.809354376987484, -1.4781693300494672, -0.2896514656286376, -0.134101717561832, -0.2580272693746432, -0.6502523066569107, 0.366413682667644]|58039.4648319495463511|      1.00000000|[70, 10, 2, 8]                                                             |  | used quadratic model with 40 points | iterate failure | actual_k=2
       3|[9.809354376987484, -1.4781693300494672, -0.2896514656286376, -0.134101717561832, -0.2580272693746432, -0.6502523066569107, 0.366413682667644]|58039.4648319495463511|      0.50000000|[106, 14, 3, 12]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=2
       4|[9.809354376987484, -1.4781693300494672, -0.2896514656286376, -0.134101717561832, -0.2580272693746432, -0.6502523066569107, 0.366413682667644]|58039.4648319495463511|      0.25000000|[141, 19, 4, 16]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=2
       5|[9.797696541740331, -1.485493064604263, -0.2947369820287521, 0.1047930247014439, -0.2490465931899175, -0.6552241907590207, 0.4378876307548213]|53926.5657737197907409|      0.50000000|[175, 25, 5, 20]                                                           |  | used quadratic model with 40 points | iterate success | actual_k=2
       6|[9.866227745669667, -1.4210131961379864, -0.2263740968443178, 0.5294968285763788, -0.2163015197876332, -0.6212862960244573, 0.2057777537076502]|39694.7210796991639654|      1.00000000|[210, 30, 6, 24]                                                           |  | used quadratic model with 40 points | iterate success | actual_k=2
       7|[9.866227745669667, -1.4210131961379864, -0.2263740968443178, 0.5294968285763788, -0.2163015197876332, -0.6212862960244573, 0.2057777537076502]|39694.7210796991639654|      0.50000000|[244, 36, 7, 28]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=2
       8|[9.866227745669667, -1.4210131961379864, -0.2263740968443178, 0.5294968285763788, -0.2163015197876332, -0.6212862960244573, 0.2057777537076502]|39694.7210796991639654|      0.25000000|[280, 40, 8, 32]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=2
       9|[9.866227745669667, -1.4210131961379864, -0.2263740968443178, 0.5294968285763788, -0.2163015197876332, -0.6212862960244573, 0.2057777537076502]|39694.7210796991639654|      0.12500000|[315, 45, 9, 36]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=2
      10|[9.867440500342473, -1.4303162973803616, -0.2227092478910432, 0.5668161215787038, -0.2105986002145077, -0.6212602255382305, 0.0870415047606406]|22027.9380701151421817|      0.25000000|[350, 50, 10, 40]                                                          |  | used quadratic model with 40 points | iterate success | actual_k=2
      11|[9.867440500342473, -1.4303162973803616, -0.2227092478910432, 0.5668161215787038, -0.2105986002145077, -0.6212602255382305, 0.0870415047606406]|22027.9380701151421817|      0.12500000|[386, 54, 11, 44]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=2
      12|[9.867440500342473, -1.4303162973803616, -0.2227092478910432, 0.5668161215787038, -0.2105986002145077, -0.6212602255382305, 0.0870415047606406]|22027.9380701151421817|      0.06250000|[421, 59, 12, 48]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=2
      13|[9.867440500342473, -1.4303162973803616, -0.2227092478910432, 0.5668161215787038, -0.2105986002145077, -0.6212602255382305, 0.0870415047606406]|22027.9380701151421817|      0.03125000|[455, 65, 13, 52]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=2
      14|[9.867500398663928, -1.4301262257434373, -0.2227638655115916, 0.5718539110554784, -0.2109430356302877, -0.6211809453929149, 0.0562029646205811]|17250.2103703065840818|      0.06250000|[490, 70, 14, 56]                                                          |  | used quadratic model with 40 points | iterate success | actual_k=2
      15|[9.867500398663928, -1.4301262257434373, -0.2227638655115916, 0.5718539110554784, -0.2109430356302877, -0.6211809453929149, 0.0562029646205811]|17250.2103703065840818|      0.03125000|[526, 74, 15, 60]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=2
      16|[9.867500398663928, -1.4301262257434373, -0.2227638655115916, 0.5718539110554784, -0.2109430356302877, -0.6211809453929149, 0.0562029646205811]|17250.2103703065840818|      0.01562500|[560, 80, 16, 64]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=2
      17|[9.867500398663928, -1.4301262257434373, -0.2227638655115916, 0.5718539110554784, -0.2109430356302877, -0.6211809453929149, 0.0562029646205811]|17250.2103703065840818|      0.00781250|[595, 85, 17, 68]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=2
      18|[9.867127969985859, -1.431313059947674, -0.2225729399966576, 0.5710198533631134, -0.2095567992133368, -0.6186938912988224, 0.0633197534641773]|16642.7683699035114842|      0.01562500|[631, 89, 18, 72]                                                          |  | used quadratic model with 40 points | iterate success | actual_k=2
