k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.50145534369921, -0.8077773372829455, 0.1166651079053171, 0.1550050371648673, -0.2638959225301445, -0.6471485961909811, 0.4692342361377798]|53301.2394441595461103|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       2|[9.50145534369921, -0.8077773372829455, 0.1166651079053171, 0.1550050371648673, -0.2638959225301445, -0.6471485961909811, 0.4692342361377798]|53301.2394441595461103|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[9.50145534369921, -0.8077773372829455, 0.1166651079053171, 0.1550050371648673, -0.2638959225301445, -0.6471485961909811, 0.4692342361377798]|53301.2394441595461103|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[9.500649007723393, -0.8397439547515708, 0.12104389575557, 0.5894418482403886, -0.3460379341697059, -0.5623461558963305, 0.2540965950024329]|41114.2255611178843537|      1.00000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       5|[9.500649007723393, -0.8397439547515708, 0.12104389575557, 0.5894418482403886, -0.3460379341697059, -0.5623461558963305, 0.2540965950024329]|41114.2255611178843537|      0.50000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[9.500649007723393, -0.8397439547515708, 0.12104389575557, 0.5894418482403886, -0.3460379341697059, -0.5623461558963305, 0.2540965950024329]|41114.2255611178843537|      0.25000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[9.500649007723393, -0.8397439547515708, 0.12104389575557, 0.5894418482403886, -0.3460379341697059, -0.5623461558963305, 0.2540965950024329]|41114.2255611178843537|      0.12500000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[9.50419145800928, -0.8464422563018004, 0.1289855123631345, 0.6400432291389162, -0.3592436075654372, -0.563186539322344, 0.1410969546269107]|29778.1502313305973075|      0.25000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       9|[9.50419145800928, -0.8464422563018004, 0.1289855123631345, 0.6400432291389162, -0.3592436075654372, -0.563186539322344, 0.1410969546269107]|29778.1502313305973075|      0.12500000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[9.50419145800928, -0.8464422563018004, 0.1289855123631345, 0.6400432291389162, -0.3592436075654372, -0.563186539322344, 0.1410969546269107]|29778.1502313305973075|      0.06250000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[9.50450819994029, -0.8438106069198111, 0.1286865480225281, 0.6559813869095645, -0.3624528708886648, -0.5659247055875738, 0.0808697770597482]|17401.8162749483526568|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      12|[9.50450819994029, -0.8438106069198111, 0.1286865480225281, 0.6559813869095645, -0.3624528708886648, -0.5659247055875738, 0.0808697770597482]|17401.8162749483526568|      0.06250000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[9.50450819994029, -0.8438106069198111, 0.1286865480225281, 0.6559813869095645, -0.3624528708886648, -0.5659247055875738, 0.0808697770597482]|17401.8162749483526568|      0.03125000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[9.50450819994029, -0.8438106069198111, 0.1286865480225281, 0.6559813869095645, -0.3624528708886648, -0.5659247055875738, 0.0808697770597482]|17401.8162749483526568|      0.01562500|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[9.504430623897264, -0.8438815501272141, 0.1288244314289656, 0.6581699229953593, -0.3624519167416769, -0.5657527734113176, 0.0654007334434593]|14630.2130658163550834|      0.03125000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      16|[9.504430623897264, -0.8438815501272141, 0.1288244314289656, 0.6581699229953593, -0.3624519167416769, -0.5657527734113176, 0.0654007334434593]|14630.2130658163550834|      0.01562500|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[9.504430623897264, -0.8438815501272141, 0.1288244314289656, 0.6581699229953593, -0.3624519167416769, -0.5657527734113176, 0.0654007334434593]|14630.2130658163550834|      0.00781250|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[9.509322994529084, -0.8434331871676498, 0.1298481154337747, 0.6634850441770308, -0.3620037249436872, -0.566938945049323, 0.0629527719757789]|14486.6822460132934793|      0.01562500|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      19|[9.509322994529084, -0.8434331871676498, 0.1298481154337747, 0.6634850441770308, -0.3620037249436872, -0.566938945049323, 0.0629527719757789]|14486.6822460132934793|      0.00781250|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[9.509322994529084, -0.8434331871676498, 0.1298481154337747, 0.6634850441770308, -0.3620037249436872, -0.566938945049323, 0.0629527719757789]|14486.6822460132934793|      0.00390625|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      21|[9.511293465771358, -0.8437153382470183, 0.129774081236735, 0.6659323053987076, -0.361638967866461, -0.5647668844507662, 0.062281236871975]|14437.8049284749013168|      0.00781250|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      22|[9.511293465771358, -0.8437153382470183, 0.129774081236735, 0.6659323053987076, -0.361638967866461, -0.5647668844507662, 0.062281236871975]|14437.8049284749013168|      0.00390625|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      23|[9.513187048811488, -0.8442051646036668, 0.129227960047342, 0.6677349238603739, -0.3599615920093314, -0.5640768801109755, 0.0644250244188434]|14399.0819244937883923|      0.00781250|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      24|[9.513187048811488, -0.8442051646036668, 0.129227960047342, 0.6677349238603739, -0.3599615920093314, -0.5640768801109755, 0.0644250244188434]|14399.0819244937883923|      0.00390625|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      25|[9.513187048811488, -0.8442051646036668, 0.129227960047342, 0.6677349238603739, -0.3599615920093314, -0.5640768801109755, 0.0644250244188434]|14399.0819244937883923|      0.00195312|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      26|[9.513432282986424, -0.8440914837545657, 0.1294302649515842, 0.6684355440961974, -0.360094736014111, -0.5631846516364181, 0.0628771099626569]|14363.7425284199052840|      0.00390625|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      27|[9.513432282986424, -0.8440914837545657, 0.1294302649515842, 0.6684355440961974, -0.360094736014111, -0.5631846516364181, 0.0628771099626569]|14363.7425284199052840|      0.00195312|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
