k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0]                                                            | 13.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9226376550188436, 0.0396716926769975, -0.2898025971001676, 0.2513570549148544]|  8.7754469744636729|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[0.9226376550188436, 0.0396716926769975, -0.2898025971001676, 0.2513570549148544]|  8.7754469744636729|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[0.9226376550188436, 0.0396716926769975, -0.2898025971001676, 0.2513570549148544]|  8.7754469744636729|      0.50000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[0.9813539655146112, -0.0779671066561021, -0.4802545650052513, -0.1918602232843516]|  8.2182850198640498|      1.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[0.9813539655146112, -0.0779671066561021, -0.4802545650052513, -0.1918602232843516]|  8.2182850198640498|      0.50000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[0.9813539655146112, -0.0779671066561021, -0.4802545650052513, -0.1918602232843516]|  8.2182850198640498|      0.25000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[1.1039432186214704, -0.0468457931112897, -0.3061367607193877, -0.319085728182613]|  7.2499712830012371|      0.50000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       8|[0.9481389882584563, -0.0193902544403404, 0.0356406912658008, -0.6479617055841087]|  6.7447179161012691|      1.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       9|[0.9481389882584563, -0.0193902544403404, 0.0356406912658008, -0.6479617055841087]|  6.7447179161012691|      0.50000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[1.3539668856367426, -0.2704751165764072, -0.1070854967179577, -0.6044951094526385]|  6.2632387549690414|      1.00000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      11|[1.3539668856367426, -0.2704751165764072, -0.1070854967179577, -0.6044951094526385]|  6.2632387549690414|      0.50000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[1.3539668856367426, -0.2704751165764072, -0.1070854967179577, -0.6044951094526385]|  6.2632387549690414|      0.25000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[1.3212910218267857, -0.1447556456779306, 0.0628634004254498, -0.7338947807080932]|  5.8934153660727784|      0.50000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      14|[1.3212910218267857, -0.1447556456779306, 0.0628634004254498, -0.7338947807080932]|  5.8934153660727784|      0.25000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
