k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       2|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.25000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.12500000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.06250000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       5|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.03125000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       6|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.01562500|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.00781250|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.00390625|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
       9|[0.4997075298441886, 1.5004265330289344, -1.0001932181251423, 0.0137991236429672, 0.0192784418614889]|  0.1648594901188644|      0.00781250|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
      10|[0.4997075298441886, 1.5004265330289344, -1.0001932181251423, 0.0137991236429672, 0.0192784418614889]|  0.1648594901188644|      0.00390625|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[0.4997075298441886, 1.5004265330289344, -1.0001932181251423, 0.0137991236429672, 0.0192784418614889]|  0.1648594901188644|      0.00195312|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      12|[0.4997075298441886, 1.5004265330289344, -1.0001932181251423, 0.0137991236429672, 0.0192784418614889]|  0.1648594901188644|      0.00097656|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      13|[0.4997075298441886, 1.5004265330289344, -1.0001932181251423, 0.0137991236429672, 0.0192784418614889]|  0.1648594901188644|      0.00048828|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      14|[0.4996544933843736, 1.5004498336942904, -1.0002269418572325, 0.0142790027642241, 0.0192180967630848]|  0.1588226373057300|      0.00097656|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      15|[0.4998483178282101, 1.4997505041271837, -1.0005052663600889, 0.014287032285322, 0.0198092951695852]|  0.1562051828939735|      0.00195312|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      16|[0.4998483178282101, 1.4997505041271837, -1.0005052663600889, 0.014287032285322, 0.0198092951695852]|  0.1562051828939735|      0.00097656|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      17|[0.4998483178282101, 1.4997505041271837, -1.0005052663600889, 0.014287032285322, 0.0198092951695852]|  0.1562051828939735|      0.00048828|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      18|[0.4998483178282101, 1.4997505041271837, -1.0005052663600889, 0.014287032285322, 0.0198092951695852]|  0.1562051828939735|      0.00024414|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      19|[0.4997540704384581, 1.4997432297539763, -1.000522378998472, 0.0144912973920891, 0.0199023117356354]|  0.1543054592504731|      0.00048828|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      20|[0.4996628383581045, 1.4996961612748447, -1.0006517820805079, 0.0147516495752731, 0.0202809295217458]|  0.1516787323110991|      0.00097656|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      21|[0.4996628383581045, 1.4996961612748447, -1.0006517820805079, 0.0147516495752731, 0.0202809295217458]|  0.1516787323110991|      0.00048828|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      22|[0.4995557533773244, 1.4996528236023947, -1.0006684891733275, 0.014586750763152, 0.0207254545344842]|  0.1499101360232601|      0.00097656|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      23|[0.4995557533773244, 1.4996528236023947, -1.0006684891733275, 0.014586750763152, 0.0207254545344842]|  0.1499101360232601|      0.00048828|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      24|[0.4994701366703558, 1.4996930352852371, -1.0006794018485383, 0.0150637245074686, 0.0207684468582737]|  0.1490844966126142|      0.00097656|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      25|[0.4994701366703558, 1.4996930352852371, -1.0006794018485383, 0.0150637245074686, 0.0207684468582737]|  0.1490844966126142|      0.00048828|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
