k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.12500000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.0348349988071376, 0.0209976097755258, 0.044457394866968, -0.0683448135177231, -0.0036759978512154, -0.0134180237173322, -0.0126160499506829, 0.0425712670713373, 0.035364667327728, 0.0525453266788607, 0.0247939309883767, 0.0230587481609012]| 23.8689407514141010|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       5|[0.0348349988071376, 0.0209976097755258, 0.044457394866968, -0.0683448135177231, -0.0036759978512154, -0.0134180237173322, -0.0126160499506829, 0.0425712670713373, 0.035364667327728, 0.0525453266788607, 0.0247939309883767, 0.0230587481609012]| 23.8689407514141010|      0.12500000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.0348349988071376, 0.0209976097755258, 0.044457394866968, -0.0683448135177231, -0.0036759978512154, -0.0134180237173322, -0.0126160499506829, 0.0425712670713373, 0.035364667327728, 0.0525453266788607, 0.0247939309883767, 0.0230587481609012]| 23.8689407514141010|      0.06250000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[0.0366847852297419, 0.0614444581707856, 0.0683087521654668, -0.0416206115674166, 0.0113058335294841, 0.005724820442346, -0.0054584970607943, 0.0423220018941678, 0.0446215446541611, 0.052896644281689, 0.0360053864969414, 0.0344650684774384]| 19.6800372670676289|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       8|[0.0366847852297419, 0.0614444581707856, 0.0683087521654668, -0.0416206115674166, 0.0113058335294841, 0.005724820442346, -0.0054584970607943, 0.0423220018941678, 0.0446215446541611, 0.052896644281689, 0.0360053864969414, 0.0344650684774384]| 19.6800372670676289|      0.06250000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[0.0483701454540215, 0.1008529602917031, 0.0966036603203463, -0.0343308218029073, 0.0335977086782214, 0.009632488207399, 0.0039597649153528, 0.0466142781523835, 0.0250602215010636, 0.0357899348425225, 0.0436620686519027, 0.0375787387579044]| 16.9294625804174679|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[0.0483701454540215, 0.1008529602917031, 0.0966036603203463, -0.0343308218029073, 0.0335977086782214, 0.009632488207399, 0.0039597649153528, 0.0466142781523835, 0.0250602215010636, 0.0357899348425225, 0.0436620686519027, 0.0375787387579044]| 16.9294625804174679|      0.06250000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[0.0502030754536268, 0.1108745017562202, 0.1283978645107274, -0.0268698544775034, 0.0424427654400375, 0.0348969590172983, -0.0042101368886504, 0.0352530995060559, 0.0183957660027312, 0.0092509629953455, 0.0167391142278331, 0.0188706666524936]| 14.8667001101193019|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      12|[-0.0196183418008074, 0.1306417616910753, 0.1580511507618469, 0.0137490520476207, 0.0723511586050744, 0.0473381344728114, 0.0685864799917652, 0.0696759429863819, 0.0248825287894554, -0.0005377699878089, 0.0065548820099183, 0.0262748406640226]| 13.2340638538390731|      0.25000000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
