k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 100.0, 200.0]                                             |87848.8533336333348416|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.003274759775906, 149.94322264886694, -100.0575732417059, 99.99993333816555, 200.00066730368292]|84511.8203125000000000|      2.00000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[47.011001353148615, 149.82290836673755, -100.18498041487219, 100.00232621546135, 200.01219262907514]|78035.9765625000000000|      4.00000000|[55, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       3|[43.02737309413647, 149.5543395524208, -100.42624629322772, 99.98340206750083, 200.0152485318379]|65876.5156250000000000|      8.00000000|[82, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | iterate success | actual_k=2
       4|[35.05112301839318, 149.05405289801146, -100.74579892224105, 100.13422451396492, 199.94977564005595]|44737.2617187500000000|     16.00000000|[109, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | iterate success | actual_k=2
       5|[19.226338125316296, 148.69544901993498, -102.75619584290743, 99.45957087286493, 198.97472024039914]|15211.9521484375000000|     32.00000000|[136, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       6|[-7.579202248661073, 138.41617043517257, -112.13828872685784, 88.89071810575985, 198.70063751548494]|2473.0148925781250000|     64.00000000|[162, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       7|[-7.579202248661073, 138.41617043517257, -112.13828872685784, 88.89071810575985, 198.70063751548494]|2473.0148925781250000|     32.00000000|[189, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[-7.579202248661073, 138.41617043517257, -112.13828872685784, 88.89071810575985, 198.70063751548494]|2473.0148925781250000|     16.00000000|[215, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[-7.579202248661073, 138.41617043517257, -112.13828872685784, 88.89071810575985, 198.70063751548494]|2473.0148925781250000|      8.00000000|[242, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[0.3123201760929399, 137.25119912187893, -112.01259712201706, 88.32416076249974, 198.52763446326327]|614.6262817382812500|     16.00000000|[269, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      11|[0.3123201760929399, 137.25119912187893, -112.01259712201706, 88.32416076249974, 198.52763446326327]|614.6262817382812500|      8.00000000|[296, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      12|[0.3123201760929399, 137.25119912187893, -112.01259712201706, 88.32416076249974, 198.52763446326327]|614.6262817382812500|      4.00000000|[322, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      13|[1.0930696995064817, 136.4012656320565, -114.86811010757026, 85.79464962447791, 198.8677259752542]|482.6176757812500000|      8.00000000|[348, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      14|[1.0930696995064817, 136.4012656320565, -114.86811010757026, 85.79464962447791, 198.8677259752542]|482.6176757812500000|      4.00000000|[374, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      15|[1.0930696995064817, 136.4012656320565, -114.86811010757026, 85.79464962447791, 198.8677259752542]|482.6176757812500000|      2.00000000|[400, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      16|[-0.4781750531776212, 135.5808130700328, -115.66500804875359, 86.24394454003304, 198.72234622829632]|385.6464538574218750|      4.00000000|[426, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      17|[-0.1409749426352752, 133.34645749441518, -118.96355323303882, 86.31666527588652, 198.81324512247133]|199.2948303222656250|      8.00000000|[452, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      18|[-0.1409749426352752, 133.34645749441518, -118.96355323303882, 86.31666527588652, 198.81324512247133]|199.2948303222656250|      4.00000000|[478, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      19|[-0.1409749426352752, 133.34645749441518, -118.96355323303882, 86.31666527588652, 198.81324512247133]|199.2948303222656250|      2.00000000|[504, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      20|[1.2148069049128751, 132.19674622682305, -119.76707856265705, 86.49162000866649, 199.21791470270986]|176.1367187500000000|      4.00000000|[530, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      21|[1.2148069049128751, 132.19674622682305, -119.76707856265705, 86.49162000866649, 199.21791470270986]|176.1367187500000000|      2.00000000|[557, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      22|[-0.321995554580669, 131.29095620169545, -120.67109204441056, 86.48795969180952, 199.194917795041]|119.0720596313476562|      4.00000000|[583, 88, 0, 44]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      23|[-0.321995554580669, 131.29095620169545, -120.67109204441056, 86.48795969180952, 199.194917795041]|119.0720596313476562|      2.00000000|[610, 92, 0, 46]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      24|[-0.321995554580669, 131.29095620169545, -120.67109204441056, 86.48795969180952, 199.194917795041]|119.0720596313476562|      1.00000000|[636, 96, 0, 48]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      25|[0.4780658848124635, 130.89618010323878, -121.12104411798461, 86.46530966174986, 199.22783637502596]| 90.3028182983398438|      2.00000000|[662, 100, 0, 50]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
