k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.50000000|[111, 16, 0, 2]                                                            |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       2|[0.8914760005401196, 0.8870366559417618, 0.8890482354701523, 0.8891683128795769, 0.8896161822211748, 0.8860515933235744, 0.8892830589055537, 0.8857654845523638, 0.8881089811071663, 0.8873682469163466, 1.0417000231256648, 0.6534273783794002, 0.9885707020053252, 0.990865548890082, 0.9899921557963172, 0.9870154142634098, 0.971757028701771, 0.9638427212606263, 0.9763518389861472, 0.9958201082613736, 0.9911212622295917, 0.990465182215254]|  1.3729456663131714|      1.00000000|[220, 32, 0, 4]                                                            |  | trying linear partial model with 57 points | iterate success | actual_k=8
       3|[0.8914760005401196, 0.8870366559417618, 0.8890482354701523, 0.8891683128795769, 0.8896161822211748, 0.8860515933235744, 0.8892830589055537, 0.8857654845523638, 0.8881089811071663, 0.8873682469163466, 1.0417000231256648, 0.6534273783794002, 0.9885707020053252, 0.990865548890082, 0.9899921557963172, 0.9870154142634098, 0.971757028701771, 0.9638427212606263, 0.9763518389861472, 0.9958201082613736, 0.9911212622295917, 0.990465182215254]|  1.3729456663131714|      0.50000000|[329, 48, 0, 6]                                                            |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       4|[0.7769733870061112, 0.7759395750399258, 0.7739711545336003, 0.7765954238255182, 0.7777721999905135, 0.7691121078083983, 0.773471310645196, 0.7787601337015477, 0.7703314662488113, 0.7759354025434695, 1.0712906152499577, 0.3123790358809897, 0.9758962140545517, 0.9753609834660442, 0.9786783685455621, 0.9741971931372587, 0.9419825140168611, 0.9249323699338368, 0.9498787679181957, 0.9843397592661964, 0.9801432862922088, 0.9827606540720035]|  1.2272059917449951|      1.00000000|[439, 64, 0, 8]                                                            |  | trying linear partial model with 57 points | iterate success | actual_k=8
       5|[0.7769733870061112, 0.7759395750399258, 0.7739711545336003, 0.7765954238255182, 0.7777721999905135, 0.7691121078083983, 0.773471310645196, 0.7787601337015477, 0.7703314662488113, 0.7759354025434695, 1.0712906152499577, 0.3123790358809897, 0.9758962140545517, 0.9753609834660442, 0.9786783685455621, 0.9741971931372587, 0.9419825140168611, 0.9249323699338368, 0.9498787679181957, 0.9843397592661964, 0.9801432862922088, 0.9827606540720035]|  1.2272059917449951|      0.50000000|[548, 80, 0, 10]                                                           |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       6|[0.655418245496586, 0.6643378074653645, 0.6598253460383284, 0.6638537294658211, 0.6577892802312604, 0.6504060732463193, 0.6587090381002525, 0.6662464728421496, 0.6624991071655352, 0.666882007428029, 1.096341993711813, -0.026567294368605, 0.9675663834386771, 0.9613855114912435, 0.9692976830460125, 0.9593871582508632, 0.9174163393630983, 0.8851035155270011, 0.9234241979779138, 0.9801277575006873, 0.9731722311943678, 0.97043124470213]|  1.0931048393249512|      1.00000000|[657, 96, 0, 12]                                                           |  | trying linear partial model with 57 points | iterate success | actual_k=8
       7|[0.655418245496586, 0.6643378074653645, 0.6598253460383284, 0.6638537294658211, 0.6577892802312604, 0.6504060732463193, 0.6587090381002525, 0.6662464728421496, 0.6624991071655352, 0.666882007428029, 1.096341993711813, -0.026567294368605, 0.9675663834386771, 0.9613855114912435, 0.9692976830460125, 0.9593871582508632, 0.9174163393630983, 0.8851035155270011, 0.9234241979779138, 0.9801277575006873, 0.9731722311943678, 0.97043124470213]|  1.0931048393249512|      0.50000000|[767, 112, 0, 14]                                                          |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       8|[0.535260186855796, 0.555585864547378, 0.5501587227373163, 0.5383687017166795, 0.5322310478258534, 0.5351718148372923, 0.5502499585624917, 0.5460264647658405, 0.540911452673562, 0.5557299881150944, 1.1126142430661734, -0.3553782111466636, 0.9506260546780315, 0.9390876836376814, 0.9524861313195998, 0.9434168915916712, 0.8830274787375008, 0.8455733542831092, 0.8925643416103162, 0.9746795723960276, 0.9648455400448934, 0.9624553625855861]|  0.9721864461898804|      1.00000000|[876, 128, 0, 16]                                                          |  | trying linear partial model with 57 points | iterate success | actual_k=8
       9|[0.535260186855796, 0.555585864547378, 0.5501587227373163, 0.5383687017166795, 0.5322310478258534, 0.5351718148372923, 0.5502499585624917, 0.5460264647658405, 0.540911452673562, 0.5557299881150944, 1.1126142430661734, -0.3553782111466636, 0.9506260546780315, 0.9390876836376814, 0.9524861313195998, 0.9434168915916712, 0.8830274787375008, 0.8455733542831092, 0.8925643416103162, 0.9746795723960276, 0.9648455400448934, 0.9624553625855861]|  0.9721864461898804|      0.50000000|[985, 144, 0, 18]                                                          |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      10|[0.535260186855796, 0.555585864547378, 0.5501587227373163, 0.5383687017166795, 0.5322310478258534, 0.5351718148372923, 0.5502499585624917, 0.5460264647658405, 0.540911452673562, 0.5557299881150944, 1.1126142430661734, -0.3553782111466636, 0.9506260546780315, 0.9390876836376814, 0.9524861313195998, 0.9434168915916712, 0.8830274787375008, 0.8455733542831092, 0.8925643416103162, 0.9746795723960276, 0.9648455400448934, 0.9624553625855861]|  0.9721864461898804|      0.25000000|[1095, 160, 0, 20]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      11|[0.4749276646576275, 0.4936604399276157, 0.4912109146690423, 0.4775176609588765, 0.4721611989467649, 0.4750622194136925, 0.4942971280447033, 0.4865466989871408, 0.4829162889098508, 0.4962396239709148, 1.1125085835484891, -0.5152409229453067, 0.9408496730798661, 0.9304844439410749, 0.944061913921371, 0.934161825015049, 0.8643408850352811, 0.8221876659643221, 0.8804831356693293, 0.9700591903636735, 0.9571645201499619, 0.9553712048396712]|  0.9164922833442688|      0.50000000|[1204, 176, 0, 22]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
