k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[4.035945951478126, -0.0982446961524426, 0.2787869464655482, 0.0026967807439153, 1.6369664526022856, -0.0375087855083903, 1.1289423996324355, 0.0689603880441163, 0.2565754966941463, 0.0547487448623054, 0.3805189089667486, -0.0535712645864862, 0.3187730699430217, 0.1132693639540657, 0.1917028293904779, -0.1952480988082642, 1.4935302487911466, 0.1330259037787147, 1.2113262947851609, 0.1107558547656688, 0.0943645855489103, -0.1143481889210471, 0.038261607297373, 0.0788860856101995, 0.290175341385044, 0.1820599366610298, 0.0639349161744921, 0.1240430732567747, 0.049315937435773, -0.1052994173398419, 0.5103656764486147, 0.2214041920741562, -0.1623963575147189, -0.0488639558716557, 0.2862060949033549, -0.0139622839077927, 0.1400922076523345, -0.0825767397473395, 0.0760122975131076, 0.203559256004788, 0.3549220230821551, -0.125755816831659, 0.2964408837369264, 0.1801826301011986, 0.5005615567780541, 0.0612377687664588, 0.3336703539130549, 0.0664889494951524, 0.0902188212912946, -0.1955800776837921, 0.3507861233831415, 0.3390329288550222, 0.1238991202033604, -0.0185084086819361, 0.4073015067904418, -0.0410217670285437, -0.0219425117181888, 0.0526796415155628, 0.4306768969798527, -0.2683330498501059, 0.2537608935314639, -0.0136389867960774, 0.0241491342513887, 0.1828352587466283, 0.4731454839361633, -0.0137271542819148]|51293.8125000000000000|      2.00000000|[33, 12, 0, 3]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 23 points | iterate success | actual_k=4
       2|[4.107068646066584, -0.3472527074395424, 0.7410060750144993, 0.1959185972203642, 1.5296875480460657, 0.1024245933435407, 1.3317982137581748, 0.1112076839070027, 0.3791573591777516, -0.0870151421063684, 0.2862984036272014, -0.0776423099918744, 0.7623024968621466, 0.1736627138708736, 0.032751286505953, -0.221715318596161, 1.352442948007801, 0.2895221038028506, 1.2809896807936811, 0.2809669655184418, -0.1473777430597299, -0.2673029174508387, -0.1047590352289816, -0.0656412130238275, -0.134230474201453, 0.6707328042336045, 0.4614742407601653, 0.0487990153835202, -0.0032829390117643, -0.3195712246769476, 0.7407827968957081, 0.2167284063508549, 0.0762462506311062, -0.2156857906528897, 0.4721183638007939, 0.1527208092203354, 0.3302874036231225, 0.3961379561567722, -0.0016045976753243, 0.2227395555345797, 0.538326850882499, -0.317887519648418, 0.2314347995234207, 0.5710920967309905, 1.1038745186934629, -0.3013279648349673, 0.3369029313524975, 0.4422624851159951, -0.2273059294113364, -0.0434441255345126, 0.6709916803426159, 0.3396646655611789, 0.1179429832599568, -0.0030274550320761, 0.1388620357072065, 0.0677729449319543, -0.4401459943930124, -0.0793507381270496, 0.5224813606477627, -0.680988892722858, 0.6139484305190317, -0.1503753533594311, -0.1232989796057737, -0.2280785056554361, 0.8558153113089326, 0.0167896062520311]|21428.3867187500000000|      4.00000000|[56, 20, 0, 5]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       3|[4.107068646066584, -0.3472527074395424, 0.7410060750144993, 0.1959185972203642, 1.5296875480460657, 0.1024245933435407, 1.3317982137581748, 0.1112076839070027, 0.3791573591777516, -0.0870151421063684, 0.2862984036272014, -0.0776423099918744, 0.7623024968621466, 0.1736627138708736, 0.032751286505953, -0.221715318596161, 1.352442948007801, 0.2895221038028506, 1.2809896807936811, 0.2809669655184418, -0.1473777430597299, -0.2673029174508387, -0.1047590352289816, -0.0656412130238275, -0.134230474201453, 0.6707328042336045, 0.4614742407601653, 0.0487990153835202, -0.0032829390117643, -0.3195712246769476, 0.7407827968957081, 0.2167284063508549, 0.0762462506311062, -0.2156857906528897, 0.4721183638007939, 0.1527208092203354, 0.3302874036231225, 0.3961379561567722, -0.0016045976753243, 0.2227395555345797, 0.538326850882499, -0.317887519648418, 0.2314347995234207, 0.5710920967309905, 1.1038745186934629, -0.3013279648349673, 0.3369029313524975, 0.4422624851159951, -0.2273059294113364, -0.0434441255345126, 0.6709916803426159, 0.3396646655611789, 0.1179429832599568, -0.0030274550320761, 0.1388620357072065, 0.0677729449319543, -0.4401459943930124, -0.0793507381270496, 0.5224813606477627, -0.680988892722858, 0.6139484305190317, -0.1503753533594311, -0.1232989796057737, -0.2280785056554361, 0.8558153113089326, 0.0167896062520311]|21428.3867187500000000|      2.00000000|[143, 52, 0, 13]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 35 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 66 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 77 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[4.107068646066584, -0.3472527074395424, 0.7410060750144993, 0.1959185972203642, 1.5296875480460657, 0.1024245933435407, 1.3317982137581748, 0.1112076839070027, 0.3791573591777516, -0.0870151421063684, 0.2862984036272014, -0.0776423099918744, 0.7623024968621466, 0.1736627138708736, 0.032751286505953, -0.221715318596161, 1.352442948007801, 0.2895221038028506, 1.2809896807936811, 0.2809669655184418, -0.1473777430597299, -0.2673029174508387, -0.1047590352289816, -0.0656412130238275, -0.134230474201453, 0.6707328042336045, 0.4614742407601653, 0.0487990153835202, -0.0032829390117643, -0.3195712246769476, 0.7407827968957081, 0.2167284063508549, 0.0762462506311062, -0.2156857906528897, 0.4721183638007939, 0.1527208092203354, 0.3302874036231225, 0.3961379561567722, -0.0016045976753243, 0.2227395555345797, 0.538326850882499, -0.317887519648418, 0.2314347995234207, 0.5710920967309905, 1.1038745186934629, -0.3013279648349673, 0.3369029313524975, 0.4422624851159951, -0.2273059294113364, -0.0434441255345126, 0.6709916803426159, 0.3396646655611789, 0.1179429832599568, -0.0030274550320761, 0.1388620357072065, 0.0677729449319543, -0.4401459943930124, -0.0793507381270496, 0.5224813606477627, -0.680988892722858, 0.6139484305190317, -0.1503753533594311, -0.1232989796057737, -0.2280785056554361, 0.8558153113089326, 0.0167896062520311]|21428.3867187500000000|      1.00000000|[230, 84, 0, 21]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 34 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 67 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 78 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[4.156788412353856, -0.506879892842344, 0.928528481505339, 0.0571819887832261, 1.6069279024594982, 0.1972891158147151, 1.265962466192065, 0.1978838566592487, 0.4777751401742055, -0.0967568253011485, 0.1245331835324556, -0.1909841320440277, 0.988824985372043, 0.3731463186121953, -0.0473967553425889, -0.2354382634430213, 1.2087423106622759, 0.2293265708540108, 1.2277881622600109, 0.1496058482982576, -0.0360294694136065, -0.2052373985492922, -0.2170597025483365, -0.1824797348053712, -0.333756383984088, 0.6164869261577357, 0.4387780039429224, 0.1008505655525178, 0.0746379703492419, -0.3745837432438086, 0.8160468718792553, 0.1856145295527406, 0.0820095378141084, 0.0078195915628785, 0.0942534331926189, 0.1528921836080898, 0.3447674639723616, 0.4913362594454581, 0.1213083160725829, 0.3794220188231612, 0.5134147886459208, -0.4349180286972699, 0.2714180173528289, 0.4775705689678486, 1.1885808388641388, -0.313356665155021, 0.3082656811717271, 0.4314511028489436, -0.3859911765681194, -0.1506320614723332, 0.8551854860529151, 0.245044206484108, 0.117797743050326, 0.0105328981927603, -0.0088900724897902, -0.1102189330956147, -0.3111897727589567, 0.0346810513069712, 0.5980034476798008, -0.5140695877357631, 0.4819333157674658, -0.2274699965789778, -0.0613480820717404, -0.4556798661358243, 0.6837389243320339, -0.109714226486199]|14735.1308593750000000|      2.00000000|[252, 92, 0, 23]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       6|[4.156788412353856, -0.506879892842344, 0.928528481505339, 0.0571819887832261, 1.6069279024594982, 0.1972891158147151, 1.265962466192065, 0.1978838566592487, 0.4777751401742055, -0.0967568253011485, 0.1245331835324556, -0.1909841320440277, 0.988824985372043, 0.3731463186121953, -0.0473967553425889, -0.2354382634430213, 1.2087423106622759, 0.2293265708540108, 1.2277881622600109, 0.1496058482982576, -0.0360294694136065, -0.2052373985492922, -0.2170597025483365, -0.1824797348053712, -0.333756383984088, 0.6164869261577357, 0.4387780039429224, 0.1008505655525178, 0.0746379703492419, -0.3745837432438086, 0.8160468718792553, 0.1856145295527406, 0.0820095378141084, 0.0078195915628785, 0.0942534331926189, 0.1528921836080898, 0.3447674639723616, 0.4913362594454581, 0.1213083160725829, 0.3794220188231612, 0.5134147886459208, -0.4349180286972699, 0.2714180173528289, 0.4775705689678486, 1.1885808388641388, -0.313356665155021, 0.3082656811717271, 0.4314511028489436, -0.3859911765681194, -0.1506320614723332, 0.8551854860529151, 0.245044206484108, 0.117797743050326, 0.0105328981927603, -0.0088900724897902, -0.1102189330956147, -0.3111897727589567, 0.0346810513069712, 0.5980034476798008, -0.5140695877357631, 0.4819333157674658, -0.2274699965789778, -0.0613480820717404, -0.4556798661358243, 0.6837389243320339, -0.109714226486199]|14735.1308593750000000|      1.00000000|[342, 124, 1, 32]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 34 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 80 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[4.156788412353856, -0.506879892842344, 0.928528481505339, 0.0571819887832261, 1.6069279024594982, 0.1972891158147151, 1.265962466192065, 0.1978838566592487, 0.4777751401742055, -0.0967568253011485, 0.1245331835324556, -0.1909841320440277, 0.988824985372043, 0.3731463186121953, -0.0473967553425889, -0.2354382634430213, 1.2087423106622759, 0.2293265708540108, 1.2277881622600109, 0.1496058482982576, -0.0360294694136065, -0.2052373985492922, -0.2170597025483365, -0.1824797348053712, -0.333756383984088, 0.6164869261577357, 0.4387780039429224, 0.1008505655525178, 0.0746379703492419, -0.3745837432438086, 0.8160468718792553, 0.1856145295527406, 0.0820095378141084, 0.0078195915628785, 0.0942534331926189, 0.1528921836080898, 0.3447674639723616, 0.4913362594454581, 0.1213083160725829, 0.3794220188231612, 0.5134147886459208, -0.4349180286972699, 0.2714180173528289, 0.4775705689678486, 1.1885808388641388, -0.313356665155021, 0.3082656811717271, 0.4314511028489436, -0.3859911765681194, -0.1506320614723332, 0.8551854860529151, 0.245044206484108, 0.117797743050326, 0.0105328981927603, -0.0088900724897902, -0.1102189330956147, -0.3111897727589567, 0.0346810513069712, 0.5980034476798008, -0.5140695877357631, 0.4819333157674658, -0.2274699965789778, -0.0613480820717404, -0.4556798661358243, 0.6837389243320339, -0.109714226486199]|14735.1308593750000000|      0.50000000|[427, 156, 1, 40]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 53 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 74 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[4.156788412353856, -0.506879892842344, 0.928528481505339, 0.0571819887832261, 1.6069279024594982, 0.1972891158147151, 1.265962466192065, 0.1978838566592487, 0.4777751401742055, -0.0967568253011485, 0.1245331835324556, -0.1909841320440277, 0.988824985372043, 0.3731463186121953, -0.0473967553425889, -0.2354382634430213, 1.2087423106622759, 0.2293265708540108, 1.2277881622600109, 0.1496058482982576, -0.0360294694136065, -0.2052373985492922, -0.2170597025483365, -0.1824797348053712, -0.333756383984088, 0.6164869261577357, 0.4387780039429224, 0.1008505655525178, 0.0746379703492419, -0.3745837432438086, 0.8160468718792553, 0.1856145295527406, 0.0820095378141084, 0.0078195915628785, 0.0942534331926189, 0.1528921836080898, 0.3447674639723616, 0.4913362594454581, 0.1213083160725829, 0.3794220188231612, 0.5134147886459208, -0.4349180286972699, 0.2714180173528289, 0.4775705689678486, 1.1885808388641388, -0.313356665155021, 0.3082656811717271, 0.4314511028489436, -0.3859911765681194, -0.1506320614723332, 0.8551854860529151, 0.245044206484108, 0.117797743050326, 0.0105328981927603, -0.0088900724897902, -0.1102189330956147, -0.3111897727589567, 0.0346810513069712, 0.5980034476798008, -0.5140695877357631, 0.4819333157674658, -0.2274699965789778, -0.0613480820717404, -0.4556798661358243, 0.6837389243320339, -0.109714226486199]|14735.1308593750000000|      0.25000000|[516, 188, 2, 49]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 24 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 34 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 79 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[4.145557312472345, -0.5314296431865964, 0.9445997279113938, 0.1633505121374046, 1.609730734974324, 0.2400365563176454, 1.2590680206893656, 0.2023873503653826, 0.5156876027588886, -0.1290765608765705, 0.1514900024415789, -0.2089700783462027, 1.0192136731268502, 0.3904518270252902, -0.0320638662121179, -0.2226587434763887, 1.2242838686477797, 0.232586906407769, 1.1840514958622184, 0.1485575061440631, -0.0624446580953401, -0.2553688873182754, -0.2536916824608373, -0.1564544545210274, -0.3598704240611802, 0.5973279928882902, 0.4650031215169321, 0.1021504250722559, 0.1023011330298693, -0.3857315070210529, 0.8202507470294376, 0.2337082092075987, 0.0405773633961121, 0.0269146987580189, 0.1075983826358737, 0.2074324125503489, 0.3874324565676487, 0.5061710282620492, 0.0805009625202083, 0.3782177161390362, 0.4892234885393479, -0.4170165781991484, 0.3200916373659809, 0.456247377720324, 1.219116550828975, -0.3375551087545168, 0.3085989396878759, 0.4738649712287669, -0.3896618175710463, -0.2102698766634798, 0.8336608524333925, 0.2626767923275192, 0.0666978669334873, 0.0375172095324914, -0.0053168746911466, -0.1249998886266515, -0.2771150073780277, 0.0663266532522588, 0.6091553923646869, -0.508619125490866, 0.4644470806142956, -0.2241148528490632, -0.0288278237240829, -0.4822363927365877, 0.7261467298407592, -0.0826528034146395]|11423.6396484375000000|      0.50000000|[581, 212, 2, 55]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 24 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 35 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | iterate success | actual_k=4
      10|[4.189411234604427, -0.3832056320845214, 1.0308591325145153, 0.118670834994549, 1.555407912103388, 0.3051773649654715, 1.2426377193447153, 0.1916437140723889, 0.5914403078061894, -0.1137329492966164, 0.1366775897558279, -0.1276435550770273, 0.9821620427891694, 0.4586214644257613, -0.0678384284811066, -0.2159390477579385, 1.2107357520523234, 0.1978394452151191, 1.0826881934667278, 0.3273188772172059, -0.0594000487832732, -0.2316181291899357, -0.198538213876334, -0.1765890048618788, -0.3515873227942072, 0.5450691987663784, 0.4552398562516299, 0.0586433033058634, 0.0239153690494405, -0.4422071240484945, 0.8030360414448133, 0.289234511363131, 0.0203778336613841, 0.0817987545937847, 0.0426591120655331, 0.1759867530792174, 0.3956468687693046, 0.467524250414056, 0.1274771259446987, 0.346510068700256, 0.4236646121460853, -0.4958385784712206, 0.3677134750843851, 0.5107139932690281, 1.1556913319595448, -0.4069390292584903, 0.3396220952699587, 0.505571510774432, -0.5178029987854629, -0.1388428611360037, 0.7443940906459072, 0.2403725122073493, 0.0539104085837039, 0.0265603356034263, 0.0006087952578847, -0.2423702375584495, -0.2560320145871662, 0.0993361701200791, 0.5724145884461445, -0.4359049817139515, 0.4786640092568091, -0.1929569265157436, 0.0392968661537549, -0.529875309539773, 0.6275564670069691, -0.2000756623625272]|8460.6015625000000000|      1.00000000|[655, 240, 2, 62]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | iterate success | actual_k=4
