k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[9, 1, 1, 2]                                                               |  | used linear model with 10 points | iterate failure | actual_k=2
       2|[0.1096325968555129, 0.1006398602153251, -0.2442469690296735, -0.1351311167717505, 0.3647729456831719, -0.0837371317965204, -0.09916361527876, -0.0049734714675034, 0.0024381314393534]|205557.1513517724524718|      1.00000000|[18, 2, 2, 4]                                                              |  | used linear model with 10 points | iterate success | actual_k=2
       3|[0.1096325968555129, 0.1006398602153251, -0.2442469690296735, -0.1351311167717505, 0.3647729456831719, -0.0837371317965204, -0.09916361527876, -0.0049734714675034, 0.0024381314393534]|205557.1513517724524718|      0.50000000|[27, 3, 3, 6]                                                              |  | used linear model with 10 points | iterate failure | actual_k=2
       4|[0.1896006073696113, 0.2430331688244608, -0.0519393066311447, -0.1867323853458183, 0.6774401049721839, 0.1196194053616994, -0.2707564057739816, -0.0836000916098864, 0.097008053583376]|45031.4354160245129606|      1.00000000|[37, 3, 4, 8]                                                              |  | used linear model with 10 points | iterate success | actual_k=2
       5|[0.1896006073696113, 0.2430331688244608, -0.0519393066311447, -0.1867323853458183, 0.6774401049721839, 0.1196194053616994, -0.2707564057739816, -0.0836000916098864, 0.097008053583376]|45031.4354160245129606|      0.50000000|[45, 5, 5, 10]                                                             |  | used linear model with 10 points | iterate failure | actual_k=2
       6|[0.1896006073696113, 0.2430331688244608, -0.0519393066311447, -0.1867323853458183, 0.6774401049721839, 0.1196194053616994, -0.2707564057739816, -0.0836000916098864, 0.097008053583376]|45031.4354160245129606|      0.25000000|[54, 6, 6, 12]                                                             |  | used linear model with 10 points | iterate failure | actual_k=2
       7|[0.2452367115284412, 0.2279756241250771, -0.1196687477705451, -0.0721327902026693, 0.8368801941584254, 0.0796389811707182, -0.2303399714155112, -0.0500953650268258, 0.2050909783668916]|5253.4997655452252729|      0.50000000|[63, 7, 7, 14]                                                             |  | used linear model with 10 points | iterate success | actual_k=2
       8|[0.2452367115284412, 0.2279756241250771, -0.1196687477705451, -0.0721327902026693, 0.8368801941584254, 0.0796389811707182, -0.2303399714155112, -0.0500953650268258, 0.2050909783668916]|5253.4997655452252729|      0.25000000|[72, 8, 8, 16]                                                             |  | used linear model with 10 points | iterate failure | actual_k=2
       9|[0.2452367115284412, 0.2279756241250771, -0.1196687477705451, -0.0721327902026693, 0.8368801941584254, 0.0796389811707182, -0.2303399714155112, -0.0500953650268258, 0.2050909783668916]|5253.4997655452252729|      0.12500000|[82, 8, 9, 18]                                                             |  | used linear model with 10 points | iterate failure | actual_k=2
      10|[0.2152767795601545, 0.2544413470678134, -0.1554006744350865, -0.0394533469849044, 0.8615903523681218, -0.0229183381036939, -0.2415880354115408, -0.0322885341726363, 0.2155816203472592]|2395.3305573460329470|      0.25000000|[91, 9, 10, 20]                                                            |  | used linear model with 10 points | iterate success | actual_k=2
      11|[0.2152767795601545, 0.2544413470678134, -0.1554006744350865, -0.0394533469849044, 0.8615903523681218, -0.0229183381036939, -0.2415880354115408, -0.0322885341726363, 0.2155816203472592]|2395.3305573460329470|      0.12500000|[101, 9, 11, 22]                                                           |  | used linear model with 10 points | iterate failure | actual_k=2
