k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.25000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[0.0111623067743748, 0.0767659952580141, 0.0997710851758867, 0.0281423756745577, 0.1640177202659948, 0.0971692706281715, 0.0347618082270361, 0.0247887008037622, 0.0507793583184904, 0.0381387818738212, -0.0240092888028436, 0.0544060985225717]| 17.6126124373067476|      0.50000000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate success | actual_k=4
       4|[0.0111623067743748, 0.0767659952580141, 0.0997710851758867, 0.0281423756745577, 0.1640177202659948, 0.0971692706281715, 0.0347618082270361, 0.0247887008037622, 0.0507793583184904, 0.0381387818738212, -0.0240092888028436, 0.0544060985225717]| 17.6126124373067476|      0.25000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       5|[0.0111623067743748, 0.0767659952580141, 0.0997710851758867, 0.0281423756745577, 0.1640177202659948, 0.0971692706281715, 0.0347618082270361, 0.0247887008037622, 0.0507793583184904, 0.0381387818738212, -0.0240092888028436, 0.0544060985225717]| 17.6126124373067476|      0.12500000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       6|[0.029531890806991, 0.1276858428873884, 0.1107725633511641, 0.03085804462624, 0.1718747905916588, 0.0347350319821441, 0.0226441759272111, -0.0108946749164317, 0.0115012064442478, -0.0075397886752044, -0.0786006744627744, 0.0303876122070224]| 12.3200847222793843|      0.25000000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       7|[0.029531890806991, 0.1276858428873884, 0.1107725633511641, 0.03085804462624, 0.1718747905916588, 0.0347350319821441, 0.0226441759272111, -0.0108946749164317, 0.0115012064442478, -0.0075397886752044, -0.0786006744627744, 0.0303876122070224]| 12.3200847222793843|      0.12500000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[0.029531890806991, 0.1276858428873884, 0.1107725633511641, 0.03085804462624, 0.1718747905916588, 0.0347350319821441, 0.0226441759272111, -0.0108946749164317, 0.0115012064442478, -0.0075397886752044, -0.0786006744627744, 0.0303876122070224]| 12.3200847222793843|      0.06250000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
       9|[0.0329736809256445, 0.1603413366746527, 0.11952571769014, 0.0437927053983017, 0.1876750838441339, 0.0515024416230651, 0.0325496524531346, 0.0005527561078933, 0.0254612469069679, 0.0170220892119395, -0.0788555528661326, 0.0624174213363574]| 10.6609115373982206|      0.12500000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
      10|[0.0329736809256445, 0.1603413366746527, 0.11952571769014, 0.0437927053983017, 0.1876750838441339, 0.0515024416230651, 0.0325496524531346, 0.0005527561078933, 0.0254612469069679, 0.0170220892119395, -0.0788555528661326, 0.0624174213363574]| 10.6609115373982206|      0.06250000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[0.0157287660287105, 0.2011444249044282, 0.1563015671127997, 0.0497080180967916, 0.1892180540210515, 0.0600507215283162, 0.0343361354744646, -0.0031496302080537, 0.015978228565963, 0.0044606173275381, -0.0911495248736399, 0.054336339525832]|  8.4774591073982535|      0.12500000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      12|[-0.0619907996494118, 0.2524330189112657, 0.1997159361787844, 0.0669795729109744, 0.2260672124795159, 0.1048728598865192, 0.0186009855152575, 0.0084962513539556, -0.0103359691584687, 0.0182323654782975, -0.0953573785090443, 0.0433306573757074]|  6.8596000832876411|      0.25000000|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      13|[-0.0619907996494118, 0.2524330189112657, 0.1997159361787844, 0.0669795729109744, 0.2260672124795159, 0.1048728598865192, 0.0186009855152575, 0.0084962513539556, -0.0103359691584687, 0.0182323654782975, -0.0953573785090443, 0.0433306573757074]|  6.8596000832876411|      0.12500000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      14|[-0.0619907996494118, 0.2524330189112657, 0.1997159361787844, 0.0669795729109744, 0.2260672124795159, 0.1048728598865192, 0.0186009855152575, 0.0084962513539556, -0.0103359691584687, 0.0182323654782975, -0.0953573785090443, 0.0433306573757074]|  6.8596000832876411|      0.06250000|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      15|[-0.0542070627936771, 0.2660069899765276, 0.214262320014803, 0.0632198741235084, 0.2194852971925213, 0.0960522992628832, -0.0006792900265087, -0.0080196430042822, -0.0386140902654977, -0.0079394547442447, -0.1202802406097066, 0.0195759719425125]|  6.3307392776015909|      0.12500000|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      16|[-0.0542070627936771, 0.2660069899765276, 0.214262320014803, 0.0632198741235084, 0.2194852971925213, 0.0960522992628832, -0.0006792900265087, -0.0080196430042822, -0.0386140902654977, -0.0079394547442447, -0.1202802406097066, 0.0195759719425125]|  6.3307392776015909|      0.06250000|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
