k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[1.1182496052203208, -1.1824938524649826, -1.1600589004882358, -1.1527442504622136, -1.1443553703410272, -1.1441293170230404, -1.1635529542307839, -1.242867837451171, -1.1469421563052573, -1.0694642456640384]|  0.0873544087399615|      1.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       3|[1.1182496052203208, -1.1824938524649826, -1.1600589004882358, -1.1527442504622136, -1.1443553703410272, -1.1441293170230404, -1.1635529542307839, -1.242867837451171, -1.1469421563052573, -1.0694642456640384]|  0.0873544087399615|      0.50000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[1.1182496052203208, -1.1824938524649826, -1.1600589004882358, -1.1527442504622136, -1.1443553703410272, -1.1441293170230404, -1.1635529542307839, -1.242867837451171, -1.1469421563052573, -1.0694642456640384]|  0.0873544087399615|      0.25000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[1.1182496052203208, -1.1824938524649826, -1.1600589004882358, -1.1527442504622136, -1.1443553703410272, -1.1441293170230404, -1.1635529542307839, -1.242867837451171, -1.1469421563052573, -1.0694642456640384]|  0.0873544087399615|      0.12500000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[1.111013109829675, -1.1673277275402054, -1.152205204796341, -1.1366091088441759, -1.1676884487621544, -1.1486224096911226, -1.0810776592578923, -1.1582917047093209, -1.1251539080258934, -1.0745587283979379]|  0.0072502861430602|      0.25000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       7|[1.111013109829675, -1.1673277275402054, -1.152205204796341, -1.1366091088441759, -1.1676884487621544, -1.1486224096911226, -1.0810776592578923, -1.1582917047093209, -1.1251539080258934, -1.0745587283979379]|  0.0072502861430602|      0.12500000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[1.111013109829675, -1.1673277275402054, -1.152205204796341, -1.1366091088441759, -1.1676884487621544, -1.1486224096911226, -1.0810776592578923, -1.1582917047093209, -1.1251539080258934, -1.0745587283979379]|  0.0072502861430602|      0.06250000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[1.1250960183298053, -1.1491948324266918, -1.1279273567402044, -1.1142557552712535, -1.15121593107986, -1.156945787006944, -1.0958435308266217, -1.1615985454578486, -1.1583471901804399, -1.0994314221189574]|  0.0012735947755220|      0.12500000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
      10|[1.1250960183298053, -1.1491948324266918, -1.1279273567402044, -1.1142557552712535, -1.15121593107986, -1.156945787006944, -1.0958435308266217, -1.1615985454578486, -1.1583471901804399, -1.0994314221189574]|  0.0012735947755220|      0.06250000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[1.1250960183298053, -1.1491948324266918, -1.1279273567402044, -1.1142557552712535, -1.15121593107986, -1.156945787006944, -1.0958435308266217, -1.1615985454578486, -1.1583471901804399, -1.0994314221189574]|  0.0012735947755220|      0.03125000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      12|[1.1230497692456933, -1.1534744278519922, -1.1305505691758795, -1.119885754169266, -1.1410806015405153, -1.1518711103963541, -1.1036540748824912, -1.1425032658023526, -1.1393380499336603, -1.099584172051946]|  0.0004092553683530|      0.06250000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      13|[1.1230497692456933, -1.1534744278519922, -1.1305505691758795, -1.119885754169266, -1.1410806015405153, -1.1518711103963541, -1.1036540748824912, -1.1425032658023526, -1.1393380499336603, -1.099584172051946]|  0.0004092553683530|      0.03125000|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      14|[1.1222322362119637, -1.1547096684565863, -1.1358258312659066, -1.131526596813371, -1.1359031755406164, -1.1484840588846132, -1.11934439513209, -1.1498489763395734, -1.1523762044755244, -1.1169799694808504]|  0.0001439108744526|      0.06250000|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      15|[1.1222322362119637, -1.1547096684565863, -1.1358258312659066, -1.131526596813371, -1.1359031755406164, -1.1484840588846132, -1.11934439513209, -1.1498489763395734, -1.1523762044755244, -1.1169799694808504]|  0.0001439108744526|      0.03125000|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      16|[1.1222322362119637, -1.1547096684565863, -1.1358258312659066, -1.131526596813371, -1.1359031755406164, -1.1484840588846132, -1.11934439513209, -1.1498489763395734, -1.1523762044755244, -1.1169799694808504]|  0.0001439108744526|      0.01562500|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      17|[1.1167305820874607, -1.1530132724413693, -1.131452572398336, -1.134746914288658, -1.1377149488965463, -1.1435537225048438, -1.1163357144131925, -1.1451222710389273, -1.1413351375965337, -1.117760373020544]|  0.0000240868153485|      0.03125000|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      18|[1.1167305820874607, -1.1530132724413693, -1.131452572398336, -1.134746914288658, -1.1377149488965463, -1.1435537225048438, -1.1163357144131925, -1.1451222710389273, -1.1413351375965337, -1.117760373020544]|  0.0000240868153485|      0.01562500|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      19|[1.1167305820874607, -1.1530132724413693, -1.131452572398336, -1.134746914288658, -1.1377149488965463, -1.1435537225048438, -1.1163357144131925, -1.1451222710389273, -1.1413351375965337, -1.117760373020544]|  0.0000240868153485|      0.00781250|[323, 0, 18, 37]                                                           |  | used linear model with 17 points | actual_k=0
      20|[1.1167305820874607, -1.1530132724413693, -1.131452572398336, -1.134746914288658, -1.1377149488965463, -1.1435537225048438, -1.1163357144131925, -1.1451222710389273, -1.1413351375965337, -1.117760373020544]|  0.0000240868153485|      0.00390625|[339, 0, 18, 38]                                                           |  | used linear model with 17 points | actual_k=0
      21|[1.116944262850624, -1.1519726324410235, -1.130688556040616, -1.1350690675132271, -1.1371709811360924, -1.1448011766634927, -1.1190180647465424, -1.1443383331399206, -1.1416433463477256, -1.1196802940896753]|  0.0000138087304643|      0.00781250|[355, 0, 19, 40]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      22|[1.116944262850624, -1.1519726324410235, -1.130688556040616, -1.1350690675132271, -1.1371709811360924, -1.1448011766634927, -1.1190180647465424, -1.1443383331399206, -1.1416433463477256, -1.1196802940896753]|  0.0000138087304643|      0.00390625|[372, 0, 19, 41]                                                           |  | used linear model with 17 points | actual_k=0
      23|[1.1165795089681496, -1.1501770973778744, -1.1295059692092224, -1.135175259479799, -1.1358687142064499, -1.1445500409076066, -1.1210714149676186, -1.1433144384486316, -1.1411861849787466, -1.121485685140588]|  0.0000082965770358|      0.00781250|[388, 0, 20, 43]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      24|[1.1165795089681496, -1.1501770973778744, -1.1295059692092224, -1.135175259479799, -1.1358687142064499, -1.1445500409076066, -1.1210714149676186, -1.1433144384486316, -1.1411861849787466, -1.121485685140588]|  0.0000082965770358|      0.00390625|[405, 0, 20, 44]                                                           |  | used linear model with 17 points | actual_k=0
      25|[1.1165795089681496, -1.1501770973778744, -1.1295059692092224, -1.135175259479799, -1.1358687142064499, -1.1445500409076066, -1.1210714149676186, -1.1433144384486316, -1.1411861849787466, -1.121485685140588]|  0.0000082965770358|      0.00195312|[421, 0, 20, 45]                                                           |  | used linear model with 17 points | actual_k=0
      26|[1.1165574418698494, -1.1503815093256888, -1.1297744983930587, -1.1351467254160852, -1.1349406586303312, -1.1444332185370687, -1.1217371589460363, -1.1420520993261494, -1.1408238753146058, -1.1222959850435397]|  0.0000065520570558|      0.00390625|[437, 0, 21, 47]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      27|[1.1165574418698494, -1.1503815093256888, -1.1297744983930587, -1.1351467254160852, -1.1349406586303312, -1.1444332185370687, -1.1217371589460363, -1.1420520993261494, -1.1408238753146058, -1.1222959850435397]|  0.0000065520570558|      0.00195312|[454, 0, 21, 48]                                                           |  | used linear model with 17 points | actual_k=0
      28|[1.116937032206409, -1.1501023172298415, -1.130171753411053, -1.1358802483516006, -1.1347326598221534, -1.1443726098776348, -1.1231066972387975, -1.1421034639398326, -1.1409832852697805, -1.1232686981887654]|  0.0000048920376822|      0.00390625|[470, 0, 22, 50]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      29|[1.116937032206409, -1.1501023172298415, -1.130171753411053, -1.1358802483516006, -1.1347326598221534, -1.1443726098776348, -1.1231066972387975, -1.1421034639398326, -1.1409832852697805, -1.1232686981887654]|  0.0000048920376822|      0.00195312|[487, 0, 22, 51]                                                           |  | used linear model with 17 points | actual_k=0
      30|[1.116937032206409, -1.1501023172298415, -1.130171753411053, -1.1358802483516006, -1.1347326598221534, -1.1443726098776348, -1.1231066972387975, -1.1421034639398326, -1.1409832852697805, -1.1232686981887654]|  0.0000048920376822|      0.00097656|[503, 0, 22, 52]                                                           |  | used linear model with 17 points | actual_k=0
      31|[1.1171855040938257, -1.1503441092843711, -1.1301978279859513, -1.1359577285271205, -1.1343805424513604, -1.1440853592825106, -1.1234649907827294, -1.1416991415781195, -1.1410027736048254, -1.123841462887975]|  0.0000043167647184|      0.00195312|[519, 0, 23, 54]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
