k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[11.287055932562447, 3.4425619440679673, 0.573221293413475, 39.83323893019549, -1.124210908189515, -1.215223809525921, 25.642875850870475, -0.573939439064231, 1.514425224607462]|1085.4997558593750000|      2.00000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[10.173912101253771, 3.4061046419238727, -0.0729051703230713, 40.74710139694378, -0.1447464625168713, -1.7544253380135086, 25.887982573094583, -0.2534358971536844, 1.207718611781741]|1017.0482788085937500|      4.00000000|[13, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | iterate success | actual_k=1
       3|[10.173912101253771, 3.4061046419238727, -0.0729051703230713, 40.74710139694378, -0.1447464625168713, -1.7544253380135086, 25.887982573094583, -0.2534358971536844, 1.207718611781741]|1017.0482788085937500|      2.00000000|[26, 13, 0, 13]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[10.173912101253771, 3.4061046419238727, -0.0729051703230713, 40.74710139694378, -0.1447464625168713, -1.7544253380135086, 25.887982573094583, -0.2534358971536844, 1.207718611781741]|1017.0482788085937500|      1.00000000|[39, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[10.526810544056556, 3.4236306810340382, 0.3006974331667877, 40.553959855730135, -0.3851782572085574, -1.8373228255401037, 26.17892761140409, -0.9926884454438252, 1.1582193194997503]|897.6746826171875000|      2.00000000|[44, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[10.526810544056556, 3.4236306810340382, 0.3006974331667877, 40.553959855730135, -0.3851782572085574, -1.8373228255401037, 26.17892761140409, -0.9926884454438252, 1.1582193194997503]|897.6746826171875000|      1.00000000|[57, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[10.526810544056556, 3.4236306810340382, 0.3006974331667877, 40.553959855730135, -0.3851782572085574, -1.8373228255401037, 26.17892761140409, -0.9926884454438252, 1.1582193194997503]|897.6746826171875000|      0.50000000|[70, 35, 0, 35]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[10.590097824544527, 3.214009912920191, -0.0037540504141479, 40.43488382403942, -0.4037236546325774, -1.7891493008662316, 26.077503770566302, -0.7280543382168558, 1.0477592811024476]|891.8643798828125000|      1.00000000|[82, 41, 0, 41]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | iterate success | actual_k=1
       9|[10.590097824544527, 3.214009912920191, -0.0037540504141479, 40.43488382403942, -0.4037236546325774, -1.7891493008662316, 26.077503770566302, -0.7280543382168558, 1.0477592811024476]|891.8643798828125000|      0.50000000|[94, 47, 0, 47]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[10.590097824544527, 3.214009912920191, -0.0037540504141479, 40.43488382403942, -0.4037236546325774, -1.7891493008662316, 26.077503770566302, -0.7280543382168558, 1.0477592811024476]|891.8643798828125000|      0.25000000|[106, 53, 0, 53]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[10.627678439117735, 3.232308774423573, 0.1860637134176669, 40.39807116827455, -0.4708305518604576, -1.775979231653676, 26.1420604617547, -0.7247474337128059, 1.1682234069333235]|872.5361938476562500|      0.50000000|[111, 55, 0, 55]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[10.627678439117735, 3.232308774423573, 0.1860637134176669, 40.39807116827455, -0.4708305518604576, -1.775979231653676, 26.1420604617547, -0.7247474337128059, 1.1682234069333235]|872.5361938476562500|      0.25000000|[124, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[10.576507787423354, 3.203179138560661, 0.2442482786896993, 40.32663583887058, -0.5221203639054983, -1.6813073497329722, 26.23424644137695, -0.6969316934435902, 1.340499924500449]|862.2221679687500000|      0.50000000|[135, 67, 0, 67]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | iterate success | actual_k=1
      14|[10.576507787423354, 3.203179138560661, 0.2442482786896993, 40.32663583887058, -0.5221203639054983, -1.6813073497329722, 26.23424644137695, -0.6969316934435902, 1.340499924500449]|862.2221679687500000|      0.25000000|[147, 73, 0, 73]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[10.568180499931593, 3.1396826679326684, 0.4544711520085907, 40.32079731402977, -0.5032087510920098, -1.6536731736931807, 26.301140002138816, -0.618494616793897, 1.3897207474587647]|853.3105468750000000|      0.50000000|[157, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | iterate success | actual_k=1
      16|[10.568180499931593, 3.1396826679326684, 0.4544711520085907, 40.32079731402977, -0.5032087510920098, -1.6536731736931807, 26.301140002138816, -0.618494616793897, 1.3897207474587647]|853.3105468750000000|      0.25000000|[170, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[10.5626841349198, 3.0746422093445704, 0.3822318808068687, 40.210946187331835, -0.4629930028826146, -1.4639013971098886, 26.355310676222718, -0.6042961097209648, 1.4033974887490328]|850.9102172851562500|      0.50000000|[176, 87, 0, 87]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | iterate success | actual_k=1
      18|[10.5626841349198, 3.0746422093445704, 0.3822318808068687, 40.210946187331835, -0.4629930028826146, -1.4639013971098886, 26.355310676222718, -0.6042961097209648, 1.4033974887490328]|850.9102172851562500|      0.25000000|[189, 93, 0, 93]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
