k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       2|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.25000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.12500000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.06250000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       5|[-3.995578907907164, -0.057282372578296, 4.002059446555275, 0.0552743152433034, -1.9985927600684015, -0.0925636211182712]|  0.8244609270146085|      0.12500000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       6|[-3.995578907907164, -0.057282372578296, 4.002059446555275, 0.0552743152433034, -1.9985927600684015, -0.0925636211182712]|  0.8244609270146085|      0.06250000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[-3.995578907907164, -0.057282372578296, 4.002059446555275, 0.0552743152433034, -1.9985927600684015, -0.0925636211182712]|  0.8244609270146085|      0.03125000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[-3.995578907907164, -0.057282372578296, 4.002059446555275, 0.0552743152433034, -1.9985927600684015, -0.0925636211182712]|  0.8244609270146085|      0.01562500|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
       9|[-3.9879135579396006, -0.0492673372984067, 3.9993980871049444, 0.0446661999273762, -1.9977614737109763, -0.091649147144345]|  0.6424920129117280|      0.03125000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
      10|[-3.9879135579396006, -0.0492673372984067, 3.9993980871049444, 0.0446661999273762, -1.9977614737109763, -0.091649147144345]|  0.6424920129117280|      0.01562500|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[-3.9879135579396006, -0.0492673372984067, 3.9993980871049444, 0.0446661999273762, -1.9977614737109763, -0.091649147144345]|  0.6424920129117280|      0.00781250|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      12|[-3.987308977039323, -0.0561583065794054, 3.9998231018732655, 0.04292404392436, -1.9974173380728455, -0.0947876190852397]|  0.5540153036989163|      0.01562500|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      13|[-3.990409214614068, -0.063381341253219, 4.001707759458795, 0.030963499019732, -1.992485632813732, -0.0981682457561308]|  0.4347281796281850|      0.03125000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      14|[-3.990409214614068, -0.063381341253219, 4.001707759458795, 0.030963499019732, -1.992485632813732, -0.0981682457561308]|  0.4347281796281850|      0.01562500|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      15|[-3.990409214614068, -0.063381341253219, 4.001707759458795, 0.030963499019732, -1.992485632813732, -0.0981682457561308]|  0.4347281796281850|      0.00781250|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[-3.990409214614068, -0.063381341253219, 4.001707759458795, 0.030963499019732, -1.992485632813732, -0.0981682457561308]|  0.4347281796281850|      0.00390625|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      17|[-3.990218233447297, -0.063197490003734, 4.001268977085675, 0.0271393149171034, -1.9925703947013635, -0.097564577490319]|  0.4197889275647357|      0.00781250|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      18|[-3.990218233447297, -0.063197490003734, 4.001268977085675, 0.0271393149171034, -1.9925703947013635, -0.097564577490319]|  0.4197889275647357|      0.00390625|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      19|[-3.9905179520338647, -0.0669314379701076, 4.0009145799913854, 0.0269499991282909, -1.9927202094146335, -0.0985857083336168]|  0.4132668150292962|      0.00781250|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      20|[-3.9905179520338647, -0.0669314379701076, 4.0009145799913854, 0.0269499991282909, -1.9927202094146335, -0.0985857083336168]|  0.4132668150292962|      0.00390625|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      21|[-3.9906257759343333, -0.0660578267139712, 4.00063536758508, 0.0235562481389357, -1.9919259921376937, -0.0970831505099157]|  0.4030203357153632|      0.00781250|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      22|[-3.9906257759343333, -0.0660578267139712, 4.00063536758508, 0.0235562481389357, -1.9919259921376937, -0.0970831505099157]|  0.4030203357153632|      0.00390625|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      23|[-3.9906257759343333, -0.0660578267139712, 4.00063536758508, 0.0235562481389357, -1.9919259921376937, -0.0970831505099157]|  0.4030203357153632|      0.00195312|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      24|[-3.990591411735001, -0.067889507992295, 4.000495954750291, 0.0239675415594967, -1.9918615253259333, -0.0975986171683411]|  0.3987057707092899|      0.00390625|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      25|[-3.990591411735001, -0.067889507992295, 4.000495954750291, 0.0239675415594967, -1.9918615253259333, -0.0975986171683411]|  0.3987057707092899|      0.00195312|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      26|[-3.99088052169578, -0.0676999899653883, 4.000688355777684, 0.0221249379953491, -1.991754112192877, -0.0970971672879179]|  0.3963016216615476|      0.00390625|[338, 104, 26, 52]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      27|[-3.9926165833114045, -0.0707123451857503, 4.000131241971903, 0.0207871313540594, -1.9917235235611894, -0.0981313612199992]|  0.3937066234801154|      0.00781250|[351, 108, 27, 54]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      28|[-3.9926165833114045, -0.0707123451857503, 4.000131241971903, 0.0207871313540594, -1.9917235235611894, -0.0981313612199992]|  0.3937066234801154|      0.00390625|[364, 112, 28, 56]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      29|[-3.9926165833114045, -0.0707123451857503, 4.000131241971903, 0.0207871313540594, -1.9917235235611894, -0.0981313612199992]|  0.3937066234801154|      0.00195312|[377, 116, 29, 58]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      30|[-3.992668001942219, -0.0694822061696396, 4.000058654055067, 0.0193659138764667, -1.991690835827425, -0.0976092359679301]|  0.3922238181612495|      0.00390625|[390, 120, 30, 60]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
