k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|127387.7641130791162141|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|127387.7641130791162141|      0.50000000|[121, 8, 1, 3]                                                             |  | used linear model with 129 points | iterate failure | actual_k=4
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|127387.7641130791162141|      0.25000000|[242, 16, 2, 6]                                                            |  | used linear model with 129 points | iterate failure | actual_k=4
       3|[0.0443703715788843, 0.0513352842204851, -0.0240441323348389, -0.0087196368129902, -0.0026333410458256, -0.0030527942862995, 0.0178338297471675, -0.0269443667419518, 0.0272577487493219, 0.0206413472811728, 0.001143940367224, -0.0238864559281897, -0.0439079798313836, -0.0089810884971516, -0.027711822215047, -0.0192615264060037, -0.0349644497603922, -0.0473752623506592, -0.0046391056013154, 0.0247481140615233, -0.0121556940863326, 0.0066981578898597, -0.0117132462187057, 0.007370609214149, 0.0028756334695992, -0.0144259377061916, 0.0212488652408231, -0.0214816807329813, -0.0322652929293797, -0.0355596399659035, 0.1051228147436553, 0.0367420401838243, -0.0370453180781875, -0.0224803013224628, 0.0576415131707511, -0.0590768232755047, -0.0078094496840191, -0.0051700053051763, -0.0501426022651975, 0.0636936883106831, -0.0030834644890206, -0.0618879291615206, 0.0160708492327736, 0.0466671525223935, 0.0045958835683422, 0.0269057735478184, 0.0273278054668231, -0.026254339557372, 0.0331182043872301, 0.0262673191437668, -0.0104587649102282, 0.0059793257816896, 0.0561691747437367, -0.0297879093904576, -0.0070054972367414, 0.0214956767811634, -0.0260936350394599]|47446.3363514554657741|      0.50000000|[363, 24, 3, 9]                                                            |  | used linear model with 129 points | iterate success | actual_k=4
       4|[0.0443703715788843, 0.0513352842204851, -0.0240441323348389, -0.0087196368129902, -0.0026333410458256, -0.0030527942862995, 0.0178338297471675, -0.0269443667419518, 0.0272577487493219, 0.0206413472811728, 0.001143940367224, -0.0238864559281897, -0.0439079798313836, -0.0089810884971516, -0.027711822215047, -0.0192615264060037, -0.0349644497603922, -0.0473752623506592, -0.0046391056013154, 0.0247481140615233, -0.0121556940863326, 0.0066981578898597, -0.0117132462187057, 0.007370609214149, 0.0028756334695992, -0.0144259377061916, 0.0212488652408231, -0.0214816807329813, -0.0322652929293797, -0.0355596399659035, 0.1051228147436553, 0.0367420401838243, -0.0370453180781875, -0.0224803013224628, 0.0576415131707511, -0.0590768232755047, -0.0078094496840191, -0.0051700053051763, -0.0501426022651975, 0.0636936883106831, -0.0030834644890206, -0.0618879291615206, 0.0160708492327736, 0.0466671525223935, 0.0045958835683422, 0.0269057735478184, 0.0273278054668231, -0.026254339557372, 0.0331182043872301, 0.0262673191437668, -0.0104587649102282, 0.0059793257816896, 0.0561691747437367, -0.0297879093904576, -0.0070054972367414, 0.0214956767811634, -0.0260936350394599]|47446.3363514554657741|      0.25000000|[484, 32, 4, 12]                                                           |  | used linear model with 129 points | iterate failure | actual_k=4
       5|[0.0109132096380082, 0.0659486275982562, 0.0390480865250865, -0.0271729352530919, 0.0014494516656307, 0.0069485661503683, -0.0268474397165331, -0.0215737394149482, 0.052652847690688, 0.0367917187638573, -0.0175312629746118, -0.0411539513878689, -0.0099089827966273, -0.0019579649214653, -0.0470789431140909, -0.0351997647756599, -0.0596479347383719, -0.0815169392378272, 0.0137317941300866, 0.0200461969469649, -0.03163181711743, -0.0179911396596484, 0.0225406900019235, 0.0091138674387713, 0.0084991975163041, 0.0050642753091364, -0.032112488393042, -0.0758496598081687, -0.0179201120801071, -0.0578023813198231, 0.0835367105766051, -0.0275251355236181, -0.1161960696989649, -0.0401455434018926, 0.0697759122397394, -0.0126302806449877, -0.0540062767209188, -0.0369909492873508, -0.0525198467323579, 0.070024660427402, 0.0390796801487792, -0.0468425358945685, 0.0142025068202155, 0.0673613660593103, -0.0268840475817763, -0.0112616858305093, 0.0100968839023124, -0.0546695203777895, 0.0603493390057639, 0.0446745863625099, -0.0350757627707847, 0.0763368160603683, 0.1515530434230898, -0.0345319387049934, -0.0253961704583796, -0.0120640736059266, -0.0410000141810354]|26091.7662097022766829|      0.50000000|[605, 40, 5, 15]                                                           |  | used linear model with 129 points | iterate success | actual_k=4
       6|[0.0109132096380082, 0.0659486275982562, 0.0390480865250865, -0.0271729352530919, 0.0014494516656307, 0.0069485661503683, -0.0268474397165331, -0.0215737394149482, 0.052652847690688, 0.0367917187638573, -0.0175312629746118, -0.0411539513878689, -0.0099089827966273, -0.0019579649214653, -0.0470789431140909, -0.0351997647756599, -0.0596479347383719, -0.0815169392378272, 0.0137317941300866, 0.0200461969469649, -0.03163181711743, -0.0179911396596484, 0.0225406900019235, 0.0091138674387713, 0.0084991975163041, 0.0050642753091364, -0.032112488393042, -0.0758496598081687, -0.0179201120801071, -0.0578023813198231, 0.0835367105766051, -0.0275251355236181, -0.1161960696989649, -0.0401455434018926, 0.0697759122397394, -0.0126302806449877, -0.0540062767209188, -0.0369909492873508, -0.0525198467323579, 0.070024660427402, 0.0390796801487792, -0.0468425358945685, 0.0142025068202155, 0.0673613660593103, -0.0268840475817763, -0.0112616858305093, 0.0100968839023124, -0.0546695203777895, 0.0603493390057639, 0.0446745863625099, -0.0350757627707847, 0.0763368160603683, 0.1515530434230898, -0.0345319387049934, -0.0253961704583796, -0.0120640736059266, -0.0410000141810354]|26091.7662097022766829|      0.25000000|[726, 48, 6, 18]                                                           |  | used linear model with 129 points | iterate failure | actual_k=4
       7|[0.0109132096380082, 0.0659486275982562, 0.0390480865250865, -0.0271729352530919, 0.0014494516656307, 0.0069485661503683, -0.0268474397165331, -0.0215737394149482, 0.052652847690688, 0.0367917187638573, -0.0175312629746118, -0.0411539513878689, -0.0099089827966273, -0.0019579649214653, -0.0470789431140909, -0.0351997647756599, -0.0596479347383719, -0.0815169392378272, 0.0137317941300866, 0.0200461969469649, -0.03163181711743, -0.0179911396596484, 0.0225406900019235, 0.0091138674387713, 0.0084991975163041, 0.0050642753091364, -0.032112488393042, -0.0758496598081687, -0.0179201120801071, -0.0578023813198231, 0.0835367105766051, -0.0275251355236181, -0.1161960696989649, -0.0401455434018926, 0.0697759122397394, -0.0126302806449877, -0.0540062767209188, -0.0369909492873508, -0.0525198467323579, 0.070024660427402, 0.0390796801487792, -0.0468425358945685, 0.0142025068202155, 0.0673613660593103, -0.0268840475817763, -0.0112616858305093, 0.0100968839023124, -0.0546695203777895, 0.0603493390057639, 0.0446745863625099, -0.0350757627707847, 0.0763368160603683, 0.1515530434230898, -0.0345319387049934, -0.0253961704583796, -0.0120640736059266, -0.0410000141810354]|26091.7662097022766829|      0.12500000|[847, 56, 7, 21]                                                           |  | used linear model with 129 points | iterate failure | actual_k=4
       8|[0.0385712857280198, 0.0767695731362559, 0.0361049918913437, -0.0377985862958507, -0.025472766341572, -0.0009106847610327, -0.0061650129754706, -0.0231452698660643, 0.0421108881457399, 0.0115497852134741, -0.0150557684277828, -0.0477144899131738, -0.0083303111239203, -0.0040836792088687, -0.0419788370545676, -0.0543639784543034, -0.0689889366149003, -0.0852430198957851, 0.0197887538836407, 0.0324235062138451, -0.0353895305882776, -0.0316165403935763, 0.0133060112990466, 0.0179568508024581, -0.0095124993409042, -0.0055328242192981, -0.0392631129473434, -0.0668484269347029, -0.0278366920257251, -0.0599600095507615, 0.1174201786281535, -0.0070076044979987, -0.139739811234617, -0.0340929500564255, 0.105685914372799, -0.0187180565635854, -0.0664595692950658, -0.0445250590357213, -0.0444128406651415, 0.1042911730061365, 0.0262970513413717, -0.0741563263854128, 0.0196827143058797, 0.1051473329127698, -0.0250551177663207, 0.0001268905532657, 0.0187824087176164, -0.0679620236850436, 0.1004163310856603, 0.0488770001056577, -0.0223950596174844, 0.0948678068671807, 0.1669607052870112, -0.0074658629785829, -0.0209470911303973, -0.0094938517990578, -0.0328568628407535]|2433.5954412531777962|      0.25000000|[968, 64, 8, 24]                                                           |  | used linear model with 129 points | iterate success | actual_k=4
       9|[0.0385712857280198, 0.0767695731362559, 0.0361049918913437, -0.0377985862958507, -0.025472766341572, -0.0009106847610327, -0.0061650129754706, -0.0231452698660643, 0.0421108881457399, 0.0115497852134741, -0.0150557684277828, -0.0477144899131738, -0.0083303111239203, -0.0040836792088687, -0.0419788370545676, -0.0543639784543034, -0.0689889366149003, -0.0852430198957851, 0.0197887538836407, 0.0324235062138451, -0.0353895305882776, -0.0316165403935763, 0.0133060112990466, 0.0179568508024581, -0.0095124993409042, -0.0055328242192981, -0.0392631129473434, -0.0668484269347029, -0.0278366920257251, -0.0599600095507615, 0.1174201786281535, -0.0070076044979987, -0.139739811234617, -0.0340929500564255, 0.105685914372799, -0.0187180565635854, -0.0664595692950658, -0.0445250590357213, -0.0444128406651415, 0.1042911730061365, 0.0262970513413717, -0.0741563263854128, 0.0196827143058797, 0.1051473329127698, -0.0250551177663207, 0.0001268905532657, 0.0187824087176164, -0.0679620236850436, 0.1004163310856603, 0.0488770001056577, -0.0223950596174844, 0.0948678068671807, 0.1669607052870112, -0.0074658629785829, -0.0209470911303973, -0.0094938517990578, -0.0328568628407535]|2433.5954412531777962|      0.12500000|[1089, 72, 9, 27]                                                          |  | used linear model with 129 points | iterate failure | actual_k=4
      10|[0.0385712857280198, 0.0767695731362559, 0.0361049918913437, -0.0377985862958507, -0.025472766341572, -0.0009106847610327, -0.0061650129754706, -0.0231452698660643, 0.0421108881457399, 0.0115497852134741, -0.0150557684277828, -0.0477144899131738, -0.0083303111239203, -0.0040836792088687, -0.0419788370545676, -0.0543639784543034, -0.0689889366149003, -0.0852430198957851, 0.0197887538836407, 0.0324235062138451, -0.0353895305882776, -0.0316165403935763, 0.0133060112990466, 0.0179568508024581, -0.0095124993409042, -0.0055328242192981, -0.0392631129473434, -0.0668484269347029, -0.0278366920257251, -0.0599600095507615, 0.1174201786281535, -0.0070076044979987, -0.139739811234617, -0.0340929500564255, 0.105685914372799, -0.0187180565635854, -0.0664595692950658, -0.0445250590357213, -0.0444128406651415, 0.1042911730061365, 0.0262970513413717, -0.0741563263854128, 0.0196827143058797, 0.1051473329127698, -0.0250551177663207, 0.0001268905532657, 0.0187824087176164, -0.0679620236850436, 0.1004163310856603, 0.0488770001056577, -0.0223950596174844, 0.0948678068671807, 0.1669607052870112, -0.0074658629785829, -0.0209470911303973, -0.0094938517990578, -0.0328568628407535]|2433.5954412531777962|      0.06250000|[1210, 80, 10, 30]                                                         |  | used linear model with 129 points | iterate failure | actual_k=4
      11|[0.0385712857280198, 0.0767695731362559, 0.0361049918913437, -0.0377985862958507, -0.025472766341572, -0.0009106847610327, -0.0061650129754706, -0.0231452698660643, 0.0421108881457399, 0.0115497852134741, -0.0150557684277828, -0.0477144899131738, -0.0083303111239203, -0.0040836792088687, -0.0419788370545676, -0.0543639784543034, -0.0689889366149003, -0.0852430198957851, 0.0197887538836407, 0.0324235062138451, -0.0353895305882776, -0.0316165403935763, 0.0133060112990466, 0.0179568508024581, -0.0095124993409042, -0.0055328242192981, -0.0392631129473434, -0.0668484269347029, -0.0278366920257251, -0.0599600095507615, 0.1174201786281535, -0.0070076044979987, -0.139739811234617, -0.0340929500564255, 0.105685914372799, -0.0187180565635854, -0.0664595692950658, -0.0445250590357213, -0.0444128406651415, 0.1042911730061365, 0.0262970513413717, -0.0741563263854128, 0.0196827143058797, 0.1051473329127698, -0.0250551177663207, 0.0001268905532657, 0.0187824087176164, -0.0679620236850436, 0.1004163310856603, 0.0488770001056577, -0.0223950596174844, 0.0948678068671807, 0.1669607052870112, -0.0074658629785829, -0.0209470911303973, -0.0094938517990578, -0.0328568628407535]|2433.5954412531777962|      0.03125000|[1331, 88, 11, 33]                                                         |  | used linear model with 129 points | iterate failure | actual_k=4
