k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.25000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[0.0228856306013018, 0.064602163849718, 0.0819998267427244, 0.0310852929895851, 0.1504069312734068, 0.0926183260400813, 0.0312494990237293, 0.0530469135497058, 0.0234553531394916, 0.0608296227178807, -0.015422344428458, 0.1031183324793785]| 22.8536366527900370|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       4|[0.0228856306013018, 0.064602163849718, 0.0819998267427244, 0.0310852929895851, 0.1504069312734068, 0.0926183260400813, 0.0312494990237293, 0.0530469135497058, 0.0234553531394916, 0.0608296227178807, -0.015422344428458, 0.1031183324793785]| 22.8536366527900370|      0.25000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[0.0228856306013018, 0.064602163849718, 0.0819998267427244, 0.0310852929895851, 0.1504069312734068, 0.0926183260400813, 0.0312494990237293, 0.0530469135497058, 0.0234553531394916, 0.0608296227178807, -0.015422344428458, 0.1031183324793785]| 22.8536366527900370|      0.12500000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[0.0484973793148042, 0.1086595997688017, 0.0923411828546257, 0.0317366509063285, 0.1554195312838095, 0.0288567365489565, 0.0242114426078102, 0.0174449594686593, -0.0170329795340122, 0.013371846053357, -0.0696660774766908, 0.077060997518303]| 13.1710871749086831|      0.25000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       7|[-0.0188268760445415, 0.2494769181132266, 0.2079113945499859, 0.0345358429917663, 0.2186555635736179, 0.1063656584604697, 0.0229739528726083, -0.0069538634052409, 0.0060051969792655, 0.0382211993228856, -0.1743030468492179, 0.0315284575233109]|  6.3721752557224889|      0.50000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       8|[-0.0188268760445415, 0.2494769181132266, 0.2079113945499859, 0.0345358429917663, 0.2186555635736179, 0.1063656584604697, 0.0229739528726083, -0.0069538634052409, 0.0060051969792655, 0.0382211993228856, -0.1743030468492179, 0.0315284575233109]|  6.3721752557224889|      0.25000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[-0.0188268760445415, 0.2494769181132266, 0.2079113945499859, 0.0345358429917663, 0.2186555635736179, 0.1063656584604697, 0.0229739528726083, -0.0069538634052409, 0.0060051969792655, 0.0382211993228856, -0.1743030468492179, 0.0315284575233109]|  6.3721752557224889|      0.12500000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[-0.0188268760445415, 0.2494769181132266, 0.2079113945499859, 0.0345358429917663, 0.2186555635736179, 0.1063656584604697, 0.0229739528726083, -0.0069538634052409, 0.0060051969792655, 0.0382211993228856, -0.1743030468492179, 0.0315284575233109]|  6.3721752557224889|      0.06250000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[-0.0262777978582347, 0.2996994782983489, 0.2224863352053056, 0.0473104037985371, 0.2391466562718953, 0.0988373140467959, 0.0204983617796844, 0.003527880699358, 0.0217895135280077, 0.0478460310062947, -0.1702770232065892, 0.0300242457243226]|  5.2154500632259593|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      12|[-0.1107165007796122, 0.3421936969686555, 0.258016020149501, 0.0581580996284339, 0.2647879394216487, 0.1448977359759754, -0.0128102557600158, 0.0155878460927864, -0.0105387958662608, 0.0626172231828311, -0.1730169930535724, 0.032158732214578]|  4.8405879491575288|      0.25000000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      13|[-0.1107165007796122, 0.3421936969686555, 0.258016020149501, 0.0581580996284339, 0.2647879394216487, 0.1448977359759754, -0.0128102557600158, 0.0155878460927864, -0.0105387958662608, 0.0626172231828311, -0.1730169930535724, 0.032158732214578]|  4.8405879491575288|      0.12500000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[-0.1107165007796122, 0.3421936969686555, 0.258016020149501, 0.0581580996284339, 0.2647879394216487, 0.1448977359759754, -0.0128102557600158, 0.0155878460927864, -0.0105387958662608, 0.0626172231828311, -0.1730169930535724, 0.032158732214578]|  4.8405879491575288|      0.06250000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[-0.1107165007796122, 0.3421936969686555, 0.258016020149501, 0.0581580996284339, 0.2647879394216487, 0.1448977359759754, -0.0128102557600158, 0.0155878460927864, -0.0105387958662608, 0.0626172231828311, -0.1730169930535724, 0.032158732214578]|  4.8405879491575288|      0.03125000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[-0.1070573237830287, 0.3537128686502128, 0.2630691644740927, 0.0616368984845876, 0.2569369201553942, 0.1394487237151892, -0.0182735876703349, 0.0055392249047972, -0.0199506833761741, 0.0499833380811068, -0.1823623010356647, 0.0168238433525925]|  4.0481898314104052|      0.06250000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      17|[-0.0971885376879196, 0.3986156918204874, 0.2633118377430639, 0.0763497739875824, 0.2521689812738318, 0.1217999311073207, -0.0383744287045695, -0.0110064388263083, -0.007538394907491, 0.0653438476295169, -0.1942964109246603, 0.0112009545286462]|  3.5273040004693179|      0.12500000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      18|[-0.0971885376879196, 0.3986156918204874, 0.2633118377430639, 0.0763497739875824, 0.2521689812738318, 0.1217999311073207, -0.0383744287045695, -0.0110064388263083, -0.007538394907491, 0.0653438476295169, -0.1942964109246603, 0.0112009545286462]|  3.5273040004693179|      0.06250000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[-0.0971885376879196, 0.3986156918204874, 0.2633118377430639, 0.0763497739875824, 0.2521689812738318, 0.1217999311073207, -0.0383744287045695, -0.0110064388263083, -0.007538394907491, 0.0653438476295169, -0.1942964109246603, 0.0112009545286462]|  3.5273040004693179|      0.03125000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[-0.1033472808329475, 0.4127408554240375, 0.26884022521589, 0.0772355311313729, 0.2564264426752347, 0.1247028107518299, -0.0242852479669766, -0.0050487744919401, -0.0008307464060358, 0.0697090476314016, -0.1775951984255671, 0.0214105097526089]|  3.3073812158553935|      0.06250000|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      21|[-0.084715303276519, 0.4378767962561191, 0.271412725863538, 0.09570565564116, 0.2442791741835661, 0.1273675398431021, -0.0514446608404238, 0.0021376127953979, -0.0343117677935064, 0.0649806701828525, -0.1906808092720092, 0.039327437261319]|  2.8749450270371004|      0.12500000|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      22|[-0.084715303276519, 0.4378767962561191, 0.271412725863538, 0.09570565564116, 0.2442791741835661, 0.1273675398431021, -0.0514446608404238, 0.0021376127953979, -0.0343117677935064, 0.0649806701828525, -0.1906808092720092, 0.039327437261319]|  2.8749450270371004|      0.06250000|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      23|[-0.084715303276519, 0.4378767962561191, 0.271412725863538, 0.09570565564116, 0.2442791741835661, 0.1273675398431021, -0.0514446608404238, 0.0021376127953979, -0.0343117677935064, 0.0649806701828525, -0.1906808092720092, 0.039327437261319]|  2.8749450270371004|      0.03125000|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[-0.0864346458903575, 0.4580227828623579, 0.2743952863050771, 0.0971370553447513, 0.2442312580422692, 0.127746845437874, -0.0460591111852909, 0.0087340354358696, -0.0297638020916906, 0.0693864630064367, -0.1740149242679497, 0.05222283108665]|  2.6698778771084162|      0.06250000|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      25|[-0.0543728492036353, 0.4865880504570151, 0.2942949757139544, 0.0977287027873566, 0.2337472433096563, 0.1006718360366582, -0.062491514731326, -0.0113348393115428, -0.038862839712526, 0.0701489942761883, -0.1820950225920123, 0.0509767380753114]|  2.4302611954431015|      0.12500000|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      26|[-0.0543728492036353, 0.4865880504570151, 0.2942949757139544, 0.0977287027873566, 0.2337472433096563, 0.1006718360366582, -0.062491514731326, -0.0113348393115428, -0.038862839712526, 0.0701489942761883, -0.1820950225920123, 0.0509767380753114]|  2.4302611954431015|      0.06250000|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      27|[-0.0543728492036353, 0.4865880504570151, 0.2942949757139544, 0.0977287027873566, 0.2337472433096563, 0.1006718360366582, -0.062491514731326, -0.0113348393115428, -0.038862839712526, 0.0701489942761883, -0.1820950225920123, 0.0509767380753114]|  2.4302611954431015|      0.03125000|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      28|[-0.059998120231608, 0.4881067646021021, 0.3044945267082864, 0.1010886706506356, 0.2413766912737081, 0.1084628697318172, -0.0580207162806335, -0.0008598017023067, -0.0253767616782866, 0.0795395888674532, -0.1708387599813673, 0.0644640639488611]|  2.1457283922212964|      0.06250000|[420, 56, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      29|[-0.0566646246905271, 0.5297604625409671, 0.3128779559803285, 0.0999694429620108, 0.2411425612954956, 0.0870459838507793, -0.075834141758807, -0.0057627293714487, 0.0016699038429074, 0.0730822065659455, -0.1522572636539008, 0.0514261904235172]|  1.6832051441407683|      0.12500000|[435, 58, 29, 58]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      30|[-0.0566646246905271, 0.5297604625409671, 0.3128779559803285, 0.0999694429620108, 0.2411425612954956, 0.0870459838507793, -0.075834141758807, -0.0057627293714487, 0.0016699038429074, 0.0730822065659455, -0.1522572636539008, 0.0514261904235172]|  1.6832051441407683|      0.06250000|[450, 60, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      31|[-0.0430099704782324, 0.5722368546799145, 0.3245312867622977, 0.0912283547890634, 0.2299756401590619, 0.0824224336173884, -0.0853831670846037, -0.0231243570156111, 0.0154888778913794, 0.0474567553080744, -0.1412811354859971, 0.065446149746012]|  1.3101787772967508|      0.12500000|[465, 62, 31, 62]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      32|[-0.0430099704782324, 0.5722368546799145, 0.3245312867622977, 0.0912283547890634, 0.2299756401590619, 0.0824224336173884, -0.0853831670846037, -0.0231243570156111, 0.0154888778913794, 0.0474567553080744, -0.1412811354859971, 0.065446149746012]|  1.3101787772967508|      0.06250000|[480, 64, 32, 64]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      33|[-0.0430099704782324, 0.5722368546799145, 0.3245312867622977, 0.0912283547890634, 0.2299756401590619, 0.0824224336173884, -0.0853831670846037, -0.0231243570156111, 0.0154888778913794, 0.0474567553080744, -0.1412811354859971, 0.065446149746012]|  1.3101787772967508|      0.03125000|[495, 66, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      34|[-0.035161700093529, 0.5884587597654272, 0.3259637974312293, 0.094835861388994, 0.2283786612908804, 0.0704203080028158, -0.0894181280348052, -0.0202734299295091, 0.0286950208750678, 0.0518856496440422, -0.1249843960968873, 0.0679239851976483]|  1.1192216661152892|      0.06250000|[510, 68, 34, 68]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      35|[-0.0314797485412926, 0.6314658090613052, 0.3227665772327195, 0.092068321019286, 0.2386984541800016, 0.0647420187670721, -0.103007418104408, 0.0028752755373009, 0.0335122371698993, 0.0387001135826726, -0.099797339735182, 0.0862128135200024]|  1.0075658090916217|      0.12500000|[525, 70, 35, 70]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      36|[-0.0314797485412926, 0.6314658090613052, 0.3227665772327195, 0.092068321019286, 0.2386984541800016, 0.0647420187670721, -0.103007418104408, 0.0028752755373009, 0.0335122371698993, 0.0387001135826726, -0.099797339735182, 0.0862128135200024]|  1.0075658090916217|      0.06250000|[540, 72, 36, 72]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
