k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, 0.0]                                                                | 25.2430323198307036|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8764359217227832, -0.5702666832565109, -0.8944613994131564]                  | 13.6443977355957031|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[2.1466410675191727, -0.7183706675496315, -2.4322013310754893]                  |  0.5710373520851135|      4.00000000|[13, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[2.1466410675191727, -0.7183706675496315, -2.4322013310754893]                  |  0.5710373520851135|      2.00000000|[19, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[2.1466410675191727, -0.7183706675496315, -2.4322013310754893]                  |  0.5710373520851135|      1.00000000|[25, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[2.1466410675191727, -0.7183706675496315, -2.4322013310754893]                  |  0.5710373520851135|      0.50000000|[31, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[2.1466410675191727, -0.7183706675496315, -2.4322013310754893]                  |  0.5710373520851135|      0.25000000|[37, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[2.1466410675191727, -0.7183706675496315, -2.4322013310754893]                  |  0.5710373520851135|      0.12500000|[43, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[2.1466410675191727, -0.7183706675496315, -2.4322013310754893]                  |  0.5710373520851135|      0.06250000|[49, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[2.2047258687830067, -0.7271876586302152, -2.4535242420030765]                  |  0.5424422025680542|      0.12500000|[55, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[2.274749067551164, -0.8272180716604633, -2.4267722681829436]                   |  0.4109652340412140|      0.25000000|[61, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[2.274749067551164, -0.8272180716604633, -2.4267722681829436]                   |  0.4109652340412140|      0.12500000|[67, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[2.36319956426525, -0.8252307032803909, -2.5150760619743395]                    |  0.4061217308044434|      0.25000000|[73, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[2.36319956426525, -0.8252307032803909, -2.5150760619743395]                    |  0.4061217308044434|      0.12500000|[79, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[2.3910478639843555, -0.8851101953626135, -2.4089444520236283]                  |  0.3192611038684845|      0.25000000|[85, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[2.488632022951654, -1.0992760153940073, -2.4932672451991733]                   |  0.2284330830850979|      0.50000000|[91, 30, 1, 31]                                                            |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
