k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.50000000|[165, 24, 0, 3]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       2|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.25000000|[328, 48, 0, 6]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       3|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.12500000|[492, 72, 0, 9]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       4|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.06250000|[654, 96, 0, 12]                                                           |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 110 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       5|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.03125000|[817, 120, 0, 15]                                                          |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       6|[4.134844901879258, 0.0404349684844263, 0.1816929832512577, 0.0211702999613202, 1.654925863867554, 0.0224996979604571, 1.1938483936501398, 0.0180902201435426, 0.2915745554705009, 0.0200062182965938, 0.328756270002753, 0.0237820767717137, 0.0833332988921758, 0.0225228012053981, 0.2583766433583968, 0.018990609567076, 1.3952785645376742, 0.0256144643146717, 1.1711647985027687, 0.0266846065051258, 0.0931285228939193, 0.0203634907326, 0.1307625566702362, 0.0220189316272811, 0.3010774026075209, 0.020079677609515, 0.1028821564618226, 0.0193377584168943, 0.1201033423713705, 0.0147249602610093, 0.5460287252779553, 0.0186425089864886, 0.005722244404437, 0.0211983477574923, 0.0916031786007088, 0.0157301580654818, 0.1146757267016379, 0.0222037416782621, 0.0419463831625752, 0.0256039293360875, 0.0990336752404485, 0.0210480490345833, 0.2885116041679232, 0.0163653198230492, 0.4198882879802932, 0.0159065877574875, 0.1549889448669063, 0.0175640229044584, 0.0708089895529564, 0.0238550738099639, 0.3138579576036016, 0.0198741485906319, 0.1409781316423517, 0.0178694601831613, 0.2848352499447362, 0.0257758819258308, 0.0648165386577352, 0.0245737521147943, 0.1536218070170572, 0.017567586137055, 0.1927540320781162, 0.019779571958323, 0.1496224709805722, 0.0226671428178507, 0.3919571334857339, 0.0192782837888954]|183883.0000000000000000|      0.06250000|[926, 136, 0, 17]                                                          |  | trying linear partial model with 57 points | iterate success | actual_k=8
       7|[4.134844901879258, 0.0404349684844263, 0.1816929832512577, 0.0211702999613202, 1.654925863867554, 0.0224996979604571, 1.1938483936501398, 0.0180902201435426, 0.2915745554705009, 0.0200062182965938, 0.328756270002753, 0.0237820767717137, 0.0833332988921758, 0.0225228012053981, 0.2583766433583968, 0.018990609567076, 1.3952785645376742, 0.0256144643146717, 1.1711647985027687, 0.0266846065051258, 0.0931285228939193, 0.0203634907326, 0.1307625566702362, 0.0220189316272811, 0.3010774026075209, 0.020079677609515, 0.1028821564618226, 0.0193377584168943, 0.1201033423713705, 0.0147249602610093, 0.5460287252779553, 0.0186425089864886, 0.005722244404437, 0.0211983477574923, 0.0916031786007088, 0.0157301580654818, 0.1146757267016379, 0.0222037416782621, 0.0419463831625752, 0.0256039293360875, 0.0990336752404485, 0.0210480490345833, 0.2885116041679232, 0.0163653198230492, 0.4198882879802932, 0.0159065877574875, 0.1549889448669063, 0.0175640229044584, 0.0708089895529564, 0.0238550738099639, 0.3138579576036016, 0.0198741485906319, 0.1409781316423517, 0.0178694601831613, 0.2848352499447362, 0.0257758819258308, 0.0648165386577352, 0.0245737521147943, 0.1536218070170572, 0.017567586137055, 0.1927540320781162, 0.019779571958323, 0.1496224709805722, 0.0226671428178507, 0.3919571334857339, 0.0192782837888954]|183883.0000000000000000|      0.03125000|[1090, 160, 0, 20]                                                         |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       8|[4.133063661378478, 0.0559986379775969, 0.1816838935122588, 0.0189507548221095, 1.6567628172952786, 0.0304186135408932, 1.1919228023599562, 0.0319974695878336, 0.2900410917807894, 0.0187981959585936, 0.3260549896768072, 0.020429035851287, 0.0870983383050866, 0.0227806868365474, 0.2611229658324322, 0.0228322990038278, 1.4006667847186796, 0.0293462955823106, 1.173881895919593, 0.0332398572756737, 0.0973424833047715, 0.0178427564175867, 0.1341622701044593, 0.023965781359452, 0.3027247258134351, 0.0257987612540777, 0.1030319082816989, 0.0182483396160552, 0.1177632824518696, 0.015662732997047, 0.5472917530186705, 0.0225336882967071, 0.0083766271843918, 0.024413333723525, 0.0905622532432539, 0.0171917926705808, 0.1134209030352874, 0.0185570247197228, 0.0401952868065177, 0.0265264191440342, 0.0937930041464421, 0.022644460719686, 0.289846533531253, 0.013835487302206, 0.414665498861596, 0.0131186813097804, 0.1553339113869297, 0.0219735643219585, 0.0660290269172021, 0.0247812017575934, 0.3124182195640174, 0.0197487436466176, 0.1383101655361823, 0.0168941282540563, 0.2876724241865646, 0.025924997981671, 0.0622619511653243, 0.0242046819247906, 0.1538218197669993, 0.018366257394571, 0.1914089723317274, 0.0198553570303038, 0.1511727021057721, 0.0239384051826549, 0.3933254173147248, 0.0240175313908238]|152157.9375000000000000|      0.06250000|[1199, 176, 0, 22]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
       9|[4.133063661378478, 0.0559986379775969, 0.1816838935122588, 0.0189507548221095, 1.6567628172952786, 0.0304186135408932, 1.1919228023599562, 0.0319974695878336, 0.2900410917807894, 0.0187981959585936, 0.3260549896768072, 0.020429035851287, 0.0870983383050866, 0.0227806868365474, 0.2611229658324322, 0.0228322990038278, 1.4006667847186796, 0.0293462955823106, 1.173881895919593, 0.0332398572756737, 0.0973424833047715, 0.0178427564175867, 0.1341622701044593, 0.023965781359452, 0.3027247258134351, 0.0257987612540777, 0.1030319082816989, 0.0182483396160552, 0.1177632824518696, 0.015662732997047, 0.5472917530186705, 0.0225336882967071, 0.0083766271843918, 0.024413333723525, 0.0905622532432539, 0.0171917926705808, 0.1134209030352874, 0.0185570247197228, 0.0401952868065177, 0.0265264191440342, 0.0937930041464421, 0.022644460719686, 0.289846533531253, 0.013835487302206, 0.414665498861596, 0.0131186813097804, 0.1553339113869297, 0.0219735643219585, 0.0660290269172021, 0.0247812017575934, 0.3124182195640174, 0.0197487436466176, 0.1383101655361823, 0.0168941282540563, 0.2876724241865646, 0.025924997981671, 0.0622619511653243, 0.0242046819247906, 0.1538218197669993, 0.018366257394571, 0.1914089723317274, 0.0198553570303038, 0.1511727021057721, 0.0239384051826549, 0.3933254173147248, 0.0240175313908238]|152157.9375000000000000|      0.03125000|[1362, 200, 0, 25]                                                         |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      10|[4.132263212377125, 0.0708413154321545, 0.1824516560080942, 0.0158037253559011, 1.662485248080623, 0.0418127708939218, 1.1983221475450365, 0.0361838806527969, 0.2834932886568357, 0.0226598325152183, 0.325498838565717, 0.0167056933317976, 0.0862333000892877, 0.0231054014091976, 0.2626132123400978, 0.0239250088991867, 1.396531679968773, 0.0363337832353138, 1.173556686222008, 0.0369419379969502, 0.0968383477389235, 0.0177801453121137, 0.1302078639476116, 0.0260153420334442, 0.304040389963681, 0.024491110862145, 0.0990912482121813, 0.0235240316629827, 0.1180699433076721, 0.0104639161539454, 0.5469411321600559, 0.0235182690870055, 0.0040002124210212, 0.0212314486489734, 0.0912317612985993, 0.0181729768823422, 0.1135887137169555, 0.0202387952309327, 0.0337623486898565, 0.0247722285592121, 0.0942453949894025, 0.0247101981462315, 0.2917446169515956, 0.0108601961074585, 0.4132844466993456, 0.0180144464236857, 0.1529930095844096, 0.0276006564004621, 0.0695037905170824, 0.0313337076943009, 0.3102047750586461, 0.0169283570883546, 0.1370421847292529, 0.014507563309235, 0.2860391326583876, 0.0293298422570028, 0.0622650938406744, 0.0252012328395069, 0.1536518389313372, 0.0161503403742876, 0.1946177133838676, 0.0203287608255364, 0.1509292324964775, 0.0217704075389923, 0.3953499554907569, 0.0234625355078363]|135196.5781250000000000|      0.06250000|[1471, 216, 0, 27]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
