k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[19.992956101572947, 2.0627949780650927, 2.0380997015814346, 2.025713600530173, 0.6938566570493245]|4899.6235807784141798|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       3|[19.992956101572947, 2.0627949780650927, 2.0380997015814346, 2.025713600530173, 0.6938566570493245]|4899.6235807784141798|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[19.992956101572947, 2.0627949780650927, 2.0380997015814346, 2.025713600530173, 0.6938566570493245]|4899.6235807784141798|      0.25000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[20.021145587851695, 2.0824451972951694, 2.124929668544015, 1.959888079298589, 0.4714903391425476]|4299.8333774627817547|      0.50000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       6|[20.021145587851695, 2.0824451972951694, 2.124929668544015, 1.959888079298589, 0.4714903391425476]|4299.8333774627817547|      0.25000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[20.021145587851695, 2.0824451972951694, 2.124929668544015, 1.959888079298589, 0.4714903391425476]|4299.8333774627817547|      0.12500000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[20.021580603884487, 2.1211198778078364, 2.129921979390487, 1.9522000045851504, 0.590002153692436]|3851.4728317232156769|      0.25000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       9|[20.021580603884487, 2.1211198778078364, 2.129921979390487, 1.9522000045851504, 0.590002153692436]|3851.4728317232156769|      0.12500000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[20.021580603884487, 2.1211198778078364, 2.129921979390487, 1.9522000045851504, 0.590002153692436]|3851.4728317232156769|      0.06250000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[20.02492894743929, 2.1492841914002536, 2.1403080441445987, 1.9542463696054604, 0.5353235282119609]|3701.1553312187484153|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      12|[20.02492894743929, 2.1492841914002536, 2.1403080441445987, 1.9542463696054604, 0.5353235282119609]|3701.1553312187484153|      0.06250000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[20.038811846174216, 2.2036350448338426, 2.1616946002404287, 1.9712009305368103, 0.5391520965790288]|3548.8548555440420387|      0.12500000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      14|[20.038811846174216, 2.2036350448338426, 2.1616946002404287, 1.9712009305368103, 0.5391520965790288]|3548.8548555440420387|      0.06250000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
