k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0]                                                            | 13.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.986396941551161, -0.024453564327438, -0.1190126753075256, 0.1107207297950344]|  8.2765249987133256|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[0.986396941551161, -0.024453564327438, -0.1190126753075256, 0.1107207297950344]|  8.2765249987133256|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[0.986396941551161, -0.024453564327438, -0.1190126753075256, 0.1107207297950344]|  8.2765249987133256|      0.50000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[0.757593598649372, -0.0468329901939726, -0.0976442724686606, -0.3327785181580671]|  8.0074801726724214|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       5|[1.4204655569406164, -0.1570065535281339, 0.2294825988204729, -0.9971959794984255]|  6.0652347453103772|      2.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       6|[1.4204655569406164, -0.1570065535281339, 0.2294825988204729, -0.9971959794984255]|  6.0652347453103772|      1.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[1.4204655569406164, -0.1570065535281339, 0.2294825988204729, -0.9971959794984255]|  6.0652347453103772|      0.50000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[1.427434772609169, 0.1312306976020481, 0.0334631261788459, -0.6388008296439946]|  5.9690842344245407|      1.00000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       9|[1.427434772609169, 0.1312306976020481, 0.0334631261788459, -0.6388008296439946]|  5.9690842344245407|      0.50000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[1.427434772609169, 0.1312306976020481, 0.0334631261788459, -0.6388008296439946]|  5.9690842344245407|      0.25000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[1.3611684416206966, 0.0361441792106394, 0.0404682545430646, -0.8602014971545677]|  5.8276030994473293|      0.50000000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      12|[1.3611684416206966, 0.0361441792106394, 0.0404682545430646, -0.8602014971545677]|  5.8276030994473293|      0.25000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[1.3611684416206966, 0.0361441792106394, 0.0404682545430646, -0.8602014971545677]|  5.8276030994473293|      0.12500000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[1.4410050967592467, 0.015564006233009, 0.0825143285614316, -0.7761795200524964]|  5.7529353145854785|      0.25000000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
