k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, 0.0]                                                                | 45.2064958913885775|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, -1.0, 0.0]                                                                | 45.2064958913885775|      0.50000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[1.3332043733532435, -0.8301972928321282, -0.3318763116233733]                  | 21.5859260559082031|      1.00000000|[10, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[2.1218711361144718, -0.737703411144229, -0.9396999860274142]                   |  1.7499645948410034|      2.00000000|[15, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[2.1218711361144718, -0.737703411144229, -0.9396999860274142]                   |  1.7499645948410034|      1.00000000|[20, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[2.1218711361144718, -0.737703411144229, -0.9396999860274142]                   |  1.7499645948410034|      0.50000000|[24, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[2.1218711361144718, -0.737703411144229, -0.9396999860274142]                   |  1.7499645948410034|      0.25000000|[28, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[2.277546167212872, -0.5559923066172558, -1.0121317413844362]                   |  1.1825990676879883|      0.50000000|[33, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[2.277546167212872, -0.5559923066172558, -1.0121317413844362]                   |  1.1825990676879883|      0.25000000|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[2.277546167212872, -0.5559923066172558, -1.0121317413844362]                   |  1.1825990676879883|      0.12500000|[42, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[2.3561758787814346, -0.6440015318504652, -0.9709401799610703]                  |  0.7610883116722107|      0.25000000|[47, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[2.3561758787814346, -0.6440015318504652, -0.9709401799610703]                  |  0.7610883116722107|      0.12500000|[52, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[2.3561758787814346, -0.6440015318504652, -0.9709401799610703]                  |  0.7610883116722107|      0.06250000|[57, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[2.3367782348670314, -0.6996573056463786, -0.9917348007498253]                  |  0.7006915807723999|      0.12500000|[62, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[2.3367782348670314, -0.6996573056463786, -0.9917348007498253]                  |  0.7006915807723999|      0.06250000|[67, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[2.3974359420258855, -0.6863735502034402, -0.9988365191026527]                  |  0.6517108678817749|      0.12500000|[72, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
