k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 5.0, -5.0, -1.0]                                                         |7926693.3369958801195025|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.970824408185546, 4.091847328921411, -4.612766488740892, -1.156389637166413] |6398612.8030922980979085|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[24.224249557045454, 2.8120501434712764, -4.066898119024243, 0.0711171362169158]|4197193.4154402101412416|      4.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[21.27769197832307, 0.3344129088549397, -3.0029104826615916, 0.2880099175255643]|2616909.8338274988345802|      8.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[21.27769197832307, 0.3344129088549397, -3.0029104826615916, 0.2880099175255643]|2616909.8338274988345802|      4.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[21.27769197832307, 0.3344129088549397, -3.0029104826615916, 0.2880099175255643]|2616909.8338274988345802|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[21.27769197832307, 0.3344129088549397, -3.0029104826615916, 0.2880099175255643]|2616909.8338274988345802|      1.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[21.27769197832307, 0.3344129088549397, -3.0029104826615916, 0.2880099175255643]|2616909.8338274988345802|      0.50000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[21.174104890447648, 0.815987317426098, -2.9206968008058927, 0.3124376630326513]|2420039.5985740814357996|      1.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[21.0292499121275, 1.7790363287038398, -2.7007264841556773, 0.2561642507881651] |2256037.0413180827163160|      2.00000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      10|[21.0292499121275, 1.7790363287038398, -2.7007264841556773, 0.2561642507881651] |2256037.0413180827163160|      1.00000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[20.965468388404396, 2.0035619222710026, -2.0604805777329496, 0.9880148874441786]|2204586.8704335931688547|      2.00000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[20.965468388404396, 2.0035619222710026, -2.0604805777329496, 0.9880148874441786]|2204586.8704335931688547|      1.00000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[20.141769141023715, 2.115605314844623, -1.5095715603264361, 1.0619410843251402]|1992301.1116993948817253|      2.00000000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[20.141769141023715, 2.115605314844623, -1.5095715603264361, 1.0619410843251402]|1992301.1116993948817253|      1.00000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[19.261541006232072, 1.9472006872894203, -1.9193023843085508, 0.8917677491102711]|1851773.3944708993658423|      2.00000000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      16|[19.261541006232072, 1.9472006872894203, -1.9193023843085508, 0.8917677491102711]|1851773.3944708993658423|      1.00000000|[80, 0, 16, 32]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      17|[18.64662482124764, 1.8383071049945892, -1.2231454714275636, 1.2458663594255444]|1778555.8953228397294879|      2.00000000|[85, 0, 17, 34]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      18|[18.64662482124764, 1.8383071049945892, -1.2231454714275636, 1.2458663594255444]|1778555.8953228397294879|      1.00000000|[90, 0, 18, 36]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      19|[18.690166221177364, 2.7215583939476207, -0.8755450482160578, 1.5575476916194224]|1694464.0910385139286518|      2.00000000|[95, 0, 19, 38]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      20|[18.690166221177364, 2.7215583939476207, -0.8755450482160578, 1.5575476916194224]|1694464.0910385139286518|      1.00000000|[100, 0, 20, 40]                                                           |  | used linear model with 5 points | iterate failure | actual_k=0
