k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.25000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.12500000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[0.0242615204474363, 0.0271177158741571, 0.0244820758005485, 0.0387909226558195, 0.0387111929172799, 0.0504646525170824, 0.0316828701967759, 0.0419022660207948, 0.0369997163328267, 0.0400511446378481, 0.0389366218618181, 0.0300487088824118]| 20.3845175432338372|      0.25000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       5|[-0.0575148178957012, 0.1745371617857788, 0.074303117227229, 0.0844551166387202, 0.0952858355579958, 0.1369206105914833, -0.014064049292513, 0.0460956422095674, -0.0414419930823132, -0.0413336407449649, -0.0211064898885766, 0.0486318844398518]| 10.2875368584887230|      0.50000000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=0
       6|[-0.0575148178957012, 0.1745371617857788, 0.074303117227229, 0.0844551166387202, 0.0952858355579958, 0.1369206105914833, -0.014064049292513, 0.0460956422095674, -0.0414419930823132, -0.0413336407449649, -0.0211064898885766, 0.0486318844398518]| 10.2875368584887230|      0.25000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[-0.0575148178957012, 0.1745371617857788, 0.074303117227229, 0.0844551166387202, 0.0952858355579958, 0.1369206105914833, -0.014064049292513, 0.0460956422095674, -0.0414419930823132, -0.0413336407449649, -0.0211064898885766, 0.0486318844398518]| 10.2875368584887230|      0.12500000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[-0.0575148178957012, 0.1745371617857788, 0.074303117227229, 0.0844551166387202, 0.0952858355579958, 0.1369206105914833, -0.014064049292513, 0.0460956422095674, -0.0414419930823132, -0.0413336407449649, -0.0211064898885766, 0.0486318844398518]| 10.2875368584887230|      0.06250000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[-0.0613420148423935, 0.2034597215922119, 0.1188966616489546, 0.1036738619009693, 0.0960728158940251, 0.1405262122017269, -0.024441747365998, 0.034836657505596, -0.0449081910544174, -0.0295160256846627, -0.0367937685710806, 0.0414693846821361]|  8.4930944574987706|      0.12500000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
      10|[-0.0613420148423935, 0.2034597215922119, 0.1188966616489546, 0.1036738619009693, 0.0960728158940251, 0.1405262122017269, -0.024441747365998, 0.034836657505596, -0.0449081910544174, -0.0295160256846627, -0.0367937685710806, 0.0414693846821361]|  8.4930944574987706|      0.06250000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[-0.0517657620188311, 0.2475581892579864, 0.1322843171327968, 0.1107126136617723, 0.1061100215292403, 0.1442682593325433, -0.0516694332720718, 0.03692629016632, -0.0579667273395511, -0.0483946672034721, -0.0505017117343267, 0.0495810519745936]|  7.4121742604335727|      0.12500000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
