k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0, 2.0]                                                            |2648.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.506293582955429, 2.416970166481481, 2.5343876565107557, 2.533134617795077]   |2156.0949999198601290|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[2.506293582955429, 2.416970166481481, 2.5343876565107557, 2.533134617795077]   |2156.0949999198601290|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[2.506293582955429, 2.416970166481481, 2.5343876565107557, 2.533134617795077]   |2156.0949999198601290|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[2.4245218269953686, 1.9318092382782917, 2.445878430072637, 2.5232164270551323] |200.6962098276021607|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[2.4245218269953686, 1.9318092382782917, 2.445878430072637, 2.5232164270551323] |200.6962098276021607|      0.50000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[2.3294144047774643, 1.8519198945360718, 2.6286562396628943, 2.0747027223404486]| 51.9368728077550657|      1.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[2.3294144047774643, 1.8519198945360718, 2.6286562396628943, 2.0747027223404486]| 51.9368728077550657|      0.50000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[2.3294144047774643, 1.8519198945360718, 2.6286562396628943, 2.0747027223404486]| 51.9368728077550657|      0.25000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[2.3294144047774643, 1.8519198945360718, 2.6286562396628943, 2.0747027223404486]| 51.9368728077550657|      0.12500000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[2.344018658167453, 1.806982215211091, 2.6420336596789484, 2.189652125964479]   | 23.2914941144086889|      0.25000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[2.344018658167453, 1.806982215211091, 2.6420336596789484, 2.189652125964479]   | 23.2914941144086889|      0.12500000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[2.344018658167453, 1.806982215211091, 2.6420336596789484, 2.189652125964479]   | 23.2914941144086889|      0.06250000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[2.344018658167453, 1.806982215211091, 2.6420336596789484, 2.189652125964479]   | 23.2914941144086889|      0.03125000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[2.344018658167453, 1.806982215211091, 2.6420336596789484, 2.189652125964479]   | 23.2914941144086889|      0.01562500|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[2.344018658167453, 1.806982215211091, 2.6420336596789484, 2.189652125964479]   | 23.2914941144086889|      0.00781250|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      16|[2.344018658167453, 1.806982215211091, 2.6420336596789484, 2.189652125964479]   | 23.2914941144086889|      0.00390625|[80, 0, 16, 32]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      17|[2.344018658167453, 1.806982215211091, 2.6420336596789484, 2.189652125964479]   | 23.2914941144086889|      0.00195312|[85, 0, 17, 34]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      18|[2.3434152305147893, 1.8053320047458812, 2.642856544796779, 2.1898762639509752] | 23.2292164910856975|      0.00390625|[90, 0, 18, 36]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      19|[2.3434152305147893, 1.8053320047458812, 2.642856544796779, 2.1898762639509752] | 23.2292164910856975|      0.00195312|[95, 0, 19, 38]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      20|[2.3434152305147893, 1.8053320047458812, 2.642856544796779, 2.1898762639509752] | 23.2292164910856975|      0.00097656|[100, 0, 20, 40]                                                           |  | used linear model with 5 points | iterate failure | actual_k=0
