k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.50000000|[10, 3, 0, 3]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[1000.1167474182644, 999.982786523396, 399.6405840198544, 40.20903833371504, 0.9269076923394122, 0.2836350391159388, -0.0769670604338075]|1119283.1250000000000000|      1.00000000|[16, 5, 0, 5]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[1000.1167474182644, 999.982786523396, 399.6405840198544, 40.20903833371504, 0.9269076923394122, 0.2836350391159388, -0.0769670604338075]|1119283.1250000000000000|      0.50000000|[25, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1000.1167474182644, 999.982786523396, 399.6405840198544, 40.20903833371504, 0.9269076923394122, 0.2836350391159388, -0.0769670604338075]|1119283.1250000000000000|      0.25000000|[34, 11, 0, 11]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1000.1167474182644, 999.982786523396, 399.6405840198544, 40.20903833371504, 0.9269076923394122, 0.2836350391159388, -0.0769670604338075]|1119283.1250000000000000|      0.12500000|[43, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[1000.1167474182644, 999.982786523396, 399.6405840198544, 40.20903833371504, 0.9269076923394122, 0.2836350391159388, -0.0769670604338075]|1119283.1250000000000000|      0.06250000|[52, 17, 0, 17]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1000.1016053938347, 1000.0009785440484, 399.64495917682376, 40.20319600593814, 0.8778347523159568, 0.2833024134115454, -0.1067072790945944]|1063157.8750000000000000|      0.12500000|[58, 19, 0, 19]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[1000.1016053938347, 1000.0009785440484, 399.64495917682376, 40.20319600593814, 0.8778347523159568, 0.2833024134115454, -0.1067072790945944]|1063157.8750000000000000|      0.06250000|[68, 22, 1, 23]                                                            |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[1000.1016053938347, 1000.0009785440484, 399.64495917682376, 40.20319600593814, 0.8778347523159568, 0.2833024134115454, -0.1067072790945944]|1063157.8750000000000000|      0.03125000|[77, 25, 2, 27]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[1000.0959807242784, 999.9977637455037, 399.65657322659996, 40.205723964139416, 0.9006257596272609, 0.2683278105038266, -0.0996613447122578]|1021242.8125000000000000|      0.06250000|[84, 27, 2, 29]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[1000.0959807242784, 999.9977637455037, 399.65657322659996, 40.205723964139416, 0.9006257596272609, 0.2683278105038266, -0.0996613447122578]|1021242.8125000000000000|      0.03125000|[93, 30, 2, 32]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[1000.0959807242784, 999.9977637455037, 399.65657322659996, 40.205723964139416, 0.9006257596272609, 0.2683278105038266, -0.0996613447122578]|1021242.8125000000000000|      0.01562500|[102, 33, 2, 35]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[1000.0959807242784, 999.9977637455037, 399.65657322659996, 40.205723964139416, 0.9006257596272609, 0.2683278105038266, -0.0996613447122578]|1021242.8125000000000000|      0.00781250|[111, 36, 2, 38]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[1000.0942184384886, 999.9971435343704, 399.65899579907324, 40.204825682053055, 0.9012528493549589, 0.2748315047136081, -0.0968016602543019]|1012021.6875000000000000|      0.01562500|[117, 38, 2, 40]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[1000.0942184384886, 999.9971435343704, 399.65899579907324, 40.204825682053055, 0.9012528493549589, 0.2748315047136081, -0.0968016602543019]|1012021.6875000000000000|      0.00781250|[127, 41, 3, 44]                                                           |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[1000.0942184384886, 999.9971435343704, 399.65899579907324, 40.204825682053055, 0.9012528493549589, 0.2748315047136081, -0.0968016602543019]|1012021.6875000000000000|      0.00390625|[136, 44, 3, 47]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
