k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.50000000|[13, 0, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       2|[1.4144714010927555, 0.32591441622907, 0.610999443692932, 0.7215309294488957, 0.68904092065481, 3.0020720114731545, 4.882483323519344, 6.976532746350689, 2.238935170322411, 4.514418314332459, 5.724251744643899]|  2.1329376492506582|      1.00000000|[26, 0, 2, 8]                                                              |  | used linear model with 13 points | iterate success | actual_k=0
       3|[1.4144714010927555, 0.32591441622907, 0.610999443692932, 0.7215309294488957, 0.68904092065481, 3.0020720114731545, 4.882483323519344, 6.976532746350689, 2.238935170322411, 4.514418314332459, 5.724251744643899]|  2.1329376492506582|      0.50000000|[39, 0, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       4|[1.4144714010927555, 0.32591441622907, 0.610999443692932, 0.7215309294488957, 0.68904092065481, 3.0020720114731545, 4.882483323519344, 6.976532746350689, 2.238935170322411, 4.514418314332459, 5.724251744643899]|  2.1329376492506582|      0.25000000|[52, 0, 4, 16]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       5|[1.4284194381208064, 0.4530591348975628, 0.649499629559219, 0.7729337357417392, 0.5142024439318184, 3.0675392073170196, 4.8523962257454665, 6.974750656752153, 2.2858319423159426, 4.481778932632423, 5.778911305013652]|  1.4669171015146232|      0.50000000|[65, 0, 5, 20]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       6|[1.4284194381208064, 0.4530591348975628, 0.649499629559219, 0.7729337357417392, 0.5142024439318184, 3.0675392073170196, 4.8523962257454665, 6.974750656752153, 2.2858319423159426, 4.481778932632423, 5.778911305013652]|  1.4669171015146232|      0.25000000|[78, 0, 6, 24]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       7|[1.4315971865504111, 0.2525781949472078, 0.6727445308522109, 0.8842288176765525, 0.4764834848401653, 3.0977531326969645, 4.9097776053047175, 6.944246891514076, 2.248522041866005, 4.512005794859925, 5.756417339485256]|  1.1660685122209347|      0.50000000|[91, 0, 7, 28]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       8|[1.4315971865504111, 0.2525781949472078, 0.6727445308522109, 0.8842288176765525, 0.4764834848401653, 3.0977531326969645, 4.9097776053047175, 6.944246891514076, 2.248522041866005, 4.512005794859925, 5.756417339485256]|  1.1660685122209347|      0.25000000|[104, 0, 8, 32]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
       9|[1.4315971865504111, 0.2525781949472078, 0.6727445308522109, 0.8842288176765525, 0.4764834848401653, 3.0977531326969645, 4.9097776053047175, 6.944246891514076, 2.248522041866005, 4.512005794859925, 5.756417339485256]|  1.1660685122209347|      0.12500000|[117, 0, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
      10|[1.4117176433943956, 0.2300314066777741, 0.6472361609938475, 0.9340928216201343, 0.5015123011391949, 3.127641775271595, 4.886300953816484, 6.926881337196791, 2.230314861502611, 4.604463222140517, 5.738196890471508]|  1.0384749387275660|      0.25000000|[130, 0, 10, 40]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      11|[1.3267246699016193, 0.2789044784773618, 0.6437304849249692, 0.7828145367118471, 0.3923096251542413, 3.1708469076833734, 4.798060593403644, 6.897360287273216, 2.1818033029460087, 4.6672014939803015, 5.702827631363772]|  0.9235230544904465|      0.50000000|[143, 0, 11, 44]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      12|[1.3267246699016193, 0.2789044784773618, 0.6437304849249692, 0.7828145367118471, 0.3923096251542413, 3.1708469076833734, 4.798060593403644, 6.897360287273216, 2.1818033029460087, 4.6672014939803015, 5.702827631363772]|  0.9235230544904465|      0.25000000|[156, 0, 12, 48]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      13|[1.3267246699016193, 0.2789044784773618, 0.6437304849249692, 0.7828145367118471, 0.3923096251542413, 3.1708469076833734, 4.798060593403644, 6.897360287273216, 2.1818033029460087, 4.6672014939803015, 5.702827631363772]|  0.9235230544904465|      0.12500000|[169, 0, 13, 52]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      14|[1.3088495690416535, 0.2430976573057845, 0.6650223914441583, 0.7830551475197982, 0.4813551891459062, 3.1904342753376254, 4.826561827917568, 6.942156502950504, 2.209312511708392, 4.68477491644237, 5.739875825115248]|  0.8448611635020201|      0.25000000|[182, 0, 14, 56]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
