k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.8232903658105234, 0.572825748327625, 0.8004026282050288]                    |1045.2998098537154874|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[-0.8450127799826463, 1.9082045379255441, 2.289124101488239]                    |199.8322423027384787|      4.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[-0.8450127799826463, 1.9082045379255441, 2.289124101488239]                    |199.8322423027384787|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[-0.1538210669549226, 0.7849007690632657, 3.792600958211215]                    |115.3343575777954300|      4.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[-0.1538210669549226, 0.7849007690632657, 3.792600958211215]                    |115.3343575777954300|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[-0.1538210669549226, 0.7849007690632657, 3.792600958211215]                    |115.3343575777954300|      1.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[-0.1538210669549226, 0.7849007690632657, 3.792600958211215]                    |115.3343575777954300|      0.50000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[-0.2942108782013337, 0.8790967178284741, 3.3220504039299357]                   | 21.0580012918002950|      1.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[-0.2942108782013337, 0.8790967178284741, 3.3220504039299357]                   | 21.0580012918002950|      0.50000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[-0.2942108782013337, 0.8790967178284741, 3.3220504039299357]                   | 21.0580012918002950|      0.25000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[-0.5417839494578194, 0.9134236220308757, 3.327457624704997]                    | 11.5170028499866124|      0.50000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[-0.5417839494578194, 0.9134236220308757, 3.327457624704997]                    | 11.5170028499866124|      0.25000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[-0.5417839494578194, 0.9134236220308757, 3.327457624704997]                    | 11.5170028499866124|      0.12500000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[-0.5417839494578194, 0.9134236220308757, 3.327457624704997]                    | 11.5170028499866124|      0.06250000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[-0.5417839494578194, 0.9134236220308757, 3.327457624704997]                    | 11.5170028499866124|      0.03125000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
