k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      0.12500000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.0288455339756744, 0.0029432348563163, 0.0662061203080066]                    |  0.0049970197030647|      0.25000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[0.0288455339756744, 0.0029432348563163, 0.0662061203080066]                    |  0.0049970197030647|      0.12500000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.0288455339756744, 0.0029432348563163, 0.0662061203080066]                    |  0.0049970197030647|      0.06250000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.0288455339756744, 0.0029432348563163, 0.0662061203080066]                    |  0.0049970197030647|      0.03125000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.0538357245729632, 0.0037843672257903, 0.0474619113290125]                    |  0.0023345428093691|      0.06250000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[0.0538357245729632, 0.0037843672257903, 0.0474619113290125]                    |  0.0023345428093691|      0.03125000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.0538357245729632, 0.0037843672257903, 0.0474619113290125]                    |  0.0023345428093691|      0.01562500|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.0538357245729632, 0.0037843672257903, 0.0474619113290125]                    |  0.0023345428093691|      0.00781250|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[0.0538357245729632, 0.0037843672257903, 0.0474619113290125]                    |  0.0023345428093691|      0.00390625|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.0552742205211595, 0.0073394825679357, 0.0467198376308089]                    |  0.0022574023557413|      0.00781250|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[0.0552742205211595, 0.0073394825679357, 0.0467198376308089]                    |  0.0022574023557413|      0.00390625|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[0.0552742205211595, 0.0073394825679357, 0.0467198376308089]                    |  0.0022574023557413|      0.00195312|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
