k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0]                                                                 | 29.5000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.6047618346161545, 1.222491317665272, 1.5108506960874548]                     |  9.3478527221159418|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[1.6047618346161545, 1.222491317665272, 1.5108506960874548]                     |  9.3478527221159418|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[1.3108420182347784, 0.5665671448374716, 0.8155992156586074]                    |  3.8780341698511944|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[1.3108420182347784, 0.5665671448374716, 0.8155992156586074]                    |  3.8780341698511944|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.4118706190356527, 0.6400495861835926, 1.2473986531707237]                    |  3.3270657079345698|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[0.4118706190356527, 0.6400495861835926, 1.2473986531707237]                    |  3.3270657079345698|      1.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.3483003083490818, 0.6499220897577235, 0.249470124030289]                     |  1.6197185876638018|      2.00000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[0.3483003083490818, 0.6499220897577235, 0.249470124030289]                     |  1.6197185876638018|      1.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[0.4269863175990792, -0.1823100048943133, -0.2993451933392181]                  |  1.2892432955080664|      2.00000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      10|[0.4269863175990792, -0.1823100048943133, -0.2993451933392181]                  |  1.2892432955080664|      1.00000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.4269863175990792, -0.1823100048943133, -0.2993451933392181]                  |  1.2892432955080664|      0.50000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[0.0219085106001159, -0.0843764207141219, -0.0230826671679474]                  |  1.0080689626691994|      1.00000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      13|[0.0219085106001159, -0.0843764207141219, -0.0230826671679474]                  |  1.0080689626691994|      0.50000000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[0.0219085106001159, -0.0843764207141219, -0.0230826671679474]                  |  1.0080689626691994|      0.25000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[0.0219085106001159, -0.0843764207141219, -0.0230826671679474]                  |  1.0080689626691994|      0.12500000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
