k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, 0.0]                                                                | 45.2064958913885775|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9389111847652671, -0.7521583391570806, -0.2387892339979046]                  |  9.6621742683556402|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[1.9389111847652671, -0.7521583391570806, -0.2387892339979046]                  |  9.6621742683556402|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[1.9389111847652671, -0.7521583391570806, -0.2387892339979046]                  |  9.6621742683556402|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[1.9389111847652671, -0.7521583391570806, -0.2387892339979046]                  |  9.6621742683556402|      0.25000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[2.044260687307334, -0.5823088793758028, -0.3889646092301549]                   |  3.4377597573895238|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[2.044260687307334, -0.5823088793758028, -0.3889646092301549]                   |  3.4377597573895238|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[2.2927762356466066, -0.6087908018663339, -0.3827412648851776]                  |  1.6161807009542566|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[2.2927762356466066, -0.6087908018663339, -0.3827412648851776]                  |  1.6161807009542566|      0.25000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[2.2927762356466066, -0.6087908018663339, -0.3827412648851776]                  |  1.6161807009542566|      0.12500000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[2.362001330309991, -0.51517238373261, -0.4282217887936013]                     |  0.6992662104534435|      0.25000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[2.362001330309991, -0.51517238373261, -0.4282217887936013]                     |  0.6992662104534435|      0.12500000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[2.362001330309991, -0.51517238373261, -0.4282217887936013]                     |  0.6992662104534435|      0.06250000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[2.362001330309991, -0.51517238373261, -0.4282217887936013]                     |  0.6992662104534435|      0.03125000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[2.388120814449818, -0.4989941535911604, -0.4339314225611584]                   |  0.6564684810908279|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[2.4248312031021735, -0.5359558538331972, -0.3993998416501892]                  |  0.5801817785654867|      0.12500000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
