k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 1.0, 0.1]                                                               |19915.8527280256748782|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[99.81834381672847, 0.6237244741036432, -0.8085250462649004]                    |18222.7470568569406169|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[99.81834381672847, 0.6237244741036432, -0.8085250462649004]                    |18222.7470568569406169|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[99.25120646282487, 0.4993827469277056, 0.0056581988894814]                     |3566.4209486056197420|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[99.25120646282487, 0.4993827469277056, 0.0056581988894814]                     |3566.4209486056197420|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[99.25120646282487, 0.4993827469277056, 0.0056581988894814]                     |3566.4209486056197420|      0.50000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[99.25120646282487, 0.4993827469277056, 0.0056581988894814]                     |3566.4209486056197420|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[99.25120646282487, 0.4993827469277056, 0.0056581988894814]                     |3566.4209486056197420|      0.12500000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[99.25120646282487, 0.4993827469277056, 0.0056581988894814]                     |3566.4209486056197420|      0.06250000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[99.25120646282487, 0.4993827469277056, 0.0056581988894814]                     |3566.4209486056197420|      0.03125000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[99.25120646282487, 0.4993827469277056, 0.0056581988894814]                     |3566.4209486056197420|      0.01562500|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[99.24795297549508, 0.4847691688302113, 0.0101301984851152]                     |3325.4885746593736258|      0.03125000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[99.24795297549508, 0.4847691688302113, 0.0101301984851152]                     |3325.4885746593736258|      0.01562500|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[99.24795297549508, 0.4847691688302113, 0.0101301984851152]                     |3325.4885746593736258|      0.00781250|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[99.24795297549508, 0.4847691688302113, 0.0101301984851152]                     |3325.4885746593736258|      0.00390625|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[99.24795297549508, 0.4847691688302113, 0.0101301984851152]                     |3325.4885746593736258|      0.00195312|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
