k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0]                                                              |83210000.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.346900631555158, 9.929372680851994, 9.064761135529219]                      |35572222.4379608556628227|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[10.256837592974005, 10.519776462913711, 7.156014944122736]                     |4219193.7217077231034636|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[10.256837592974005, 10.519776462913711, 7.156014944122736]                     |4219193.7217077231034636|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[9.77358492430998, 9.774639839109147, 5.364022123240288]                        |1098444.9220892151352018|      4.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[9.77358492430998, 9.774639839109147, 5.364022123240288]                        |1098444.9220892151352018|      2.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[8.764897532860592, 8.183842369778368, 4.691777258699233]                       |477567.6896387855522335|      4.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[8.764897532860592, 8.183842369778368, 4.691777258699233]                       |477567.6896387855522335|      2.00000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[7.207307886475932, 6.929477412571628, 4.713755602746021]                       |234860.0731476554356050|      4.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       9|[7.207307886475932, 6.929477412571628, 4.713755602746021]                       |234860.0731476554356050|      2.00000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[6.948968109450602, 6.615378743963543, 2.7555414709450243]                      |145845.7887314586841967|      4.00000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[6.948968109450602, 6.615378743963543, 2.7555414709450243]                      |145845.7887314586841967|      2.00000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[6.626519415562751, 5.8598019147069325, 0.9320474361589093]                     |69503.6285844158846885|      4.00000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[4.672939569312853, 2.4776530083382835, 1.794946363887746]                      |2769.8982026118596877|      8.00000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[4.672939569312853, 2.4776530083382835, 1.794946363887746]                      |2769.8982026118596877|      4.00000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[4.672939569312853, 2.4776530083382835, 1.794946363887746]                      |2769.8982026118596877|      2.00000000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
