k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.597584004435203, 0.0708829995393143, 0.1441258581396223, 0.7843155370411691, 0.0017599835429636, 0.0027634433515266, 0.0057067387296692, 0.0231601310841305, 0.006308905944459, 0.0054375595443209, 0.0006521406481173, -0.0212515392700371, -0.00032345478342, -0.0053725595071356, -0.0084346061347055, -0.0011122859100187, -0.0074916462972314, -0.0005470515395427, 0.0219328425273226, 0.0099985600205883, -0.0097229813870417, 0.0033746369162576]| 13.1529560089111328|      2.00000000|[97, 32, 0, 2]                                                             |  | trying linear partial model with 49 points | iterate success | actual_k=16
       2|[1.9523216827796954, 0.1486740543358755, 0.3721928540999367, 2.21360201657739, 0.0885127314654703, -0.0014848070022005, -0.0471601217843829, 0.0282879080375877, -0.0512072905313644, 0.0673931351846363, 0.0694051720741407, -0.0920342790136138, -0.0194668995718668, -0.063989582998092, 0.1172579349299507, -0.0100673095786763, 0.017372683539402, 0.1061321447301705, 0.0376562209541993, -0.0564419498820659, -0.0029900074859344, 0.0145143282306617]| 12.2685308456420898|      4.00000000|[193, 64, 0, 4]                                                            |  | trying linear partial model with 49 points | iterate success | actual_k=16
       3|[1.9523216827796954, 0.1486740543358755, 0.3721928540999367, 2.21360201657739, 0.0885127314654703, -0.0014848070022005, -0.0471601217843829, 0.0282879080375877, -0.0512072905313644, 0.0673931351846363, 0.0694051720741407, -0.0920342790136138, -0.0194668995718668, -0.063989582998092, 0.1172579349299507, -0.0100673095786763, 0.017372683539402, 0.1061321447301705, 0.0376562209541993, -0.0564419498820659, -0.0029900074859344, 0.0145143282306617]| 12.2685308456420898|      2.00000000|[289, 96, 0, 6]                                                            |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       4|[1.9523216827796954, 0.1486740543358755, 0.3721928540999367, 2.21360201657739, 0.0885127314654703, -0.0014848070022005, -0.0471601217843829, 0.0282879080375877, -0.0512072905313644, 0.0673931351846363, 0.0694051720741407, -0.0920342790136138, -0.0194668995718668, -0.063989582998092, 0.1172579349299507, -0.0100673095786763, 0.017372683539402, 0.1061321447301705, 0.0376562209541993, -0.0564419498820659, -0.0029900074859344, 0.0145143282306617]| 12.2685308456420898|      1.00000000|[385, 128, 0, 8]                                                           |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       5|[1.9523216827796954, 0.1486740543358755, 0.3721928540999367, 2.21360201657739, 0.0885127314654703, -0.0014848070022005, -0.0471601217843829, 0.0282879080375877, -0.0512072905313644, 0.0673931351846363, 0.0694051720741407, -0.0920342790136138, -0.0194668995718668, -0.063989582998092, 0.1172579349299507, -0.0100673095786763, 0.017372683539402, 0.1061321447301705, 0.0376562209541993, -0.0564419498820659, -0.0029900074859344, 0.0145143282306617]| 12.2685308456420898|      0.50000000|[481, 160, 0, 10]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       6|[1.642830704002629, 0.1106389201329761, 0.290097996540216, 1.8353186342577281, 0.0867182836189102, -0.0171711448669397, -0.0711707246417871, 0.0260554751113659, -0.0504390848509856, 0.0706636033573548, 0.0658079875736356, -0.1054399617286769, -0.0316189504408642, -0.0506507498439661, 0.1075414894628104, 0.0043953031837272, 0.0257381095189083, 0.1183765309463057, 0.0138803201096545, -0.0533078763994374, 0.0185476417049697, 0.011685444025661]| 12.1450424194335938|      1.00000000|[577, 192, 0, 12]                                                          |  | trying linear partial model with 49 points | iterate success | actual_k=16
       7|[1.642830704002629, 0.1106389201329761, 0.290097996540216, 1.8353186342577281, 0.0867182836189102, -0.0171711448669397, -0.0711707246417871, 0.0260554751113659, -0.0504390848509856, 0.0706636033573548, 0.0658079875736356, -0.1054399617286769, -0.0316189504408642, -0.0506507498439661, 0.1075414894628104, 0.0043953031837272, 0.0257381095189083, 0.1183765309463057, 0.0138803201096545, -0.0533078763994374, 0.0185476417049697, 0.011685444025661]| 12.1450424194335938|      0.50000000|[673, 224, 1, 15]                                                          |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
       8|[1.642830704002629, 0.1106389201329761, 0.290097996540216, 1.8353186342577281, 0.0867182836189102, -0.0171711448669397, -0.0711707246417871, 0.0260554751113659, -0.0504390848509856, 0.0706636033573548, 0.0658079875736356, -0.1054399617286769, -0.0316189504408642, -0.0506507498439661, 0.1075414894628104, 0.0043953031837272, 0.0257381095189083, 0.1183765309463057, 0.0138803201096545, -0.0533078763994374, 0.0185476417049697, 0.011685444025661]| 12.1450424194335938|      0.25000000|[770, 256, 1, 17]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       9|[1.642830704002629, 0.1106389201329761, 0.290097996540216, 1.8353186342577281, 0.0867182836189102, -0.0171711448669397, -0.0711707246417871, 0.0260554751113659, -0.0504390848509856, 0.0706636033573548, 0.0658079875736356, -0.1054399617286769, -0.0316189504408642, -0.0506507498439661, 0.1075414894628104, 0.0043953031837272, 0.0257381095189083, 0.1183765309463057, 0.0138803201096545, -0.0533078763994374, 0.0185476417049697, 0.011685444025661]| 12.1450424194335938|      0.12500000|[866, 288, 1, 19]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      10|[1.642830704002629, 0.1106389201329761, 0.290097996540216, 1.8353186342577281, 0.0867182836189102, -0.0171711448669397, -0.0711707246417871, 0.0260554751113659, -0.0504390848509856, 0.0706636033573548, 0.0658079875736356, -0.1054399617286769, -0.0316189504408642, -0.0506507498439661, 0.1075414894628104, 0.0043953031837272, 0.0257381095189083, 0.1183765309463057, 0.0138803201096545, -0.0533078763994374, 0.0185476417049697, 0.011685444025661]| 12.1450424194335938|      0.06250000|[962, 320, 1, 21]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      11|[1.642830704002629, 0.1106389201329761, 0.290097996540216, 1.8353186342577281, 0.0867182836189102, -0.0171711448669397, -0.0711707246417871, 0.0260554751113659, -0.0504390848509856, 0.0706636033573548, 0.0658079875736356, -0.1054399617286769, -0.0316189504408642, -0.0506507498439661, 0.1075414894628104, 0.0043953031837272, 0.0257381095189083, 0.1183765309463057, 0.0138803201096545, -0.0533078763994374, 0.0185476417049697, 0.011685444025661]| 12.1450424194335938|      0.03125000|[1058, 352, 2, 24]                                                         |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
