k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.663396134026419, -1.5184088176098416, -0.2933805481103269, 0.220188559867023, 0.2015197183435828, 0.3735313961247581, 0.4995094792030408]|52621.6641585061515798|      2.00000000|[30, 10, 1, 4]                                                             |  | used quadratic model with 40 points | iterate success | actual_k=4
       2|[9.663396134026419, -1.5184088176098416, -0.2933805481103269, 0.220188559867023, 0.2015197183435828, 0.3735313961247581, 0.4995094792030408]|52621.6641585061515798|      1.00000000|[59, 21, 2, 8]                                                             |  | used quadratic model with 40 points | iterate failure | actual_k=4
       3|[9.663396134026419, -1.5184088176098416, -0.2933805481103269, 0.220188559867023, 0.2015197183435828, 0.3735313961247581, 0.4995094792030408]|52621.6641585061515798|      0.50000000|[91, 29, 3, 12]                                                            |  | used quadratic model with 40 points | iterate failure | actual_k=4
       4|[9.66396674670666, -1.5298999304778025, -0.2844365837528962, 0.6339427332037506, 0.2106478387952758, 0.3516480337528579, 0.2201657587750372]|38243.8649355723900953|      1.00000000|[121, 39, 4, 16]                                                           |  | used quadratic model with 40 points | iterate success | actual_k=4
       5|[9.7597796109818, -2.384736619231426, -0.4846496815924123, 0.8400104649021591, 0.0719265503949588, -0.0127100518223476, 0.0604017902876479]|7664.4254622266571459|      2.00000000|[150, 50, 5, 20]                                                           |  | used quadratic model with 40 points | iterate success | actual_k=4
       6|[9.7597796109818, -2.384736619231426, -0.4846496815924123, 0.8400104649021591, 0.0719265503949588, -0.0127100518223476, 0.0604017902876479]|7664.4254622266571459|      1.00000000|[181, 59, 6, 24]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=4
       7|[9.7597796109818, -2.384736619231426, -0.4846496815924123, 0.8400104649021591, 0.0719265503949588, -0.0127100518223476, 0.0604017902876479]|7664.4254622266571459|      0.50000000|[210, 70, 7, 28]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=4
       8|[9.7597796109818, -2.384736619231426, -0.4846496815924123, 0.8400104649021591, 0.0719265503949588, -0.0127100518223476, 0.0604017902876479]|7664.4254622266571459|      0.25000000|[241, 79, 8, 32]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=4
       9|[9.7597796109818, -2.384736619231426, -0.4846496815924123, 0.8400104649021591, 0.0719265503949588, -0.0127100518223476, 0.0604017902876479]|7664.4254622266571459|      0.12500000|[271, 89, 9, 36]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=4
      10|[9.7597796109818, -2.384736619231426, -0.4846496815924123, 0.8400104649021591, 0.0719265503949588, -0.0127100518223476, 0.0604017902876479]|7664.4254622266571459|      0.06250000|[302, 98, 10, 40]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=4
      11|[9.7597796109818, -2.384736619231426, -0.4846496815924123, 0.8400104649021591, 0.0719265503949588, -0.0127100518223476, 0.0604017902876479]|7664.4254622266571459|      0.03125000|[334, 106, 11, 44]                                                         |  | used quadratic model with 40 points | iterate failure | actual_k=4
      12|[9.7597796109818, -2.384736619231426, -0.4846496815924123, 0.8400104649021591, 0.0719265503949588, -0.0127100518223476, 0.0604017902876479]|7664.4254622266571459|      0.01562500|[363, 117, 12, 48]                                                         |  | used quadratic model with 40 points | iterate failure | actual_k=4
      13|[9.7597796109818, -2.384736619231426, -0.4846496815924123, 0.8400104649021591, 0.0719265503949588, -0.0127100518223476, 0.0604017902876479]|7664.4254622266571459|      0.00781250|[393, 127, 13, 52]                                                         |  | used quadratic model with 40 points | iterate failure | actual_k=4
      14|[9.7597796109818, -2.384736619231426, -0.4846496815924123, 0.8400104649021591, 0.0719265503949588, -0.0127100518223476, 0.0604017902876479]|7664.4254622266571459|      0.00390625|[423, 137, 14, 56]                                                         |  | used quadratic model with 40 points | iterate failure | actual_k=4
      15|[9.7597796109818, -2.384736619231426, -0.4846496815924123, 0.8400104649021591, 0.0719265503949588, -0.0127100518223476, 0.0604017902876479]|7664.4254622266571459|      0.00195312|[454, 146, 15, 60]                                                         |  | used quadratic model with 40 points | iterate failure | actual_k=4
      16|[9.75992424632724, -2.3846347674240373, -0.4846982463198627, 0.8402119667702477, 0.0718947840230751, -0.012256253012955, 0.0585220296394743]|7628.9350986970284794|      0.00390625|[484, 156, 16, 64]                                                         |  | used quadratic model with 40 points | iterate success | actual_k=4
      17|[9.75992424632724, -2.3846347674240373, -0.4846982463198627, 0.8402119667702477, 0.0718947840230751, -0.012256253012955, 0.0585220296394743]|7628.9350986970284794|      0.00195312|[514, 166, 17, 68]                                                         |  | used quadratic model with 40 points | iterate failure | actual_k=4
      18|[9.760104610107248, -2.3848875199271187, -0.4845242138857291, 0.8395435310435733, 0.0730303428694669, -0.0111410761089366, 0.0593635017512952]|7625.9782917170359724|      0.00390625|[544, 176, 18, 72]                                                         |  | used quadratic model with 40 points | iterate success | actual_k=4
