k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0]                                                                 | 29.5000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.1718488886645932, 1.3590027557151552, 1.2519421865363753]                    | 12.0493688583374023|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[0.7690177176806818, -0.0458603831918514, 1.010231064210032]                    |  2.7114430752957293|      4.00000000|[13, 4, 1, 5]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
       3|[0.7690177176806818, -0.0458603831918514, 1.010231064210032]                    |  2.7114430752957293|      2.00000000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.7690177176806818, -0.0458603831918514, 1.010231064210032]                    |  2.7114430752957293|      1.00000000|[26, 8, 1, 9]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.1930452623957096, -0.5338340359868107, 0.3543824193757644]                   |  1.4573237895965576|      2.00000000|[32, 10, 1, 11]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[0.1930452623957096, -0.5338340359868107, 0.3543824193757644]                   |  1.4573237895965576|      1.00000000|[38, 12, 1, 13]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.1930452623957096, -0.5338340359868107, 0.3543824193757644]                   |  1.4573237895965576|      0.50000000|[44, 14, 1, 15]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.0860705856594124, -0.1892405600306702, 0.12340692350459]                    |  1.0571238994598389|      1.00000000|[50, 16, 1, 17]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[-0.0860705856594124, -0.1892405600306702, 0.12340692350459]                    |  1.0571238994598389|      0.50000000|[56, 18, 1, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.0860705856594124, -0.1892405600306702, 0.12340692350459]                    |  1.0571238994598389|      0.25000000|[62, 20, 1, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-0.0079753135326766, -0.0808619497019395, -0.0879108592176982]                 |  1.0144182443618774|      0.50000000|[68, 22, 1, 23]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[-0.0079753135326766, -0.0808619497019395, -0.0879108592176982]                 |  1.0144182443618774|      0.25000000|[74, 24, 1, 25]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[-0.0079753135326766, -0.0808619497019395, -0.0879108592176982]                 |  1.0144182443618774|      0.12500000|[80, 26, 1, 27]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.0079753135326766, -0.0808619497019395, -0.0879108592176982]                 |  1.0144182443618774|      0.06250000|[86, 28, 1, 29]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.0033380765657776, -0.0506947406314101, -0.0343553114063354]                  |  1.0037471055984497|      0.12500000|[92, 30, 1, 31]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
