k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.25000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.12500000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.06250000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.03125000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.01562500|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00781250|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00390625|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00195312|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00097656|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00048828|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      12|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00024414|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00012207|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00006104|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[-1.49438336133e-05, -3.3733570334e-06, 0.009969910451104, 0.0003879149792608, 3.4781539319e-05, 0.0979619030783735, 0.0001595426102283, 4.56963304292e-05]|  0.8660594936056731|      0.00012207|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      16|[-1.49438336133e-05, -3.3733570334e-06, 0.009969910451104, 0.0003879149792608, 3.4781539319e-05, 0.0979619030783735, 0.0001595426102283, 4.56963304292e-05]|  0.8660594936056731|      0.00006104|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[-1.49438336133e-05, -3.3733570334e-06, 0.009969910451104, 0.0003879149792608, 3.4781539319e-05, 0.0979619030783735, 0.0001595426102283, 4.56963304292e-05]|  0.8660594936056731|      0.00003052|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[-1.49438336133e-05, -3.3733570334e-06, 0.009969910451104, 0.0003879149792608, 3.4781539319e-05, 0.0979619030783735, 0.0001595426102283, 4.56963304292e-05]|  0.8660594936056731|      0.00001526|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[-9.7213846914e-06, -7.4522082075e-06, 0.0099684739586382, 0.000388400014583, 3.39685727038e-05, 0.0979574335098109, 0.0001653033460168, 3.41725793271e-05]|  0.7874436306209258|      0.00003052|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      20|[-9.7213846914e-06, -7.4522082075e-06, 0.0099684739586382, 0.000388400014583, 3.39685727038e-05, 0.0979574335098109, 0.0001653033460168, 3.41725793271e-05]|  0.7874436306209258|      0.00001526|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      21|[-9.7213846914e-06, -7.4522082075e-06, 0.0099684739586382, 0.000388400014583, 3.39685727038e-05, 0.0979574335098109, 0.0001653033460168, 3.41725793271e-05]|  0.7874436306209258|      0.00000763|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      22|[-9.7213846914e-06, -7.4522082075e-06, 0.0099684739586382, 0.000388400014583, 3.39685727038e-05, 0.0979574335098109, 0.0001653033460168, 3.41725793271e-05]|  0.7874436306209258|      0.00000381|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      23|[-1.01922588158e-05, -8.3852674141e-06, 0.0099681826369272, 0.0003880585999701, 3.39930266576e-05, 0.09795714596952, 0.0001671024282002, 3.73250683295e-05]|  0.7810871486202590|      0.00000763|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      24|[-1.01922588158e-05, -8.3852674141e-06, 0.0099681826369272, 0.0003880585999701, 3.39930266576e-05, 0.09795714596952, 0.0001671024282002, 3.73250683295e-05]|  0.7810871486202590|      0.00000381|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      25|[-1.01922588158e-05, -8.3852674141e-06, 0.0099681826369272, 0.0003880585999701, 3.39930266576e-05, 0.09795714596952, 0.0001671024282002, 3.73250683295e-05]|  0.7810871486202590|      0.00000191|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      26|[-1.01922588158e-05, -8.3852674141e-06, 0.0099681826369272, 0.0003880585999701, 3.39930266576e-05, 0.09795714596952, 0.0001671024282002, 3.73250683295e-05]|  0.7810871486202590|      0.00000095|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      27|[-9.9537710653e-06, -8.3647443557e-06, 0.0099681320941452, 0.0003873185438648, 3.41488505625e-05, 0.0979572211752446, 0.0001669522514662, 3.68255991661e-05]|  0.7800443325109978|      0.00000191|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      28|[-9.9537710653e-06, -8.3647443557e-06, 0.0099681320941452, 0.0003873185438648, 3.41488505625e-05, 0.0979572211752446, 0.0001669522514662, 3.68255991661e-05]|  0.7800443325109978|      0.00000095|[420, 56, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      29|[-9.8451135531e-06, -8.0806029324e-06, 0.0099683286188651, 0.0003865836129367, 3.43424277409e-05, 0.0979571172634492, 0.0001665183330114, 3.68662372414e-05]|  0.7793897272201230|      0.00000191|[435, 58, 29, 58]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      30|[-1.02907986819e-05, -8.0443379372e-06, 0.0099684383901966, 0.0003851992717411, 3.41242807177e-05, 0.0979572528986709, 0.0001677021134004, 3.66606719577e-05]|  0.7788353823202917|      0.00000381|[450, 60, 30, 60]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      31|[-1.02907986819e-05, -8.0443379372e-06, 0.0099684383901966, 0.0003851992717411, 3.41242807177e-05, 0.0979572528986709, 0.0001677021134004, 3.66606719577e-05]|  0.7788353823202917|      0.00000191|[465, 62, 31, 62]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      32|[-1.0398572635e-05, -7.8018158076e-06, 0.009968667696885, 0.0003848176057465, 3.45460173052e-05, 0.0979567322482379, 0.0001660368080449, 3.62771154946e-05]|  0.7783068185442654|      0.00000381|[480, 64, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      33|[-1.0398572635e-05, -7.8018158076e-06, 0.009968667696885, 0.0003848176057465, 3.45460173052e-05, 0.0979567322482379, 0.0001660368080449, 3.62771154946e-05]|  0.7783068185442654|      0.00000191|[495, 66, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      34|[-1.10424013297e-05, -7.8637276599e-06, 0.0099698642103088, 0.0003840928354223, 3.49397105929e-05, 0.0979563266804931, 0.0001668468445544, 3.68128908189e-05]|  0.7773737579108511|      0.00000381|[510, 68, 34, 68]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      35|[-1.10424013297e-05, -7.8637276599e-06, 0.0099698642103088, 0.0003840928354223, 3.49397105929e-05, 0.0979563266804931, 0.0001668468445544, 3.68128908189e-05]|  0.7773737579108511|      0.00000191|[525, 70, 35, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      36|[-1.10424013297e-05, -7.8637276599e-06, 0.0099698642103088, 0.0003840928354223, 3.49397105929e-05, 0.0979563266804931, 0.0001668468445544, 3.68128908189e-05]|  0.7773737579108511|      0.00000095|[540, 72, 36, 72]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
