k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.0]                                                               |85962.4290304600144736|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.0]                                                               |85962.4290304600144736|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[100.14434755570238, -0.1473871463431745, -0.4554567073340358]                  |2730.8575871834036661|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[100.14434755570238, -0.1473871463431745, -0.4554567073340358]                  |2730.8575871834036661|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[100.14434755570238, -0.1473871463431745, -0.4554567073340358]                  |2730.8575871834036661|      0.25000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[100.14846731652455, -0.2836795398641015, -0.2459157542028998]                  |1950.3175490654284658|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[100.14846731652455, -0.2836795398641015, -0.2459157542028998]                  |1950.3175490654284658|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[100.14846731652455, -0.2836795398641015, -0.2459157542028998]                  |1950.3175490654284658|      0.12500000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[100.14846731652455, -0.2836795398641015, -0.2459157542028998]                  |1950.3175490654284658|      0.06250000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[100.15286397797927, -0.279191397580095, -0.1837323484832778]                   |1831.6239914055090594|      0.12500000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[100.15286397797927, -0.279191397580095, -0.1837323484832778]                   |1831.6239914055090594|      0.06250000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[100.15286397797927, -0.279191397580095, -0.1837323484832778]                   |1831.6239914055090594|      0.03125000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[100.15286397797927, -0.279191397580095, -0.1837323484832778]                   |1831.6239914055090594|      0.01562500|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[100.15404118080386, -0.2916377165232693, -0.193104859527526]                   |1806.7894352208145392|      0.03125000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[100.15404118080386, -0.2916377165232693, -0.193104859527526]                   |1806.7894352208145392|      0.01562500|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[100.15404118080386, -0.2916377165232693, -0.193104859527526]                   |1806.7894352208145392|      0.00781250|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
