k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.304908252713187, -0.9549299866099767, -0.4379987714747878, 0.743366984783361, -0.3681579495906698, -0.109808947823124, -0.0272847872829963]|398410.9583721228409559|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[10.304908252713187, -0.9549299866099767, -0.4379987714747878, 0.743366984783361, -0.3681579495906698, -0.109808947823124, -0.0272847872829963]|398410.9583721228409559|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[10.185881674878594, -1.1979583742549222, 0.0893345480829768, 1.407091775620291, -0.4517457605121202, -0.101472089015979, 0.4211596611506256]|35712.8741187466948759|      2.00000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       4|[10.185881674878594, -1.1979583742549222, 0.0893345480829768, 1.407091775620291, -0.4517457605121202, -0.101472089015979, 0.4211596611506256]|35712.8741187466948759|      1.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[10.185881674878594, -1.1979583742549222, 0.0893345480829768, 1.407091775620291, -0.4517457605121202, -0.101472089015979, 0.4211596611506256]|35712.8741187466948759|      0.50000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[10.185881674878594, -1.1979583742549222, 0.0893345480829768, 1.407091775620291, -0.4517457605121202, -0.101472089015979, 0.4211596611506256]|35712.8741187466948759|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[10.201307092994911, -1.204425039859314, 0.099173806169061, 1.4993050739191247, -0.4453398588933272, -0.1098658498408843, 0.1898403049939734]|17260.1910242328922322|      0.50000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       8|[10.201307092994911, -1.204425039859314, 0.099173806169061, 1.4993050739191247, -0.4453398588933272, -0.1098658498408843, 0.1898403049939734]|17260.1910242328922322|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[10.201307092994911, -1.204425039859314, 0.099173806169061, 1.4993050739191247, -0.4453398588933272, -0.1098658498408843, 0.1898403049939734]|17260.1910242328922322|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[10.201307092994911, -1.204425039859314, 0.099173806169061, 1.4993050739191247, -0.4453398588933272, -0.1098658498408843, 0.1898403049939734]|17260.1910242328922322|      0.06250000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[10.200989799260595, -1.2041892657731805, 0.0994680798613872, 1.507665262806621, -0.444961671323935, -0.110111637142831, 0.1279055736811598]|9434.2225123392709065|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      12|[10.200989799260595, -1.2041892657731805, 0.0994680798613872, 1.507665262806621, -0.444961671323935, -0.110111637142831, 0.1279055736811598]|9434.2225123392709065|      0.06250000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[10.200989799260595, -1.2041892657731805, 0.0994680798613872, 1.507665262806621, -0.444961671323935, -0.110111637142831, 0.1279055736811598]|9434.2225123392709065|      0.03125000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[10.200511745754033, -1.20388471250918, 0.0992398504703729, 1.5111221349154966, -0.4449338694467721, -0.1070463483040384, 0.0970050495737502]|8927.8456600728986814|      0.06250000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      15|[10.200511745754033, -1.20388471250918, 0.0992398504703729, 1.5111221349154966, -0.4449338694467721, -0.1070463483040384, 0.0970050495737502]|8927.8456600728986814|      0.03125000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[10.200511745754033, -1.20388471250918, 0.0992398504703729, 1.5111221349154966, -0.4449338694467721, -0.1070463483040384, 0.0970050495737502]|8927.8456600728986814|      0.01562500|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[10.19981240072719, -1.204079945729759, 0.0996903168776923, 1.510925227032832, -0.4449241805970476, -0.1059537861801699, 0.1125671171406357]|8339.3018826212155545|      0.03125000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      18|[10.19981240072719, -1.204079945729759, 0.0996903168776923, 1.510925227032832, -0.4449241805970476, -0.1059537861801699, 0.1125671171406357]|8339.3018826212155545|      0.01562500|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[10.19981240072719, -1.204079945729759, 0.0996903168776923, 1.510925227032832, -0.4449241805970476, -0.1059537861801699, 0.1125671171406357]|8339.3018826212155545|      0.00781250|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[10.19981240072719, -1.204079945729759, 0.0996903168776923, 1.510925227032832, -0.4449241805970476, -0.1059537861801699, 0.1125671171406357]|8339.3018826212155545|      0.00390625|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      21|[10.199816610838086, -1.2040726073272436, 0.0996131895806558, 1.5112354891302555, -0.4449147119696109, -0.1055767102245083, 0.1086922970977143]|8268.5741239211201901|      0.00781250|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      22|[10.202013132222076, -1.2063172543372593, 0.0972602030024297, 1.5140437962563271, -0.448082730014663, -0.1003134722138826, 0.1087965200231099]|8248.1635396560031950|      0.01562500|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      23|[10.202735222552892, -1.194698531912387, 0.0980403359827657, 1.5221479758435545, -0.44962659231214, -0.0939925203013597, 0.1087816322807921]|8222.6562681617797352|      0.03125000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
