k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[95, 32, 0, 2]                                                             |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[189, 64, 0, 4]                                                            |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       3|[99.95522376144096, 0.1256155588065115, 0.205669086167283, 0.8987150758641186, 100.03573277475888, 0.0534467461553877, 0.1598411266443334, 0.7947857388908779, 99.97594079847649, 0.0218290796201693, 0.3065390400940535, 0.758850047035208, 100.01423583629978, 0.1406072338688363, 0.312176121766144, 0.6141252655811226, 99.95153642656977, 0.2128506512906505, 0.4659369656210088, 0.2720487343768695, 99.97903499288157, 0.4776687977204339, 0.6185124312728097, -0.0117409236111954, 299.96058951936925, 299.97096806649876, 300.05293745911234, 299.9846795966708, 300.0199343091957]|318.1020202636718750|      0.50000000|[284, 96, 0, 6]                                                            |  | trying linear partial model with 49 points | iterate success | actual_k=16
       4|[99.95522376144096, 0.1256155588065115, 0.205669086167283, 0.8987150758641186, 100.03573277475888, 0.0534467461553877, 0.1598411266443334, 0.7947857388908779, 99.97594079847649, 0.0218290796201693, 0.3065390400940535, 0.758850047035208, 100.01423583629978, 0.1406072338688363, 0.312176121766144, 0.6141252655811226, 99.95153642656977, 0.2128506512906505, 0.4659369656210088, 0.2720487343768695, 99.97903499288157, 0.4776687977204339, 0.6185124312728097, -0.0117409236111954, 299.96058951936925, 299.97096806649876, 300.05293745911234, 299.9846795966708, 300.0199343091957]|318.1020202636718750|      0.25000000|[378, 128, 0, 8]                                                           |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       5|[99.95522376144096, 0.1256155588065115, 0.205669086167283, 0.8987150758641186, 100.03573277475888, 0.0534467461553877, 0.1598411266443334, 0.7947857388908779, 99.97594079847649, 0.0218290796201693, 0.3065390400940535, 0.758850047035208, 100.01423583629978, 0.1406072338688363, 0.312176121766144, 0.6141252655811226, 99.95153642656977, 0.2128506512906505, 0.4659369656210088, 0.2720487343768695, 99.97903499288157, 0.4776687977204339, 0.6185124312728097, -0.0117409236111954, 299.96058951936925, 299.97096806649876, 300.05293745911234, 299.9846795966708, 300.0199343091957]|318.1020202636718750|      0.12500000|[471, 160, 0, 10]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       6|[99.95707832139699, 0.1450085591741617, 0.2272571948528276, 0.9218807991092356, 100.02658102286944, 0.1414356364033536, 0.1541154356945965, 0.7942200583057255, 99.9770809184628, 0.0098009099126373, 0.2802422372783218, 0.7365778923948471, 99.9885667339239, 0.124553241627658, 0.3044101605301944, 0.6072255725304723, 99.9514059021706, 0.1868660355029925, 0.4531104793978113, 0.23138096268063, 99.96547199645879, 0.4946634018570637, 0.6314209522569975, -0.0037723855861806, 299.941080005539, 299.97253617944034, 300.04213805661186, 299.98391892932517, 300.038072301128]|249.6300964355468750|      0.25000000|[565, 192, 0, 12]                                                          |  | trying linear partial model with 49 points | iterate success | actual_k=16
       7|[99.95707832139699, 0.1450085591741617, 0.2272571948528276, 0.9218807991092356, 100.02658102286944, 0.1414356364033536, 0.1541154356945965, 0.7942200583057255, 99.9770809184628, 0.0098009099126373, 0.2802422372783218, 0.7365778923948471, 99.9885667339239, 0.124553241627658, 0.3044101605301944, 0.6072255725304723, 99.9514059021706, 0.1868660355029925, 0.4531104793978113, 0.23138096268063, 99.96547199645879, 0.4946634018570637, 0.6314209522569975, -0.0037723855861806, 299.941080005539, 299.97253617944034, 300.04213805661186, 299.98391892932517, 300.038072301128]|249.6300964355468750|      0.12500000|[660, 224, 0, 14]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       8|[99.95631550425475, 0.1967402279742948, 0.2421735217450858, 0.9352179503685769, 100.03794320737562, 0.1645202510803321, 0.1598019816736653, 0.7697941240007212, 99.95548538835291, 0.0619149897158246, 0.279512189256006, 0.7573103913558068, 99.98634718627576, 0.1260385526225072, 0.2773666740083681, 0.5624840062356574, 99.92966766269745, 0.1856951091568692, 0.4763598765612316, 0.2386213782963644, 99.99420084546948, 0.465955351664167, 0.6433749620782765, 0.0185839475004352, 299.93774483166135, 299.94498641606265, 300.0634410057147, 299.9687805237259, 300.02848964446827]|139.0969390869140625|      0.25000000|[754, 256, 0, 16]                                                          |  | trying linear partial model with 49 points | iterate success | actual_k=16
       9|[99.95631550425475, 0.1967402279742948, 0.2421735217450858, 0.9352179503685769, 100.03794320737562, 0.1645202510803321, 0.1598019816736653, 0.7697941240007212, 99.95548538835291, 0.0619149897158246, 0.279512189256006, 0.7573103913558068, 99.98634718627576, 0.1260385526225072, 0.2773666740083681, 0.5624840062356574, 99.92966766269745, 0.1856951091568692, 0.4763598765612316, 0.2386213782963644, 99.99420084546948, 0.465955351664167, 0.6433749620782765, 0.0185839475004352, 299.93774483166135, 299.94498641606265, 300.0634410057147, 299.9687805237259, 300.02848964446827]|139.0969390869140625|      0.12500000|[847, 288, 0, 18]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
      10|[99.95631550425475, 0.1967402279742948, 0.2421735217450858, 0.9352179503685769, 100.03794320737562, 0.1645202510803321, 0.1598019816736653, 0.7697941240007212, 99.95548538835291, 0.0619149897158246, 0.279512189256006, 0.7573103913558068, 99.98634718627576, 0.1260385526225072, 0.2773666740083681, 0.5624840062356574, 99.92966766269745, 0.1856951091568692, 0.4763598765612316, 0.2386213782963644, 99.99420084546948, 0.465955351664167, 0.6433749620782765, 0.0185839475004352, 299.93774483166135, 299.94498641606265, 300.0634410057147, 299.9687805237259, 300.02848964446827]|139.0969390869140625|      0.06250000|[941, 320, 0, 20]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
