k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.01577650870463, 149.96506561159455, -100.064061324771, 1.1603695529310765, 1.983830248908501]|84555.4732787050452316|      2.00000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
       2|[49.01577650870463, 149.96506561159455, -100.064061324771, 1.1603695529310765, 1.983830248908501]|84555.4732787050452316|      1.00000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[48.01912496132128, 149.90502585614055, -100.11627569730886, 1.171267844873523, 1.9991862704182644]|81284.2726593780971598|      2.00000000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate success | actual_k=4
       4|[46.07563571856251, 149.79745629050868, -100.36365058660238, 1.4354664272956477, 2.2825290399110987]|75069.4432754531444516|      4.00000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate success | actual_k=4
       5|[46.07563571856251, 149.79745629050868, -100.36365058660238, 1.4354664272956477, 2.2825290399110987]|75069.4432754531444516|      2.00000000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       6|[44.09460617028112, 149.60805728965803, -100.51816442918079, 1.5472488056263207, 2.2252567109974084]|68997.6367807194910711|      4.00000000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       7|[44.09460617028112, 149.60805728965803, -100.51816442918079, 1.5472488056263207, 2.2252567109974084]|68997.6367807194910711|      2.00000000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[44.09460617028112, 149.60805728965803, -100.51816442918079, 1.5472488056263207, 2.2252567109974084]|68997.6367807194910711|      1.00000000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
       9|[43.0986380147545, 149.54697133284205, -100.58383746924079, 1.5477622539559202, 2.2236052762053515]|66052.4015729997627204|      2.00000000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
      10|[43.0986380147545, 149.54697133284205, -100.58383746924079, 1.5477622539559202, 2.2236052762053515]|66052.4015729997627204|      1.00000000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[42.10258449800288, 149.48481392227046, -100.64700163282308, 1.5525132391202574, 2.2223544138337794]|63173.1892944158753380|      2.00000000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
