k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]                              |  2.9665404653292509|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]                              |  2.9665404653292509|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]                              |  2.9665404653292509|      0.25000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[0.0889746842130952, 0.1300128572658443, 0.0713742210712251, 0.0373359400173871, 0.118835867564694, 0.0150074631612114, 0.0913853148858031, 0.1206273601195307, -0.0357269937938338, -0.0738718272841203]|  2.2140328696923408|      0.50000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       4|[0.0889746842130952, 0.1300128572658443, 0.0713742210712251, 0.0373359400173871, 0.118835867564694, 0.0150074631612114, 0.0913853148858031, 0.1206273601195307, -0.0357269937938338, -0.0738718272841203]|  2.2140328696923408|      0.25000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[0.0889746842130952, 0.1300128572658443, 0.0713742210712251, 0.0373359400173871, 0.118835867564694, 0.0150074631612114, 0.0913853148858031, 0.1206273601195307, -0.0357269937938338, -0.0738718272841203]|  2.2140328696923408|      0.12500000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[0.0710388303470578, 0.1349607360824913, 0.0851616664023128, 0.014344080519814, 0.1293607547243194, 0.0183017332973196, 0.0401123138738649, 0.0715861195892103, 0.019816824187392, 0.0056228222370333]|  0.7969041714904589|      0.25000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       7|[0.0710388303470578, 0.1349607360824913, 0.0851616664023128, 0.014344080519814, 0.1293607547243194, 0.0183017332973196, 0.0401123138738649, 0.0715861195892103, 0.019816824187392, 0.0056228222370333]|  0.7969041714904589|      0.12500000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[0.0727212093071622, 0.1397272623802773, 0.090442857169056, 0.0135176369497464, 0.0786936389704373, 0.0146351323252714, 0.0360654016047742, -0.0351596711424389, -0.0196567120452451, 0.0102134497697669]|  0.4398979330004401|      0.25000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       9|[0.0727212093071622, 0.1397272623802773, 0.090442857169056, 0.0135176369497464, 0.0786936389704373, 0.0146351323252714, 0.0360654016047742, -0.0351596711424389, -0.0196567120452451, 0.0102134497697669]|  0.4398979330004401|      0.12500000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[0.0727212093071622, 0.1397272623802773, 0.090442857169056, 0.0135176369497464, 0.0786936389704373, 0.0146351323252714, 0.0360654016047742, -0.0351596711424389, -0.0196567120452451, 0.0102134497697669]|  0.4398979330004401|      0.06250000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[0.0707877277703499, 0.1402191991138236, 0.0718694954201055, 0.0403269861826502, 0.0566434159674563, 0.0193282270608147, 0.0202298609781949, -0.0078410800995245, 0.0132248055170943, -0.0056628609182163]|  0.2295154030786743|      0.12500000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      12|[0.0707877277703499, 0.1402191991138236, 0.0718694954201055, 0.0403269861826502, 0.0566434159674563, 0.0193282270608147, 0.0202298609781949, -0.0078410800995245, 0.0132248055170943, -0.0056628609182163]|  0.2295154030786743|      0.06250000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[0.0586665459241839, 0.1420252809311019, 0.0527803526919019, 0.0342103088439119, 0.0278180575294909, -0.0025849461793454, -0.0099529420381444, 0.0095050098713745, -0.0111320558544151, 0.0097651112672157]|  0.1445165143875622|      0.12500000|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
