k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]                              | 51.0855557048649089|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1810751033713167, 0.3209203496665681, -0.2638569313723521, 0.2333685127524234, 0.1320593475869872, 0.7001143628779379, 0.6732140414221004, 0.2265982922690861, 0.7375513275234262, 0.6369509420157858]| 29.8390154613599208|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[0.1810751033713167, 0.3209203496665681, -0.2638569313723521, 0.2333685127524234, 0.1320593475869872, 0.7001143628779379, 0.6732140414221004, 0.2265982922690861, 0.7375513275234262, 0.6369509420157858]| 29.8390154613599208|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.1810751033713167, 0.3209203496665681, -0.2638569313723521, 0.2333685127524234, 0.1320593475869872, 0.7001143628779379, 0.6732140414221004, 0.2265982922690861, 0.7375513275234262, 0.6369509420157858]| 29.8390154613599208|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.1810751033713167, 0.3209203496665681, -0.2638569313723521, 0.2333685127524234, 0.1320593475869872, 0.7001143628779379, 0.6732140414221004, 0.2265982922690861, 0.7375513275234262, 0.6369509420157858]| 29.8390154613599208|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[0.1810751033713167, 0.3209203496665681, -0.2638569313723521, 0.2333685127524234, 0.1320593475869872, 0.7001143628779379, 0.6732140414221004, 0.2265982922690861, 0.7375513275234262, 0.6369509420157858]| 29.8390154613599208|      0.12500000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.1826831994807135, 0.2883160556233867, -0.260090615169668, 0.2678766190307069, 0.2044184899820267, 0.7361705199735764, 0.7114028496252429, 0.2385506092276589, 0.765589402841911, 0.7035175321892821]| 16.7869120153081326|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       7|[0.1826831994807135, 0.2883160556233867, -0.260090615169668, 0.2678766190307069, 0.2044184899820267, 0.7361705199735764, 0.7114028496252429, 0.2385506092276589, 0.765589402841911, 0.7035175321892821]| 16.7869120153081326|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[0.2003624754583908, 0.2850911294944226, -0.3086515145684521, 0.2378618674282534, 0.1839410825797768, 0.7409670598369693, 0.7879299526961412, 0.218617587650735, 0.8255987570900528, 0.74530054702455]| 10.2956651588846881|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[0.2003624754583908, 0.2850911294944226, -0.3086515145684521, 0.2378618674282534, 0.1839410825797768, 0.7409670598369693, 0.7879299526961412, 0.218617587650735, 0.8255987570900528, 0.74530054702455]| 10.2956651588846881|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[0.1895687178335249, 0.2312398791642028, -0.2511077847509887, 0.2243712322785505, 0.2035003605298375, 0.8119666602092597, 0.7818396894545269, 0.1900090136172298, 0.8378600216998363, 0.7971259319704771]|  7.0393359986423691|      0.25000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      11|[0.1895687178335249, 0.2312398791642028, -0.2511077847509887, 0.2243712322785505, 0.2035003605298375, 0.8119666602092597, 0.7818396894545269, 0.1900090136172298, 0.8378600216998363, 0.7971259319704771]|  7.0393359986423691|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[0.1895687178335249, 0.2312398791642028, -0.2511077847509887, 0.2243712322785505, 0.2035003605298375, 0.8119666602092597, 0.7818396894545269, 0.1900090136172298, 0.8378600216998363, 0.7971259319704771]|  7.0393359986423691|      0.06250000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[0.215452613029387, 0.2330477669067724, -0.2231197217910808, 0.2170961818159628, 0.2128800461573851, 0.8329867456213184, 0.8151506711364285, 0.2077658001478879, 0.8386891856686132, 0.8181333713509109]|  5.8929090394547723|      0.12500000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      14|[0.215452613029387, 0.2330477669067724, -0.2231197217910808, 0.2170961818159628, 0.2128800461573851, 0.8329867456213184, 0.8151506711364285, 0.2077658001478879, 0.8386891856686132, 0.8181333713509109]|  5.8929090394547723|      0.06250000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[0.2518687246849077, 0.2422702537895489, -0.2140001402666795, 0.2236627394787074, 0.2328704362167892, 0.8444719521780238, 0.8358302423824356, 0.2227809857463839, 0.873071996120227, 0.8195377632002266]|  5.2043444143163589|      0.12500000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      16|[0.2518687246849077, 0.2422702537895489, -0.2140001402666795, 0.2236627394787074, 0.2328704362167892, 0.8444719521780238, 0.8358302423824356, 0.2227809857463839, 0.873071996120227, 0.8195377632002266]|  5.2043444143163589|      0.06250000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[0.2518687246849077, 0.2422702537895489, -0.2140001402666795, 0.2236627394787074, 0.2328704362167892, 0.8444719521780238, 0.8358302423824356, 0.2227809857463839, 0.873071996120227, 0.8195377632002266]|  5.2043444143163589|      0.03125000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[0.2397036770055915, 0.2348679561984569, -0.1926709776930096, 0.2355754745898172, 0.237093220599859, 0.844130214826061, 0.8442074065337943, 0.2321533272561273, 0.8733619769292302, 0.8204775640217227]|  4.8264875511454806|      0.06250000|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      19|[0.2397036770055915, 0.2348679561984569, -0.1926709776930096, 0.2355754745898172, 0.237093220599859, 0.844130214826061, 0.8442074065337943, 0.2321533272561273, 0.8733619769292302, 0.8204775640217227]|  4.8264875511454806|      0.03125000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[0.2397036770055915, 0.2348679561984569, -0.1926709776930096, 0.2355754745898172, 0.237093220599859, 0.844130214826061, 0.8442074065337943, 0.2321533272561273, 0.8733619769292302, 0.8204775640217227]|  4.8264875511454806|      0.01562500|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      21|[0.2423930751794075, 0.2365571823766601, -0.2008191185401813, 0.2442500765194647, 0.2373372268146187, 0.8497889356721271, 0.8475944896625506, 0.2360976588660108, 0.8729018663856959, 0.8262300341998035]|  4.7096824524540875|      0.03125000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      22|[0.2423930751794075, 0.2365571823766601, -0.2008191185401813, 0.2442500765194647, 0.2373372268146187, 0.8497889356721271, 0.8475944896625506, 0.2360976588660108, 0.8729018663856959, 0.8262300341998035]|  4.7096824524540875|      0.01562500|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      23|[0.2423930751794075, 0.2365571823766601, -0.2008191185401813, 0.2442500765194647, 0.2373372268146187, 0.8497889356721271, 0.8475944896625506, 0.2360976588660108, 0.8729018663856959, 0.8262300341998035]|  4.7096824524540875|      0.00781250|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      24|[0.2386318232213051, 0.2356777723895482, -0.1989937479718285, 0.2418418952741911, 0.2342709701278635, 0.8504159079721719, 0.8497997836320327, 0.235619606641109, 0.8713533363756889, 0.8306683490222094]|  4.6292017624817872|      0.01562500|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      25|[0.2386318232213051, 0.2356777723895482, -0.1989937479718285, 0.2418418952741911, 0.2342709701278635, 0.8504159079721719, 0.8497997836320327, 0.235619606641109, 0.8713533363756889, 0.8306683490222094]|  4.6292017624817872|      0.00781250|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      26|[0.2360978386865692, 0.2331634774293997, -0.2029593886746448, 0.2382749895881189, 0.2331469945577702, 0.8509800422936799, 0.8528409561983726, 0.2338962783148645, 0.8712648465265758, 0.8331250311256494]|  4.6011544858583271|      0.01562500|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      27|[0.2360978386865692, 0.2331634774293997, -0.2029593886746448, 0.2382749895881189, 0.2331469945577702, 0.8509800422936799, 0.8528409561983726, 0.2338962783148645, 0.8712648465265758, 0.8331250311256494]|  4.6011544858583271|      0.00781250|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      28|[0.2383951378729393, 0.2331931227609585, -0.1980019254959889, 0.2370087885033184, 0.2326729484703459, 0.851135824967922, 0.8505820529393381, 0.2332191801097186, 0.8686132475023868, 0.8372159865476718]|  4.5729206621190004|      0.01562500|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      29|[0.2383951378729393, 0.2331931227609585, -0.1980019254959889, 0.2370087885033184, 0.2326729484703459, 0.851135824967922, 0.8505820529393381, 0.2332191801097186, 0.8686132475023868, 0.8372159865476718]|  4.5729206621190004|      0.00781250|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      30|[0.2383951378729393, 0.2331931227609585, -0.1980019254959889, 0.2370087885033184, 0.2326729484703459, 0.851135824967922, 0.8505820529393381, 0.2332191801097186, 0.8686132475023868, 0.8372159865476718]|  4.5729206621190004|      0.00390625|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      31|[0.2369604849418479, 0.2322926774286773, -0.2007181050956311, 0.237000661739119, 0.2327705432841005, 0.8512007954266084, 0.8508753265292944, 0.2322871372844729, 0.8674126496341177, 0.8388291096661756]|  4.5581028574553901|      0.00781250|[496, 31, 31, 62]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      32|[0.2356839107503484, 0.2337198640290238, -0.1992986058342571, 0.2384825889862545, 0.2321521541118919, 0.8529362343629844, 0.8543568652715283, 0.2318936580438857, 0.8680327688712569, 0.8449203268850598]|  4.5356099650656363|      0.01562500|[512, 32, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      33|[0.2356839107503484, 0.2337198640290238, -0.1992986058342571, 0.2384825889862545, 0.2321521541118919, 0.8529362343629844, 0.8543568652715283, 0.2318936580438857, 0.8680327688712569, 0.8449203268850598]|  4.5356099650656363|      0.00781250|[528, 33, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      34|[0.2356839107503484, 0.2337198640290238, -0.1992986058342571, 0.2384825889862545, 0.2321521541118919, 0.8529362343629844, 0.8543568652715283, 0.2318936580438857, 0.8680327688712569, 0.8449203268850598]|  4.5356099650656363|      0.00390625|[544, 34, 34, 68]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
